id_inmueble,area_m2,habitaciones,estrato,antiguedad_anios,distancia_centro_km,precio_millones
INM-00135,106.0,5,3,5,16.48,280.23
INM-00136,74.7,1,4,0,0.08,412.94
INM-00137,107.2,3,5,11,13.27,551.56
INM-00138,110.9,3,4,27,2.07,454.91
INM-00139,65.4,3,2,16,0.05,128.87
INM-00140,110.3,4,3,0,5.26,353.79
INM-00141,113.0,4,3,31,17.73,241.33
INM-00142,35.0,2,5,7,15.17,188.56
INM-00143,93.8,3,5,23,0.79,623.6
INM-00144,69.8,3,3,9,0.9,230.54
INM-00145,124.1,4,2,9,3.75,281.67
INM-00146,69.5,2,5,24,4.56,420.64
INM-00147,44.8,3,5,9,6.05,268.1
INM-00148,84.1,3,5,18,0.9,520.44
INM-00149,58.1,2,5,14,14.37,303.1
INM-00150,110.5,3,3,15,4.58,305.35
INM-00151,60.7,2,2,1,8.45,126.22
INM-00152,84.5,4,3,28,3.5,224.27
INM-00153,131.4,4,3,3,2.41,465.65
INM-00154,118.0,3,3,28,17.01,244.71
INM-00155,99.3,3,3,30,3.93,270.19
INM-00156,81.2,2,3,16,9.07,233.45
INM-00157,96.5,2,3,9,13.79,266.15
INM-00158,105.7,3,3,26,5.06,266.61
INM-00159,55.4,2,2,14,3.58,113.42
INM-00160,110.5,3,3,30,0.02,298.0
INM-00161,51.9,3,5,20,0.18,328.5
INM-00162,102.2,5,5,25,1.01,608.91
INM-00163,51.8,2,3,16,0.93,167.04
INM-00164,143.9,5,3,2,1.32,483.04
INM-00165,107.9,3,2,13,1.64,230.47
INM-00166,38.3,1,4,12,2.01,190.59
INM-00167,85.0,4,3,26,2.46,217.87
INM-00168,69.4,2,3,0,0.47,240.72
INM-00169,65.8,2,5,16,0.19,456.14
INM-00170,89.4,4,3,33,5.04,210.01
INM-00171,57.2,2,2,13,3.47,120.4
INM-00172,107.8,4,3,16,2.64,308.36
INM-00173,106.1,3,3,2,4.53,361.33
INM-00174,95.5,4,3,33,7.91,220.27
INM-00175,84.4,3,5,24,2.51,492.97
INM-00176,104.8,4,3,1,4.61,344.37
INM-00177,108.7,3,4,33,13.81,327.18
INM-00178,98.6,3,3,25,8.24,240.93
INM-00179,45.6,3,3,30,2.5,119.74
INM-00180,61.3,2,3,8,4.66,183.97
INM-00181,77.0,3,3,29,0.88,212.8
INM-00182,40.7,3,3,19,3.7,118.51
INM-00183,91.7,2,3,20,17.91,204.02
INM-00184,127.3,4,5,28,3.29,747.74
INM-00185,122.6,4,3,24,11.82,284.68
INM-00186,107.2,2,2,24,2.35,194.17
INM-00187,106.8,3,2,8,25.0,157.54
INM-00188,151.5,4,2,25,3.9,298.27
INM-00189,110.3,4,3,15,0.19,331.14
INM-00190,112.8,3,2,11,3.98,231.46
INM-00191,41.8,3,2,23,1.44,82.33
INM-00192,125.0,5,3,25,0.15,362.05
INM-00193,97.0,2,4,19,7.74,396.41
INM-00194,82.6,3,2,8,1.45,169.64
INM-00195,75.2,3,3,22,7.17,205.76
INM-00196,68.5,2,4,28,1.53,260.2
INM-00197,122.7,4,6,30,0.97,997.9
INM-00198,84.1,3,4,18,16.41,303.24
INM-00199,69.6,2,3,19,2.02,203.2
INM-00200,61.9,2,4,22,4.14,241.06
INM-00201,90.1,2,4,26,4.24,386.73
INM-00202,74.2,2,3,29,3.7,207.67
INM-00203,67.4,2,5,20,11.08,378.21
INM-00204,43.5,2,3,34,5.05,105.71
INM-00205,113.8,4,6,6,2.33,1048.83
INM-00206,80.9,2,4,21,8.92,332.78
INM-00207,52.4,1,4,9,0.9,253.17
INM-00208,76.9,3,4,22,3.54,338.39
INM-00209,101.5,4,3,14,13.53,248.95
INM-00210,85.9,3,3,29,4.42,217.84
INM-00211,90.7,3,5,33,7.64,499.15
INM-00212,86.3,3,4,12,4.77,382.99
INM-00213,46.7,2,5,3,8.23,283.29
INM-00214,113.5,4,5,17,13.01,576.53
INM-00215,35.0,2,6,22,1.43,303.36
INM-00216,98.8,4,4,32,0.84,364.84
INM-00217,103.5,3,3,33,2.98,264.52
INM-00218,78.4,2,2,33,5.45,131.14
INM-00219,95.6,3,4,34,1.16,388.85
INM-00220,76.7,4,3,16,0.02,232.78
INM-00221,96.0,5,3,27,1.89,285.21
INM-00222,114.8,4,3,13,15.61,265.43
INM-00223,61.2,2,5,33,5.34,329.42
INM-00224,105.2,4,5,10,2.31,661.84
INM-00225,135.8,4,4,12,0.96,661.38
INM-00226,92.9,4,3,32,1.98,264.2
INM-00227,69.9,2,4,1,0.84,374.59
INM-00228,152.9,4,4,33,0.51,612.15
INM-00229,87.7,2,3,28,10.68,206.75
INM-00230,91.9,3,3,3,25.0,207.36
INM-00231,92.6,4,3,11,0.81,316.12
INM-00232,98.4,3,4,25,0.25,453.47
INM-00233,74.8,2,4,27,1.8,301.85
INM-00234,90.7,3,3,2,2.79,323.46
INM-00235,113.6,3,6,19,1.03,962.13
INM-00236,73.8,3,2,9,1.61,155.57
INM-00237,72.4,1,3,17,1.01,205.41
INM-00238,76.2,3,3,26,6.7,189.07
INM-00239,52.1,1,2,30,5.61,94.35
INM-00240,64.5,1,3,26,4.53,181.83
INM-00241,63.3,2,3,0,2.2,223.8
INM-00242,85.0,3,3,5,10.79,245.67
INM-00243,110.1,4,3,10,15.71,274.54
INM-00244,128.6,4,4,33,0.86,524.56
INM-00245,86.7,3,3,19,1.14,254.08
INM-00246,98.7,4,2,20,3.36,204.01
INM-00247,92.3,3,4,20,0.43,421.73
INM-00248,35.0,1,2,17,2.58,73.39
INM-00249,50.6,2,5,20,3.92,308.95
INM-00250,107.8,3,6,18,3.32,997.95
INM-00251,110.8,4,3,3,1.81,354.69
INM-00252,110.1,4,6,12,3.52,983.96
INM-00253,79.7,4,4,17,14.35,299.26
INM-00254,35.0,2,6,28,1.04,290.52
INM-00255,54.1,2,4,24,4.79,230.77
INM-00256,58.7,1,3,12,0.2,183.02
INM-00257,103.9,4,5,26,0.31,621.2
INM-00258,74.3,3,2,18,3.61,156.58
INM-00259,135.7,6,3,0,0.5,468.7
INM-00260,129.0,4,3,18,0.1,395.04
INM-00261,135.2,4,3,0,0.85,454.67
INM-00262,57.5,1,3,16,3.74,162.66
INM-00263,99.7,3,4,20,5.47,419.49
INM-00264,70.7,2,6,21,1.02,585.61
INM-00265,94.8,2,2,14,4.97,201.45
INM-00266,60.8,1,6,31,0.91,515.07
INM-00267,121.8,4,6,3,4.28,1113.69
INM-00268,61.4,2,2,31,2.39,114.7
INM-00269,35.0,1,3,3,4.77,113.18
INM-00270,146.0,4,5,0,23.89,667.14
INM-00271,98.3,3,4,32,12.5,310.59
INM-00272,52.9,2,4,6,0.02,259.61
INM-00273,80.1,4,4,8,9.75,346.39
INM-00274,67.7,3,3,0,0.31,241.08
INM-00275,85.2,3,2,15,13.76,145.99
INM-00276,109.1,4,4,17,1.49,509.62
INM-00277,104.4,4,2,5,2.17,243.57
INM-00278,92.6,4,4,1,0.43,484.02
INM-00279,85.2,3,5,8,0.54,625.8
INM-00280,117.4,3,4,3,5.84,530.84
INM-00281,35.0,1,6,22,13.0,265.55
INM-00282,62.5,3,3,7,4.25,198.35
INM-00283,55.6,2,4,24,5.66,231.48
INM-00284,115.2,3,4,15,6.46,487.77
INM-00285,62.8,1,6,34,1.37,469.97
INM-00286,46.4,1,4,16,0.21,215.03
INM-00287,101.5,3,2,17,0.01,210.15
INM-00288,57.7,2,6,26,1.94,496.37
INM-00289,74.5,4,4,14,1.24,341.61
INM-00290,156.4,5,2,16,0.29,349.72
INM-00291,108.6,3,4,4,0.89,557.01
INM-00292,78.7,3,5,15,0.6,538.98
INM-00293,81.4,4,4,14,11.09,303.88
INM-00294,112.2,4,3,33,0.68,322.07
INM-00295,104.9,2,5,18,3.47,687.46
INM-00296,87.3,3,4,7,4.05,424.24
INM-00297,88.1,3,3,9,3.53,266.19
INM-00298,40.6,1,2,4,0.47,94.58
INM-00299,35.0,1,3,25,1.73,92.72
INM-00300,79.7,2,4,21,0.24,354.41
INM-00301,66.0,3,5,22,2.27,381.59
INM-00302,102.6,2,3,12,0.94,327.05
INM-00303,90.9,3,3,8,3.71,290.37
INM-00304,61.8,2,2,19,5.31,116.27
INM-00305,89.9,4,4,27,3.42,359.59
INM-00306,72.5,3,2,23,2.56,148.82
INM-00307,147.0,5,2,32,2.2,248.16
INM-00308,96.6,3,2,19,8.29,184.23
INM-00309,38.2,1,4,29,1.11,147.48
INM-00310,139.6,5,3,8,5.96,388.87
INM-00311,66.0,3,3,16,6.38,176.17
INM-00312,55.8,1,5,13,2.45,381.98
INM-00313,149.3,5,2,18,1.59,301.06
INM-00314,95.4,3,3,6,2.86,324.4
INM-00315,106.0,3,6,2,0.44,1094.48
INM-00316,107.0,4,3,32,0.21,267.55
INM-00317,78.8,3,4,31,0.53,329.33
INM-00318,67.8,2,2,10,0.93,139.91
INM-00319,72.7,1,4,1,3.16,374.16
INM-00320,133.3,4,3,25,8.51,317.94
INM-00321,91.1,4,5,3,1.21,640.52
INM-00322,124.4,3,3,16,12.31,328.42
INM-00323,82.7,3,3,16,13.95,218.02
INM-00324,62.3,2,4,27,14.36,201.9
INM-00325,41.7,2,6,29,8.18,322.28
INM-00326,104.4,4,2,22,2.04,195.32
INM-00327,135.8,4,5,23,0.34,891.95
INM-00328,58.4,2,3,28,3.79,158.9
INM-00329,100.4,2,4,3,3.68,459.16
INM-00330,43.7,1,3,28,8.54,103.83
INM-00331,68.3,1,4,18,24.84,183.28
INM-00332,93.0,3,3,26,3.19,248.77
INM-00333,35.0,1,3,28,1.91,91.13
INM-00334,84.5,2,2,34,0.93,155.89
INM-00335,59.9,3,2,5,0.02,149.66
INM-00336,103.1,3,5,22,3.2,574.14
INM-00337,80.0,2,6,7,3.65,760.05
INM-00338,113.2,3,4,1,7.84,521.86
INM-00339,76.6,2,3,12,3.16,249.44
INM-00340,44.1,1,3,20,11.17,110.61
INM-00341,40.4,1,4,30,4.45,155.97
INM-00342,35.0,1,6,26,8.26,262.17
INM-00343,104.0,4,3,22,0.72,293.35
INM-00344,161.7,6,5,20,8.7,842.44
INM-00345,98.1,2,6,12,5.06,859.17
INM-00346,135.2,5,5,25,0.84,766.88
INM-00347,119.0,4,3,6,0.95,396.5
INM-00348,69.4,2,2,21,11.75,113.43
INM-00349,123.0,5,3,22,0.15,365.34
INM-00350,70.6,3,3,29,2.79,177.66
INM-00351,71.2,2,3,17,1.69,228.79
INM-00352,78.7,2,3,17,4.92,238.95
INM-00353,80.2,4,4,9,8.24,325.48
INM-00354,104.8,3,3,29,2.01,276.42
INM-00355,64.9,2,3,25,2.51,183.62
INM-00356,111.7,4,4,6,18.06,379.46
INM-00357,111.2,5,4,6,6.89,485.14
INM-00358,95.3,3,4,4,10.24,391.46
INM-00359,143.2,5,2,0,2.6,352.23
INM-00360,123.6,4,4,17,1.2,587.41
INM-00361,117.1,4,4,12,2.39,544.64
INM-00362,87.0,2,2,24,5.67,159.46
INM-00363,95.6,3,4,7,0.52,501.4
INM-00364,100.7,2,3,9,1.42,345.57
INM-00365,85.4,3,3,31,0.21,250.82
INM-00366,73.7,3,3,16,2.55,207.09
INM-00367,35.0,1,3,14,7.91,92.1
INM-00368,106.5,4,3,14,0.11,345.16
INM-00369,116.2,4,5,19,5.06,702.87
INM-00370,50.2,3,2,14,12.13,82.05
INM-00371,103.2,3,6,34,1.22,753.78
INM-00372,67.3,2,4,5,5.32,330.06
INM-00373,74.0,3,2,29,16.62,112.53
INM-00374,124.3,5,2,7,14.75,215.89
INM-00375,55.3,2,4,30,1.21,237.0
INM-00376,55.2,2,4,31,0.48,226.48
INM-00377,139.1,4,2,14,0.72,312.45
INM-00378,80.6,2,3,17,5.45,225.56
INM-00379,122.4,3,4,12,5.82,499.2
INM-00380,37.0,1,2,23,5.05,68.13
INM-00381,39.4,2,5,13,1.84,259.41
INM-00382,57.6,2,4,27,0.84,241.81
INM-00383,70.6,3,3,10,3.91,202.67
INM-00384,42.9,1,3,5,2.97,149.32
INM-00385,96.1,3,2,24,5.87,167.83
INM-00386,98.0,4,5,0,2.62,672.06
INM-00387,58.1,2,2,24,1.86,113.26
INM-00388,60.4,2,3,1,1.56,206.23
INM-00389,64.4,2,4,31,1.07,255.52
INM-00390,50.1,2,3,12,1.39,164.11
INM-00391,35.0,1,3,32,0.45,94.67
INM-00392,82.4,1,5,31,1.92,478.21
INM-00393,72.1,4,3,23,0.17,218.74
INM-00394,75.2,4,6,26,0.93,588.48
INM-00395,54.6,1,5,3,6.18,367.85
INM-00396,109.3,4,3,23,1.77,331.64
INM-00397,157.8,5,3,22,4.97,399.02
INM-00398,60.0,3,3,28,5.68,152.11
INM-00399,127.0,5,4,33,3.92,510.58
INM-00400,96.0,2,3,20,14.34,221.48
INM-00401,86.1,2,6,29,0.1,714.7
INM-00402,74.7,2,4,25,6.04,313.88
INM-00403,82.5,2,3,19,14.35,187.01
INM-00404,119.5,2,4,15,8.92,448.23
INM-00405,50.9,2,3,2,0.83,183.44
INM-00406,76.7,3,5,24,1.78,493.29
INM-00407,122.5,4,4,22,0.85,529.65
INM-00408,114.5,4,2,0,4.14,258.32
INM-00409,51.3,2,2,32,5.6,92.22
INM-00410,79.5,2,5,14,1.72,543.94
INM-00411,106.8,4,4,16,3.49,449.78
INM-00412,104.9,2,6,33,5.28,719.65
INM-00413,114.3,3,2,16,2.46,233.85
INM-00414,96.5,3,3,3,8.66,304.23
INM-00415,101.6,3,2,12,6.64,213.85
INM-00416,95.3,2,4,3,0.3,518.23
INM-00417,132.4,4,3,6,4.37,440.03
INM-00418,72.3,3,2,8,1.21,162.89
INM-00419,86.4,3,4,22,3.67,355.98
INM-00420,54.6,2,3,32,14.15,121.96
INM-00421,48.6,1,3,32,9.51,117.51
INM-00422,94.7,4,3,19,2.33,279.02
INM-00423,63.3,2,4,3,1.55,293.97
INM-00424,83.3,4,3,0,1.2,305.82
INM-00425,133.5,4,3,33,3.42,338.46
INM-00426,131.8,5,3,26,0.55,366.05
INM-00427,151.7,5,4,20,3.59,655.18
INM-00428,134.1,6,5,23,0.01,867.16
INM-00429,157.1,4,3,14,1.76,460.52
INM-00430,98.1,2,3,34,1.12,271.1
INM-00431,57.9,3,5,24,15.97,265.51
INM-00432,55.0,1,6,8,5.85,472.39
INM-00433,126.9,5,4,16,1.94,560.4
INM-00434,86.5,4,6,20,0.44,804.56
INM-00435,88.8,3,4,12,3.27,432.18
INM-00436,68.5,2,4,2,1.08,362.62
INM-00437,72.1,3,3,3,3.46,250.73
INM-00438,96.5,4,3,3,8.12,273.69
INM-00439,53.3,2,2,27,4.3,90.39
INM-00440,92.7,2,5,6,4.52,626.62
INM-00441,130.3,6,6,25,3.5,1033.58
INM-00442,35.0,1,4,10,11.79,146.64
INM-00443,38.8,2,3,23,12.09,95.84
INM-00444,105.3,4,2,9,3.24,242.26
INM-00445,125.9,5,3,12,1.64,378.26
INM-00446,70.3,3,3,18,2.77,205.64
INM-00447,35.0,1,4,18,0.93,156.88
INM-00448,128.0,4,6,11,4.55,1107.61
INM-00449,60.7,2,2,21,3.12,120.16
INM-00450,74.2,3,2,29,0.49,139.61
INM-00451,94.6,2,4,11,0.99,443.49
INM-00452,65.0,3,3,28,2.94,171.0
INM-00453,58.7,1,5,20,9.84,297.79
INM-00454,59.3,3,3,10,3.76,182.78
INM-00455,140.7,5,3,17,5.15,389.78
INM-00456,119.8,4,3,26,1.86,306.82
INM-00457,102.2,4,2,11,3.81,206.9
INM-00458,35.0,1,4,22,2.67,142.57
INM-00459,102.3,3,2,33,4.84,172.11
INM-00460,100.7,2,3,22,0.23,279.64
INM-00461,46.7,1,3,24,3.06,129.91
INM-00462,92.8,3,2,3,1.58,219.43
INM-00463,116.5,3,2,29,1.78,221.41
INM-00464,102.1,3,3,29,14.59,233.29
INM-00465,64.6,2,4,12,0.91,301.17
INM-00466,85.4,2,6,13,1.68,796.99
INM-00467,106.9,4,2,7,3.21,243.77
INM-00468,86.8,2,2,23,8.95,149.57
INM-00469,122.6,4,2,17,2.43,257.83
INM-00470,96.9,3,3,34,6.13,232.21
INM-00471,107.6,4,4,24,8.73,399.24
INM-00472,109.6,5,5,16,1.67,741.28
INM-00473,53.0,2,4,31,2.24,197.69
INM-00474,86.5,3,3,23,1.98,240.1
INM-00475,75.0,2,3,6,8.05,211.35
INM-00476,116.3,4,5,12,0.2,778.63
INM-00477,98.9,4,3,26,1.66,264.19
INM-00478,79.4,3,3,4,5.12,252.54
INM-00479,46.5,1,6,25,3.75,398.28
INM-00480,37.1,1,4,30,2.58,153.23
INM-00481,94.3,4,4,9,3.49,425.97
INM-00482,63.5,2,3,25,0.99,194.76
INM-00483,105.0,5,3,21,2.54,306.06
INM-00484,35.7,1,2,11,3.13,74.16
INM-00485,132.8,5,4,31,10.42,480.69
INM-00486,104.9,3,2,26,1.36,209.16
INM-00487,88.0,2,5,32,9.11,459.81
INM-00488,135.5,4,5,19,4.65,779.78
INM-00489,113.5,3,3,12,0.09,361.55
INM-00490,70.7,2,2,13,5.8,148.97
INM-00491,87.3,4,2,21,0.16,178.41
INM-00492,35.0,1,4,17,25.0,103.16
INM-00493,116.9,4,4,28,9.27,426.7
INM-00494,76.1,3,4,15,1.59,364.66
INM-00495,35.0,1,3,34,1.34,88.32
INM-00496,49.5,1,3,33,2.16,130.47
INM-00497,111.1,3,4,2,1.98,519.39
INM-00498,133.4,5,3,3,2.1,456.17
INM-00499,85.6,3,4,4,1.72,437.14
INM-00500,55.5,1,4,9,4.37,234.21
INM-00501,42.4,1,3,28,0.81,121.18
INM-00502,127.4,5,2,31,8.42,206.32
INM-00503,98.5,3,3,30,7.53,227.06
INM-00504,75.1,3,2,1,2.91,168.97
INM-00505,68.0,2,4,11,8.62,270.27
INM-00506,105.2,3,4,26,1.28,432.96
INM-00507,104.3,3,5,4,0.08,745.38
INM-00508,58.1,2,4,26,4.34,239.86
INM-00509,50.7,2,2,22,2.76,103.01
INM-00510,52.2,2,3,32,3.77,136.05
INM-00511,71.0,2,5,3,10.33,406.9
INM-00512,64.3,2,2,20,15.77,108.31
INM-00513,133.5,4,4,23,4.53,559.03
INM-00514,69.9,3,4,30,6.5,239.84
INM-00515,47.5,1,3,23,0.39,145.74
INM-00516,49.2,3,3,9,0.79,151.79
INM-00517,79.5,1,4,1,5.95,378.61
INM-00518,35.0,1,5,30,2.54,198.41
INM-00519,83.2,3,3,24,2.66,229.63
INM-00520,44.9,1,6,3,1.66,478.12
INM-00521,119.8,3,4,10,4.21,537.33
INM-00522,88.5,3,6,16,0.92,758.49
INM-00523,148.6,5,2,1,4.44,354.18
INM-00524,78.2,2,2,5,0.86,190.8
INM-00525,35.0,1,5,8,0.3,253.96
INM-00526,128.7,5,5,4,1.8,908.2
INM-00527,100.1,3,3,19,1.18,278.94
INM-00528,104.7,2,4,28,9.89,390.13
INM-00529,54.9,2,5,20,0.25,328.82
INM-00530,83.7,2,2,8,0.87,174.24
INM-00531,90.6,2,4,27,3.58,363.72
INM-00532,77.9,3,5,7,2.95,502.16
INM-00533,35.0,1,3,30,0.21,88.87
INM-00534,168.1,5,3,19,0.03,503.6
INM-00535,110.1,3,4,26,19.93,309.26
INM-00536,97.6,3,3,7,4.84,284.91
INM-00537,124.4,4,2,20,2.05,232.02
INM-00538,104.3,4,6,27,2.86,809.95
INM-00539,64.7,1,4,22,1.39,288.3
INM-00540,122.5,4,5,5,1.9,903.9
INM-00541,110.6,3,5,2,4.71,754.33
INM-00542,65.8,3,2,4,9.65,131.42
INM-00543,108.7,3,2,8,0.92,224.71
INM-00544,77.8,2,3,6,8.26,212.79
INM-00545,91.3,4,3,3,0.58,298.09
INM-00546,103.0,2,4,4,1.09,515.69
INM-00547,126.1,4,4,10,0.17,631.58
INM-00548,65.6,3,3,14,0.68,208.43
INM-00549,95.9,3,3,33,11.22,210.97
INM-00550,145.5,4,3,12,2.77,419.79
INM-00551,79.7,2,3,6,0.36,277.73
INM-00552,90.9,4,3,5,14.45,235.23
INM-00553,145.4,5,2,29,9.5,247.5
INM-00554,104.1,3,4,21,6.32,418.84
INM-00555,40.8,1,2,24,12.2,69.1
INM-00556,61.1,3,3,27,1.12,181.63
INM-00557,105.7,4,4,19,8.15,446.46
INM-00558,97.7,2,2,2,5.27,214.12
INM-00559,89.9,3,4,4,9.17,392.61
INM-00560,149.8,5,3,0,7.17,450.37
INM-00561,66.5,2,2,14,1.91,149.59
INM-00562,82.8,3,2,25,6.7,146.47
INM-00563,35.0,1,6,2,1.37,333.76
INM-00564,119.8,4,3,33,1.79,310.41
INM-00565,61.0,2,6,4,0.51,580.94
INM-00566,116.7,6,3,30,12.31,263.2
INM-00567,113.6,4,3,12,1.55,359.22
INM-00568,155.5,5,3,0,3.31,503.8
INM-00569,104.5,5,3,21,2.23,280.88
INM-00570,74.3,2,3,14,14.48,196.65
INM-00571,98.6,3,3,25,1.84,288.96
INM-00572,62.2,1,3,17,6.78,181.63
INM-00573,94.6,4,2,8,8.7,182.39
INM-00574,79.0,2,3,0,2.57,276.94
INM-00575,82.9,3,3,8,2.14,264.49
INM-00576,58.0,2,3,22,6.2,148.32
INM-00577,94.0,4,4,1,10.98,381.07
INM-00578,109.7,4,5,13,6.33,660.09
INM-00579,35.4,1,3,17,1.16,101.04
