id_cliente,edad,ingreso_mensual,antiguedad_laboral_meses,score_credito,ratio_deuda_ingreso,riesgo_default
CLI-00075,51,3355534.1,148,493,0.484,1
CLI-00076,35,5148487.34,35,374,0.368,1
CLI-00077,28,7116960.2,175,659,0.596,0
CLI-00078,34,7026890.34,127,505,0.748,1
CLI-00079,43,2393235.8,130,422,0.184,1
CLI-00080,60,5118533.5,42,469,0.372,1
CLI-00081,41,3915417.32,175,661,0.352,0
CLI-00082,36,5651867.85,129,670,0.263,0
CLI-00083,65,4890505.12,106,442,0.189,1
CLI-00084,38,1300000.0,40,435,0.096,1
CLI-00085,67,3573576.44,92,685,0.671,1
CLI-00086,44,4557405.05,139,774,0.344,0
CLI-00087,46,1618143.06,23,848,0.398,0
CLI-00088,45,5245839.62,118,713,0.692,0
CLI-00089,65,1456772.56,34,784,0.593,0
CLI-00090,61,2762809.71,82,467,0.141,1
CLI-00091,49,6614361.46,64,582,0.446,1
CLI-00092,35,2609199.98,131,548,0.36,0
CLI-00093,65,5233140.53,150,555,0.608,0
CLI-00094,21,1300000.0,114,762,0.557,0
CLI-00095,45,7946366.38,27,688,0.533,0
CLI-00096,27,3651803.45,73,496,0.288,1
CLI-00097,29,4371577.45,74,799,0.613,0
CLI-00098,44,4522266.23,170,774,0.087,0
CLI-00099,21,5293620.36,54,778,0.162,1
CLI-00100,64,1465476.03,146,620,0.285,1
CLI-00101,28,4190394.35,167,736,0.104,1
CLI-00102,44,3014216.11,114,488,0.214,0
CLI-00103,31,1300000.0,91,530,0.631,1
CLI-00104,37,5976819.96,58,779,0.714,0
CLI-00105,28,3566088.63,128,379,0.263,1
CLI-00106,55,4636536.77,92,406,0.235,1
CLI-00107,55,4523721.75,136,581,0.246,1
CLI-00108,53,3597265.91,47,495,0.244,0
CLI-00109,25,7755049.24,103,784,0.075,0
CLI-00110,62,4114923.63,165,733,0.699,1
CLI-00111,59,1395685.83,114,397,0.2,1
CLI-00112,61,3479313.55,56,543,0.344,1
CLI-00113,48,5099527.72,90,573,0.057,0
CLI-00114,27,5158671.2,179,485,0.651,1
CLI-00115,29,2241994.32,132,371,0.562,1
CLI-00116,28,5873068.51,26,355,0.713,1
CLI-00117,32,1300000.0,49,553,0.597,0
CLI-00118,54,6259443.36,144,588,0.27,1
CLI-00119,53,1825173.8,108,534,0.224,0
CLI-00120,43,3792758.61,73,709,0.538,0
CLI-00121,44,6116223.62,134,641,0.305,0
CLI-00122,57,4415290.2,97,684,0.446,0
CLI-00123,55,5670057.33,29,569,0.054,0
CLI-00124,64,5313591.53,130,465,0.093,1
CLI-00125,60,6515283.5,146,662,0.425,1
CLI-00126,42,6111977.73,116,398,0.446,1
CLI-00127,47,3383260.24,103,522,0.576,0
CLI-00128,55,5339294.94,144,431,0.142,0
CLI-00129,21,1452206.65,22,671,0.409,1
CLI-00130,55,4095771.17,104,682,0.186,0
CLI-00131,57,5673272.52,87,394,0.115,1
CLI-00132,67,4440925.78,109,684,0.337,1
CLI-00133,34,5003951.52,157,369,0.164,1
CLI-00134,23,3816109.72,24,797,0.205,0
CLI-00135,21,6232324.99,170,570,0.272,0
CLI-00136,25,4055251.61,90,472,0.232,1
CLI-00137,46,3362189.67,13,583,0.111,0
CLI-00138,34,5795731.34,33,570,0.113,0
CLI-00139,59,1670712.14,10,672,0.185,0
CLI-00140,47,5101860.02,150,688,0.085,0
CLI-00141,29,2323527.23,106,352,0.489,1
CLI-00142,35,6500268.29,169,531,0.251,1
CLI-00143,35,3730150.94,123,555,0.246,1
CLI-00144,46,4442972.5,152,669,0.282,1
CLI-00145,62,4942626.71,69,389,0.514,1
CLI-00146,33,1300000.0,96,408,0.659,1
CLI-00147,52,3028947.29,122,788,0.581,0
CLI-00148,59,6078382.64,103,411,0.559,1
CLI-00149,52,5761977.04,16,481,0.389,1
CLI-00150,24,4709457.97,59,409,0.536,1
CLI-00151,50,1770965.57,178,721,0.437,0
CLI-00152,57,5253906.23,52,680,0.201,0
CLI-00153,43,5484119.26,145,471,0.196,1
CLI-00154,59,4284630.98,154,828,0.257,0
CLI-00155,65,6401707.71,144,456,0.688,0
CLI-00156,35,2969822.78,10,445,0.433,1
CLI-00157,63,3282256.36,25,696,0.564,0
CLI-00158,49,1300000.0,174,763,0.293,0
CLI-00159,56,5855689.52,51,584,0.335,1
CLI-00160,33,4764951.53,17,735,0.138,0
CLI-00161,52,1300000.0,75,411,0.17,1
CLI-00162,27,1300000.0,22,605,0.629,1
CLI-00163,42,2629264.87,120,398,0.459,1
CLI-00164,48,5628584.3,152,742,0.286,0
CLI-00165,22,3659351.12,159,697,0.612,1
CLI-00166,62,2751383.55,53,508,0.223,0
CLI-00167,65,2388991.39,113,473,0.733,1
CLI-00168,26,2308358.48,57,831,0.291,1
CLI-00169,48,1300000.0,101,666,0.286,1
CLI-00170,48,2026687.5,75,556,0.268,0
CLI-00171,64,2272959.46,107,397,0.135,1
CLI-00172,64,5428721.83,80,758,0.128,1
CLI-00173,40,3901698.5,166,769,0.504,0
CLI-00174,50,2713947.28,156,485,0.663,1
CLI-00175,31,8357500.96,148,550,0.603,0
CLI-00176,48,3004985.56,160,599,0.149,1
CLI-00177,45,6300785.25,87,663,0.432,0
CLI-00178,59,7117995.4,97,706,0.124,0
CLI-00179,53,1374071.39,9,717,0.082,0
CLI-00180,21,4333133.34,140,778,0.509,1
CLI-00181,47,3268439.43,114,667,0.425,1
CLI-00182,33,3121936.09,168,644,0.107,1
CLI-00183,61,5199678.27,53,829,0.074,0
CLI-00184,23,3078833.11,78,663,0.743,0
CLI-00185,59,3307255.72,77,849,0.071,0
CLI-00186,26,3897393.19,121,558,0.361,1
CLI-00187,28,3527881.32,178,704,0.403,0
CLI-00188,47,2087573.63,86,834,0.132,0
CLI-00189,29,5632631.71,86,560,0.168,0
CLI-00190,57,6087355.69,118,541,0.296,1
CLI-00191,53,4818513.46,101,393,0.583,1
CLI-00192,62,3522205.23,77,378,0.405,0
CLI-00193,64,2930620.67,152,408,0.497,0
CLI-00194,44,2933483.89,68,420,0.74,1
CLI-00195,35,8443277.46,43,441,0.588,1
CLI-00196,52,5888108.94,72,614,0.354,0
CLI-00197,52,2687801.86,74,732,0.363,0
CLI-00198,44,4496456.09,18,569,0.483,0
CLI-00199,61,3547436.95,36,739,0.516,0
CLI-00200,32,5250840.68,119,762,0.4,0
CLI-00201,59,5178298.39,27,791,0.501,0
CLI-00202,22,6150497.38,98,750,0.066,1
CLI-00203,23,2668998.37,176,749,0.351,1
CLI-00204,57,4388523.54,72,564,0.245,0
CLI-00205,37,1300000.0,59,828,0.14,0
CLI-00206,22,1936787.46,143,736,0.12,1
CLI-00207,22,5791381.51,47,626,0.472,1
CLI-00208,48,2488769.18,69,413,0.417,1
CLI-00209,43,2686364.16,131,695,0.228,1
CLI-00210,57,4185099.47,26,641,0.38,1
CLI-00211,52,5450569.86,174,839,0.395,0
CLI-00212,53,2290511.77,157,834,0.187,0
CLI-00213,21,1300000.0,40,594,0.506,1
CLI-00214,39,2633598.16,35,819,0.597,1
CLI-00215,22,6370130.54,62,411,0.604,1
CLI-00216,64,4817643.09,52,775,0.472,1
CLI-00217,46,6582974.65,168,681,0.408,0
CLI-00218,52,2162730.94,24,519,0.093,0
CLI-00219,26,1300000.0,119,794,0.251,0
CLI-00220,52,5032587.39,13,618,0.115,0
CLI-00221,24,4632040.93,31,616,0.725,1
CLI-00222,31,4749997.78,118,403,0.145,1
CLI-00223,37,5879393.96,76,365,0.156,1
CLI-00224,58,4959032.86,35,357,0.673,1
CLI-00225,44,4930111.67,140,453,0.711,1
CLI-00226,25,5487012.62,72,408,0.586,1
CLI-00227,54,5104349.94,70,662,0.054,0
CLI-00228,26,5743402.68,41,389,0.051,1
CLI-00229,42,6015337.48,30,586,0.315,0
CLI-00230,31,6957039.84,42,792,0.15,0
CLI-00231,36,3031455.62,6,735,0.063,0
CLI-00232,53,5065011.79,148,443,0.375,1
CLI-00233,29,3533417.94,42,571,0.71,1
CLI-00234,26,2699593.82,146,553,0.277,1
CLI-00235,36,2958827.42,141,487,0.513,1
CLI-00236,49,5090919.93,138,649,0.507,0
CLI-00237,23,4952854.6,133,744,0.226,1
CLI-00238,40,4920741.65,132,556,0.505,1
CLI-00239,56,3793715.43,6,685,0.199,0
CLI-00240,39,4206146.55,169,430,0.135,1
CLI-00241,46,5671954.85,40,567,0.541,0
CLI-00242,23,1519092.49,109,351,0.129,0
CLI-00243,39,4244355.78,28,527,0.748,0
CLI-00244,40,4361921.07,14,745,0.178,0
CLI-00245,52,5555947.68,39,720,0.466,1
CLI-00246,27,1769552.86,179,695,0.338,0
CLI-00247,61,6891240.74,133,628,0.138,0
CLI-00248,53,4584534.76,9,495,0.069,0
CLI-00249,60,4679844.98,163,667,0.486,0
CLI-00250,59,3477516.44,107,573,0.615,0
CLI-00251,38,5168440.24,80,718,0.639,1
CLI-00252,60,4286317.29,104,733,0.388,0
CLI-00253,21,6376167.5,77,411,0.594,1
CLI-00254,31,1605310.35,8,643,0.521,1
CLI-00255,48,4515982.49,147,588,0.557,1
CLI-00256,45,4935322.23,178,544,0.395,1
CLI-00257,43,3864529.69,39,515,0.493,0
CLI-00258,51,3471601.52,50,800,0.614,0
CLI-00259,50,3546676.9,66,571,0.329,0
CLI-00260,62,4514350.68,88,410,0.614,1
CLI-00261,55,1300000.0,128,478,0.464,1
CLI-00262,27,5937026.93,107,827,0.166,0
CLI-00263,36,3335762.64,21,522,0.067,1
CLI-00264,46,4430044.86,71,829,0.304,0
CLI-00265,22,4860784.08,173,505,0.433,0
CLI-00266,21,3253550.3,150,754,0.638,0
CLI-00267,32,3964130.87,124,727,0.139,0
CLI-00268,25,1300000.0,167,459,0.61,1
CLI-00269,57,5517822.49,129,618,0.654,1
CLI-00270,52,6144124.2,149,760,0.155,0
CLI-00271,29,1300000.0,107,705,0.646,0
CLI-00272,61,3468312.82,71,740,0.744,0
CLI-00273,55,1986235.12,18,627,0.559,0
CLI-00274,39,3880067.42,116,423,0.599,1
CLI-00275,36,5367545.4,164,836,0.746,0
CLI-00276,23,5977156.02,39,786,0.474,0
CLI-00277,40,6219335.74,44,812,0.266,0
CLI-00278,44,6558978.88,141,556,0.636,0
CLI-00279,53,3799657.0,125,737,0.48,0
CLI-00280,44,2135474.47,131,829,0.457,0
CLI-00281,31,3993737.46,60,628,0.228,0
CLI-00282,28,5339881.5,32,724,0.579,1
CLI-00283,56,1990932.39,123,675,0.107,0
CLI-00284,58,7188246.52,58,821,0.697,1
CLI-00285,60,5816199.37,44,689,0.278,0
CLI-00286,40,3828179.1,70,706,0.139,1
CLI-00287,55,2920430.53,150,689,0.36,0
CLI-00288,45,2995582.05,163,553,0.08,0
CLI-00289,55,4333571.18,18,510,0.529,1
CLI-00290,45,3787075.32,26,377,0.682,1
CLI-00291,49,5910904.96,152,741,0.636,1
CLI-00292,38,3582643.51,58,606,0.139,1
CLI-00293,66,5109903.26,24,514,0.138,0
CLI-00294,38,4147935.21,62,412,0.619,1
CLI-00295,22,4685404.84,30,371,0.697,1
CLI-00296,55,3785898.42,36,419,0.372,1
CLI-00297,36,5473887.97,86,730,0.399,0
CLI-00298,61,5500572.14,28,754,0.273,0
CLI-00299,56,5027872.25,37,445,0.676,1
CLI-00300,53,5293525.79,79,512,0.501,1
CLI-00301,24,2500136.2,15,428,0.252,1
CLI-00302,53,4781842.37,59,354,0.259,1
CLI-00303,34,6448563.18,57,665,0.674,0
CLI-00304,41,5084528.22,153,469,0.06,0
CLI-00305,40,2344708.49,165,651,0.276,0
CLI-00306,28,4110420.28,119,527,0.438,0
CLI-00307,27,4874960.29,19,525,0.154,1
CLI-00308,23,2836680.87,161,739,0.114,0
CLI-00309,37,1755111.85,115,566,0.621,0
CLI-00310,53,3631023.84,58,405,0.676,1
CLI-00311,32,2866501.67,157,715,0.627,1
CLI-00312,42,4174279.74,84,536,0.679,1
CLI-00313,42,1335471.63,27,581,0.437,1
CLI-00314,66,5216461.91,35,604,0.619,0
CLI-00315,50,3057710.94,9,762,0.319,0
CLI-00316,58,5992354.03,64,804,0.516,0
CLI-00317,58,3701582.09,13,453,0.742,1
CLI-00318,65,4154299.72,17,426,0.208,1
CLI-00319,28,3888537.22,124,579,0.323,1
CLI-00320,47,2961312.56,164,751,0.386,0
CLI-00321,47,8650103.03,39,607,0.147,0
CLI-00322,54,3307440.88,87,613,0.107,0
CLI-00323,41,6042338.74,103,680,0.631,0
CLI-00324,50,2231467.9,132,830,0.734,1
CLI-00325,53,4869836.5,80,531,0.333,0
CLI-00326,48,5061969.9,110,730,0.111,0
CLI-00327,67,4156481.44,54,605,0.096,0
CLI-00328,53,3172191.5,84,387,0.674,1
CLI-00329,25,3726020.58,98,525,0.375,1
CLI-00330,39,3474078.9,159,376,0.274,1
CLI-00331,24,8523647.31,23,625,0.384,1
CLI-00332,55,4159314.44,101,489,0.273,0
CLI-00333,37,5144799.8,43,648,0.392,1
CLI-00334,64,7406925.16,92,794,0.652,1
CLI-00335,48,2622626.4,93,636,0.465,1
CLI-00336,50,4267788.42,55,440,0.536,1
CLI-00337,49,3715464.96,13,829,0.305,0
CLI-00338,66,4044950.8,174,410,0.567,1
CLI-00339,26,3877778.46,139,807,0.517,0
CLI-00340,55,2882621.25,74,800,0.134,0
CLI-00341,61,4551738.51,177,714,0.451,0
CLI-00342,57,2287261.0,126,696,0.23,0
CLI-00343,44,5979988.93,69,512,0.613,1
CLI-00344,49,5321957.65,162,700,0.348,0
CLI-00345,66,3311766.93,161,492,0.746,1
CLI-00346,51,3399030.02,144,749,0.115,0
CLI-00347,55,4695919.01,126,602,0.596,1
CLI-00348,53,2762618.43,70,618,0.522,1
CLI-00349,41,7461564.22,112,718,0.587,0
CLI-00350,52,4844266.31,152,640,0.265,0
CLI-00351,43,4907873.67,142,849,0.394,0
CLI-00352,53,5426601.14,160,808,0.608,0
CLI-00353,23,3156966.11,167,536,0.213,1
CLI-00354,38,6160217.97,177,754,0.208,0
CLI-00355,45,4406160.06,105,848,0.436,1
CLI-00356,62,5910261.85,87,787,0.416,0
CLI-00357,51,3843684.37,148,808,0.248,1
CLI-00358,23,6571100.81,56,763,0.259,0
CLI-00359,60,4922418.53,146,653,0.244,0
CLI-00360,66,8128512.64,88,640,0.59,0
CLI-00361,44,3534861.09,117,435,0.506,1
CLI-00362,52,4568188.91,61,515,0.633,1
CLI-00363,67,2343162.76,170,764,0.733,1
CLI-00364,42,3247263.17,150,811,0.382,0
CLI-00365,43,5313635.79,162,757,0.097,0
CLI-00366,22,6232783.99,166,463,0.084,1
CLI-00367,47,9537018.63,65,782,0.257,0
CLI-00368,62,4026067.97,125,829,0.703,0
CLI-00369,22,2520215.87,143,705,0.416,1
CLI-00370,46,5555986.37,28,765,0.24,0
CLI-00371,37,2169911.0,154,532,0.329,1
CLI-00372,60,5215699.3,18,556,0.469,1
CLI-00373,53,3295939.71,106,605,0.507,1
CLI-00374,29,4580870.95,166,584,0.158,0
CLI-00375,63,6163882.98,29,791,0.734,1
CLI-00376,59,4000679.83,113,704,0.431,1
CLI-00377,49,5879182.35,16,352,0.145,0
CLI-00378,62,5771685.39,22,557,0.676,1
CLI-00379,46,1300000.0,30,546,0.102,0
CLI-00380,55,2577118.66,99,690,0.685,1
CLI-00381,45,1388747.65,26,474,0.748,1
CLI-00382,44,7803126.78,89,487,0.54,0
CLI-00383,33,4010294.53,145,688,0.589,0
CLI-00384,27,7405492.58,42,374,0.286,0
CLI-00385,56,1300000.0,47,417,0.709,1
CLI-00386,65,3169016.84,150,410,0.421,1
CLI-00387,40,5640896.84,106,378,0.563,1
CLI-00388,21,4522694.29,53,732,0.697,1
CLI-00389,28,5159147.81,108,368,0.733,1
CLI-00390,66,1943145.18,33,520,0.633,1
CLI-00391,36,6678246.29,46,799,0.262,0
CLI-00392,34,5598628.97,104,423,0.727,1
CLI-00393,32,4922925.91,52,410,0.49,1
CLI-00394,43,2965901.49,151,776,0.701,0
CLI-00395,35,4782840.23,110,502,0.523,1
CLI-00396,48,3675318.04,129,625,0.265,0
CLI-00397,54,1300000.0,18,397,0.309,0
CLI-00398,22,4109238.87,146,560,0.435,1
CLI-00399,52,3917885.28,105,692,0.603,0
CLI-00400,43,6112322.72,36,757,0.273,0
CLI-00401,42,1300000.0,135,488,0.456,1
CLI-00402,45,4623359.69,21,459,0.292,0
CLI-00403,42,2119977.51,142,831,0.621,0
CLI-00404,42,4774602.02,78,532,0.377,0
CLI-00405,62,4873704.1,171,377,0.104,1
CLI-00406,26,4043679.4,59,546,0.166,0
CLI-00407,35,5653127.62,105,540,0.093,0
CLI-00408,63,1957621.09,114,664,0.4,1
CLI-00409,57,6193896.81,92,738,0.124,0
CLI-00410,53,2925458.04,178,400,0.13,1
CLI-00411,28,1399382.43,167,498,0.709,1
CLI-00412,64,3709687.25,142,617,0.661,0
CLI-00413,64,1300000.0,13,399,0.366,0
CLI-00414,25,4657513.01,12,737,0.74,1
CLI-00415,59,3733349.2,41,595,0.05,0
CLI-00416,24,6420636.46,23,462,0.48,1
CLI-00417,26,5368063.58,8,519,0.481,1
CLI-00418,65,1694406.59,33,817,0.37,0
CLI-00419,52,2690902.52,75,515,0.328,0
CLI-00420,50,5137195.96,177,758,0.369,0
CLI-00421,67,5724742.22,154,363,0.34,0
CLI-00422,55,6400501.65,33,552,0.561,0
CLI-00423,60,6386116.71,59,637,0.145,1
CLI-00424,36,4038859.3,70,744,0.188,0
CLI-00425,33,4852780.12,105,538,0.176,1
CLI-00426,62,6537729.31,26,751,0.234,0
CLI-00427,50,3654044.77,18,504,0.418,1
CLI-00428,39,4883507.14,62,404,0.128,0
CLI-00429,37,3611614.6,54,531,0.658,1
CLI-00430,39,3208293.39,123,559,0.258,1
CLI-00431,48,4287093.21,59,725,0.164,1
CLI-00432,46,2962421.79,143,820,0.523,0
CLI-00433,57,3964351.25,58,424,0.077,1
CLI-00434,46,2337081.24,49,626,0.484,1
CLI-00435,43,3858010.1,52,777,0.539,1
CLI-00436,29,5007102.53,58,482,0.2,0
CLI-00437,32,3140225.63,79,692,0.079,1
CLI-00438,21,4216725.15,51,774,0.305,0
CLI-00439,21,4450816.67,18,408,0.119,1
CLI-00440,67,5014562.81,170,694,0.132,1
CLI-00441,54,3959556.29,107,838,0.228,0
CLI-00442,52,6154559.42,29,531,0.257,0
CLI-00443,45,1300000.0,7,807,0.421,0
CLI-00444,60,9487955.12,86,755,0.525,0
CLI-00445,65,2631959.22,105,688,0.465,0
CLI-00446,21,4926102.04,147,670,0.154,0
CLI-00447,36,2510757.76,143,413,0.17,0
CLI-00448,59,5359682.69,168,676,0.665,0
CLI-00449,25,4697824.47,158,609,0.441,1
CLI-00450,42,3028715.63,136,542,0.659,1
CLI-00451,49,6131557.22,116,492,0.31,0
CLI-00452,23,3904870.42,107,453,0.48,1
CLI-00453,32,5184988.69,22,809,0.417,0
CLI-00454,46,2549112.35,17,755,0.273,0
CLI-00455,36,4144402.26,121,563,0.379,1
CLI-00456,57,7806133.08,29,591,0.402,0
CLI-00457,42,5933337.95,34,780,0.191,1
CLI-00458,49,4753717.36,176,558,0.271,1
CLI-00459,34,3391942.51,158,442,0.604,1
CLI-00460,48,4321497.36,127,779,0.691,1
CLI-00461,25,4555618.78,95,491,0.302,1
CLI-00462,67,5008611.18,70,783,0.265,0
CLI-00463,50,2262011.09,89,753,0.187,0
CLI-00464,66,5403134.33,124,783,0.525,0
CLI-00465,25,2238732.42,161,461,0.276,0
CLI-00466,32,7136026.53,21,766,0.741,0
CLI-00467,36,2811069.02,109,724,0.278,0
CLI-00468,46,4733930.98,97,408,0.326,0
CLI-00469,46,6009256.63,32,392,0.472,1
CLI-00470,41,3745715.92,175,556,0.611,0
CLI-00471,59,4813080.03,167,617,0.379,1
CLI-00472,56,6783326.79,170,645,0.346,0
CLI-00473,53,5215925.38,139,467,0.747,1
CLI-00474,50,4839991.13,140,369,0.057,0
CLI-00475,57,1300000.0,158,571,0.677,1
CLI-00476,43,2519299.95,38,515,0.154,0
CLI-00477,30,6084456.23,60,480,0.6,1
CLI-00478,25,5225910.55,12,505,0.483,1
CLI-00479,56,5498639.29,62,533,0.289,0
CLI-00480,54,5343714.48,131,439,0.662,1
CLI-00481,51,6521561.75,17,443,0.059,0
CLI-00482,30,3729480.14,21,362,0.209,1
CLI-00483,39,4416899.93,48,810,0.447,0
CLI-00484,52,2348386.2,122,671,0.296,0
CLI-00485,21,1899559.35,140,642,0.477,1
CLI-00486,25,1300000.0,116,782,0.067,0
CLI-00487,65,2606705.7,56,579,0.132,1
CLI-00488,24,6994611.27,165,671,0.139,0
CLI-00489,36,1405091.28,80,641,0.182,0
CLI-00490,44,3653635.23,13,787,0.372,0
CLI-00491,36,1872338.42,50,375,0.576,1
CLI-00492,22,3118246.87,64,424,0.684,1
CLI-00493,48,4505448.83,137,805,0.635,1
CLI-00494,52,2939791.43,109,713,0.188,0
CLI-00495,47,6161396.76,162,773,0.359,0
CLI-00496,40,6961160.62,162,648,0.19,0
CLI-00497,44,1300000.0,103,499,0.235,1
CLI-00498,32,2970613.81,161,497,0.402,1
CLI-00499,55,4306455.82,84,357,0.098,0
CLI-00500,53,6227010.65,129,378,0.203,0
CLI-00501,53,3382360.3,177,645,0.705,1
CLI-00502,63,4164116.29,9,823,0.376,0
CLI-00503,57,2117860.39,95,763,0.362,0
CLI-00504,32,1440967.47,109,558,0.06,0
CLI-00505,23,6801692.44,142,477,0.223,0
CLI-00506,21,1300000.0,124,689,0.656,1
CLI-00507,53,8391514.22,138,465,0.165,0
CLI-00508,60,5505272.52,61,788,0.341,0
CLI-00509,30,5423951.54,101,493,0.06,0
CLI-00510,63,5235843.6,80,779,0.385,0
CLI-00511,64,3745165.76,148,667,0.065,0
CLI-00512,49,4905752.15,37,584,0.624,1
CLI-00513,33,3859985.96,33,356,0.627,1
CLI-00514,32,5195531.9,27,813,0.601,0
CLI-00515,51,4139364.25,22,394,0.248,1
CLI-00516,66,2489373.27,64,792,0.636,1
CLI-00517,22,2632969.29,95,588,0.43,1
CLI-00518,55,2428309.72,111,789,0.312,0
CLI-00519,43,5947621.32,31,781,0.488,0
CLI-00520,37,3088596.1,30,504,0.059,1
CLI-00521,46,1300000.0,143,530,0.15,0
CLI-00522,28,4914309.6,50,564,0.57,1
CLI-00523,49,6926131.61,88,437,0.221,0
CLI-00524,46,5591549.74,16,605,0.469,0
CLI-00525,30,3114017.58,109,422,0.32,0
CLI-00526,46,1343738.91,73,768,0.648,0
CLI-00527,54,3958317.41,100,528,0.717,1
CLI-00528,61,3913397.02,161,561,0.668,1
CLI-00529,27,2455440.7,70,642,0.239,1
CLI-00530,24,5191867.14,54,583,0.186,0
CLI-00531,65,7523927.7,57,814,0.382,0
CLI-00532,31,4600108.89,107,588,0.055,0
CLI-00533,49,4488857.17,62,572,0.068,0
CLI-00534,56,2512989.51,52,468,0.437,1
CLI-00535,45,6715346.47,164,662,0.414,0
CLI-00536,41,4064740.5,179,613,0.746,0
CLI-00537,56,3157866.14,31,556,0.191,0
CLI-00538,30,4314639.11,119,444,0.231,1
CLI-00539,57,5049530.4,10,722,0.129,0
CLI-00540,29,4450587.74,89,571,0.692,1
CLI-00541,44,6371076.11,57,715,0.594,0
CLI-00542,55,4891148.79,110,625,0.626,1
CLI-00543,55,3688904.74,59,729,0.682,1
CLI-00544,56,4922145.99,166,580,0.417,0
CLI-00545,38,5099346.78,171,658,0.366,0
CLI-00546,59,1866523.35,160,468,0.281,1
CLI-00547,52,6268955.51,20,617,0.462,1
CLI-00548,44,3658372.77,66,782,0.368,0
CLI-00549,43,3704418.2,127,622,0.366,0
CLI-00550,52,5552476.78,26,413,0.706,1
CLI-00551,57,5544897.4,51,647,0.739,1
CLI-00552,32,2938502.98,139,699,0.608,0
CLI-00553,33,5645222.91,43,762,0.58,0
CLI-00554,43,3191193.33,67,752,0.526,0
CLI-00555,45,7475231.48,91,843,0.166,0
