tenure,monthly_charges,total_charges,contract,support_calls,churn
46,113.26,5198.11,Month-to-month,1,0
64,72.71,4654.69,Month-to-month,2,1
29,20.49,585.32,Two year,2,0
17,52.58,901.79,One year,4,1
19,77.16,1481.01,Two year,0,0
10,55.86,567.97,Month-to-month,1,1
42,32.15,1363.68,Two year,5,0
41,35.92,1487.8,Two year,1,0
29,85.05,2470.29,Two year,0,0
17,36.27,632.15,Two year,2,0
5,36.71,175.99,Two year,4,1
14,112.17,1580.87,Month-to-month,4,1
41,35.29,1450.13,Two year,1,0
43,63.16,2715.16,Month-to-month,3,1
14,90.54,1277.81,One year,2,0
53,67.81,3584.84,Month-to-month,3,0
29,34.77,1025.63,One year,3,1
34,113.67,3870.23,One year,2,1
10,73.2,735.55,Two year,1,0
62,88.95,5501.67,Two year,3,0
21,23.86,487.85,One year,5,0
70,45.03,3150.65,Month-to-month,3,0
71,102.49,7282.18,One year,3,1
62,38.47,2391.18,One year,2,0
61,102.88,6272.07,One year,3,0
34,27.61,932.59,One year,1,0
58,22.96,1324.41,One year,2,0
20,93.72,1872.3,One year,1,0
53,115.57,6114.47,One year,1,0
54,115.06,6204.2,Two year,0,0
61,48.39,2936.31,Month-to-month,3,0
67,98.55,6596.73,Month-to-month,0,0
58,35.79,2102.45,Month-to-month,1,1
55,26.34,1445.96,Two year,1,0
34,50.47,1713.38,Month-to-month,0,0
51,73.71,3766.73,Month-to-month,0,0
67,96.67,6481.22,Two year,2,0
13,110.99,1438.61,One year,1,0
45,106.29,4781.76,Two year,4,0
5,35.72,167.22,Two year,3,0
5,58.08,301.5,Month-to-month,0,0
35,108.2,3805.29,One year,2,1
63,104.32,6561.49,Month-to-month,0,1
57,95.9,5459.34,Two year,4,0
25,62.67,1575.5,One year,1,0
48,100.6,4822.94,One year,2,0
52,32.06,1679.34,Month-to-month,0,0
26,102.2,2657.24,One year,3,1
36,55.34,1982.44,Month-to-month,2,0
31,55.75,1723.06,One year,1,0
45,52.92,2385.45,Two year,1,0
4,57.16,235.42,Month-to-month,3,0
29,86.27,2500.6,Month-to-month,3,0
2,65.91,135.98,Month-to-month,2,1
40,89.77,3588.77,One year,0,0
59,43.7,2563.59,Two year,2,0
14,19.23,295.28,One year,2,0
37,48.35,1791.78,One year,2,0
36,44.61,1600.85,One year,0,0
67,95.05,6382.97,Two year,0,0
41,86.58,3547.16,One year,0,0
54,58.96,3182.74,Two year,0,0
44,91.15,4012.74,One year,3,0
46,69.23,3195.39,Two year,0,0
13,65.58,851.62,Two year,0,0
24,113.19,2728.33,Month-to-month,0,1
40,60.55,2429.3,Two year,1,0
16,65.55,1057.64,Two year,0,1
25,68.55,1720.35,One year,1,0
20,32.24,647.95,Two year,3,0
59,32.82,1940.47,Month-to-month,1,0
23,49.84,1156.57,Month-to-month,2,0
22,76.13,1684.4,Month-to-month,4,1
56,81.85,4562.3,One year,4,1
69,38.44,2651.18,One year,2,0
68,37.56,2547.84,Month-to-month,0,0
45,49.71,2246.4,One year,3,1
6,48.32,285.83,Two year,4,1
56,107.3,6017.96,One year,2,0
25,34.99,889.99,Month-to-month,0,1
17,39.62,685.28,Month-to-month,2,1
5,56.02,269.18,Two year,0,1
7,84.7,591.76,Two year,1,1
57,56.53,3211.36,Month-to-month,1,0
2,48.61,89.45,One year,0,0
18,60.38,1096.46,Two year,1,1
15,96.98,1441.0,One year,2,0
26,54.29,1406.55,Two year,2,0
27,87.32,2350.38,Month-to-month,2,1
15,102.02,1527.53,Month-to-month,1,0
10,90.86,914.78,Month-to-month,2,1
38,44.91,1724.0,Month-to-month,2,0
47,98.66,4630.73,Month-to-month,4,0
6,19.47,126.13,One year,3,1
57,114.01,6496.7,One year,4,0
24,29.88,708.18,One year,3,0
62,98.49,6095.78,Month-to-month,0,1
8,116.66,935.89,Two year,1,1
57,36.63,2081.05,Month-to-month,3,0
17,66.81,1114.92,One year,2,1
34,84.0,2876.08,Two year,2,0
29,116.29,3368.02,Two year,0,0
13,61.78,801.46,Two year,0,0
50,33.37,1678.25,Two year,0,0
21,69.06,1438.77,Month-to-month,2,1
63,50.56,3181.35,Two year,3,0
49,58.83,2883.71,Two year,3,0
64,63.21,4054.06,Two year,3,1
52,59.73,3105.79,Month-to-month,2,0
39,107.51,4179.41,One year,1,0
47,101.03,4756.25,One year,0,0
61,90.17,5493.2,Month-to-month,3,0
29,18.72,534.18,One year,3,0
48,88.71,4263.82,Month-to-month,2,0
53,29.2,1542.66,One year,1,0
25,90.18,2262.56,Two year,3,0
16,95.71,1517.41,Two year,2,1
64,18.93,1210.42,One year,0,0
62,110.94,6882.54,Two year,0,0
17,28.86,483.13,One year,0,0
50,60.37,3006.6,Month-to-month,0,0
44,115.55,5079.08,One year,2,0
66,48.39,3187.78,Two year,0,0
71,81.76,5809.21,One year,4,0
17,116.63,1967.9,Two year,0,0
42,89.54,3761.55,Two year,0,0
54,85.92,4649.39,One year,0,0
67,29.15,1950.63,Month-to-month,2,0
21,116.85,2451.56,Month-to-month,1,1
38,38.9,1469.09,One year,1,1
72,104.98,7557.95,Month-to-month,0,0
37,87.79,3257.61,One year,2,0
41,115.08,4733.85,Month-to-month,2,1
57,101.5,5798.76,Two year,0,0
70,92.35,6469.8,Month-to-month,4,1
23,116.85,2710.42,Two year,3,1
49,22.56,1104.02,Month-to-month,3,0
33,19.06,605.96,Month-to-month,2,1
42,78.19,3286.06,Two year,0,0
71,54.31,3857.87,Month-to-month,0,0
67,25.32,1686.07,Two year,2,0
45,40.62,1829.95,One year,3,0
68,65.99,4471.84,Two year,1,1
45,63.07,2849.53,Two year,0,0
6,86.76,510.97,Month-to-month,5,1
70,90.9,6374.92,One year,2,0
66,63.06,4182.53,Month-to-month,2,0
11,113.32,1258.93,Two year,5,1
9,39.58,351.46,Two year,1,0
14,39.06,556.59,Two year,0,0
10,93.19,938.2,One year,3,1
10,23.93,242.8,Two year,0,0
34,59.26,2005.14,One year,2,1
16,71.98,1142.93,Two year,0,0
10,54.27,534.43,Two year,2,1
12,46.65,568.58,Two year,1,1
21,71.85,1515.37,Two year,3,1
19,48.31,937.56,Two year,0,0
2,73.85,142.88,Month-to-month,1,1
51,72.22,3691.28,Two year,1,0
45,39.67,1801.35,Month-to-month,0,0
29,80.19,2325.42,Two year,2,0
7,103.64,754.77,One year,0,0
10,47.57,479.85,Two year,2,0
43,54.21,2327.56,One year,1,0
25,50.28,1243.82,One year,2,0
20,75.06,1495.45,One year,3,1
41,43.12,1770.84,One year,4,1
47,31.93,1498.52,One year,0,0
40,67.2,2699.16,Month-to-month,3,0
18,107.63,1942.71,Two year,4,1
10,107.71,1085.38,Two year,0,0
28,109.13,3043.77,Two year,1,0
20,55.08,1104.47,Two year,4,0
18,64.97,1159.43,Two year,2,1
31,103.3,3207.1,Month-to-month,0,0
18,63.12,1146.66,Two year,5,0
19,92.09,1740.33,Month-to-month,2,1
30,24.79,741.68,Month-to-month,2,0
47,57.31,2711.54,Month-to-month,0,0
42,28.82,1224.33,One year,1,0
34,76.36,2587.45,One year,1,0
10,70.17,686.15,Two year,4,1
45,67.19,3010.02,Two year,2,0
57,35.06,2011.13,Month-to-month,3,1
21,54.72,1148.1,Month-to-month,1,1
43,90.53,3881.45,Month-to-month,2,0
53,20.74,1111.8,Month-to-month,2,1
66,22.42,1476.67,One year,1,0
67,114.32,7648.99,Month-to-month,0,0
37,113.23,4192.36,One year,4,0
22,40.44,884.98,Two year,2,0
24,80.82,1933.63,Two year,2,1
59,78.15,4619.7,Month-to-month,2,1
26,70.77,1852.81,Month-to-month,0,0
23,66.09,1517.95,Two year,1,0
16,27.82,433.5,Two year,0,0
56,70.7,3957.15,Two year,2,0
62,97.46,6032.73,Two year,3,0
13,61.05,793.17,Month-to-month,4,1
70,59.36,4161.08,Month-to-month,4,0
16,70.48,1122.88,One year,2,1
14,33.98,471.29,Two year,1,0
47,79.69,3755.48,Month-to-month,2,1
72,66.75,4797.28,One year,3,0
45,95.92,4312.03,Two year,2,1
30,63.16,1892.94,Month-to-month,1,0
44,98.59,4326.5,Month-to-month,0,1
1,98.94,103.96,Two year,0,1
9,44.81,393.86,Two year,3,1
52,79.9,4139.17,Two year,1,1
23,82.53,1891.97,Two year,2,0
67,47.1,3168.93,Two year,2,0
22,85.9,1880.52,Month-to-month,3,1
36,96.47,3466.87,Two year,3,1
2,92.19,188.33,One year,2,1
72,110.0,7905.14,One year,5,1
25,63.98,1598.7,Month-to-month,2,1
14,74.36,1031.93,Month-to-month,2,0
33,106.11,3506.68,Two year,0,0
49,74.82,3668.29,One year,0,0
4,66.7,266.32,Month-to-month,3,1
30,98.52,2947.64,Two year,2,1
34,43.33,1485.7,One year,3,1
23,66.16,1508.84,One year,4,1
25,68.4,1715.07,One year,4,1
26,101.99,2656.58,Month-to-month,0,1
11,86.08,939.74,Two year,0,0
62,55.62,3439.9,Two year,5,0
63,36.79,2318.84,One year,0,0
17,23.91,409.95,Two year,0,1
45,57.87,2601.74,Month-to-month,1,0
59,50.07,2969.08,One year,2,0
42,54.66,2299.88,One year,1,0
61,114.35,6971.83,One year,2,1
48,55.01,2631.6,Two year,3,1
30,99.92,2994.31,Two year,0,0
49,38.11,1872.46,One year,0,0
23,60.65,1408.99,Two year,4,0
41,97.03,3974.26,Two year,3,1
13,87.55,1155.2,One year,3,0
13,63.49,820.57,Two year,3,0
33,52.91,1738.12,Two year,2,0
26,76.19,1973.62,One year,0,0
66,67.25,4436.72,One year,0,0
60,81.67,4903.92,One year,2,0
52,103.39,5381.64,Month-to-month,2,1
38,89.54,3394.61,One year,1,0
47,93.29,4373.79,Month-to-month,1,1
3,31.0,93.73,Two year,3,0
11,39.56,431.58,One year,2,0
4,95.59,349.5,Month-to-month,1,1
20,26.93,547.64,Month-to-month,1,1
37,62.82,2332.91,Month-to-month,3,1
46,104.54,4803.66,Two year,3,0
71,62.98,4486.76,Month-to-month,1,0
59,81.6,4805.93,Two year,0,0
69,49.47,3406.29,Month-to-month,3,0
47,59.72,2807.65,Two year,2,0
18,52.89,950.75,One year,2,0
62,48.46,3006.3,Two year,0,0
1,73.32,81.11,One year,4,1
21,89.99,1878.37,Month-to-month,0,1
55,81.03,4438.81,Two year,1,0
35,46.97,1643.14,One year,0,0
9,36.74,327.16,Two year,4,1
63,37.28,2351.81,Two year,2,1
14,46.71,661.53,Month-to-month,3,1
20,19.97,401.54,One year,3,0
60,88.19,5295.41,Month-to-month,2,1
51,25.64,1301.22,One year,2,0
2,30.7,62.26,One year,0,1
5,38.42,191.69,Two year,1,0
61,57.41,3524.78,Month-to-month,1,0
6,92.97,552.96,One year,1,1
26,54.54,1432.08,Month-to-month,2,1
56,50.95,2857.19,Month-to-month,3,0
32,19.39,637.37,One year,2,0
20,55.64,1117.76,Month-to-month,2,0
44,111.58,4923.53,Month-to-month,2,1
20,88.63,1773.94,Month-to-month,1,1
72,97.36,7010.68,One year,0,0
3,87.42,258.88,Month-to-month,2,1
57,74.4,4229.61,Two year,1,0
45,50.87,2269.43,Two year,2,0
71,34.53,2440.91,One year,1,0
59,18.57,1089.31,Month-to-month,0,0
47,96.1,4517.82,Two year,4,0
50,37.49,1867.56,Month-to-month,0,0
42,59.48,2496.19,Two year,2,1
17,36.36,622.79,Month-to-month,2,1
50,84.29,4199.16,One year,1,1
29,79.1,2314.72,Month-to-month,3,1
11,65.31,712.33,Two year,1,0
54,100.7,5438.75,Two year,1,0
6,91.93,553.62,Month-to-month,1,0
13,28.62,373.23,Month-to-month,3,1
32,75.5,2428.1,Two year,1,0
14,95.13,1318.54,Two year,1,0
14,35.18,496.81,One year,3,0
69,118.34,8156.73,One year,2,0
42,102.99,4313.51,Two year,3,1
31,74.81,2322.94,Two year,4,1
58,63.25,3655.65,One year,3,0
67,32.01,2145.56,Month-to-month,1,0
41,20.67,854.15,One year,0,0
66,74.13,4897.76,Month-to-month,1,0
20,32.34,637.93,Month-to-month,3,1
39,27.69,1061.84,Two year,4,1
42,97.79,4115.88,Two year,4,0
13,78.02,1009.22,Two year,4,1
8,110.69,875.11,One year,4,1
16,105.48,1689.8,Two year,4,0
49,23.91,1162.92,Two year,1,0
65,88.28,5746.75,One year,3,0
65,27.51,1772.16,Month-to-month,3,1
11,66.09,726.62,One year,0,1
65,61.95,4021.3,One year,0,0
63,58.03,3644.32,Two year,1,0
32,25.66,822.6,Two year,0,0
53,60.85,3219.96,Two year,3,0
40,35.43,1406.31,One year,4,0
57,22.99,1313.2,One year,1,0
11,29.74,350.11,Month-to-month,3,0
37,19.87,733.51,One year,1,0
43,39.4,1687.64,Two year,1,0
71,66.8,4742.11,Two year,1,0
49,76.8,3761.66,Month-to-month,1,1
26,97.42,2530.48,Two year,1,0
9,57.36,513.63,Two year,5,1
14,20.41,295.48,Month-to-month,0,0
66,116.16,7673.62,Two year,2,0
24,38.39,933.91,Two year,1,1
32,110.73,3539.43,Two year,3,1
45,86.93,3906.63,Two year,3,1
8,81.08,663.85,Month-to-month,0,0
36,41.06,1472.71,Month-to-month,3,1
49,70.57,3449.05,Two year,0,0
31,75.79,2341.74,Two year,2,0
70,31.68,2210.01,Two year,0,0
18,49.4,885.81,Month-to-month,0,0
19,84.12,1592.89,Month-to-month,1,1
16,36.91,593.55,Month-to-month,1,0
53,114.62,6069.42,Two year,4,0
