antiguedad_meses,cargo_mensual,cargos_totales,soporte_tecnico,tipo_contrato,factura_electronica,churn
69,54.67,3822.2,No,Mes_a_Mes,Si,0
67,26.5,1841.49,Si,Mes_a_Mes,No,0
30,76.35,2361.28,No,Mes_a_Mes,Si,1
52,55.54,2749.45,Si,Mes_a_Mes,Si,0
39,36.0,1320.69,Si,Dos_Anos,Si,0
71,100.08,6474.33,No,Mes_a_Mes,Si,1
13,57.13,762.4,Si,Mes_a_Mes,No,1
2,117.42,222.89,Si,Mes_a_Mes,Si,1
66,92.09,5577.99,Si,Mes_a_Mes,Si,0
66,104.77,6713.62,No,Mes_a_Mes,Si,0
15,84.07,1172.39,Si,Mes_a_Mes,Si,1
59,78.36,4629.01,Si,Mes_a_Mes,No,1
18,65.66,1098.94,Si,Mes_a_Mes,No,1
69,32.9,2491.93,No,Mes_a_Mes,Si,0
30,95.05,2757.72,No,Dos_Anos,Si,0
5,57.28,284.96,No,Mes_a_Mes,Si,1
40,43.68,1780.97,No,Mes_a_Mes,No,0
21,35.87,806.09,Si,Mes_a_Mes,Si,1
64,32.44,2262.17,No,Un_Ano,Si,0
8,70.16,546.35,Si,Un_Ano,No,1
6,104.51,617.47,No,Mes_a_Mes,No,0
68,37.23,2354.91,No,Mes_a_Mes,Si,1
58,73.9,4020.15,Si,Mes_a_Mes,Si,0
52,61.02,3314.06,No,Mes_a_Mes,Si,0
30,76.29,2259.07,No,Un_Ano,Si,0
57,30.51,1858.12,Si,Dos_Anos,Si,0
27,75.84,2059.62,Si,Un_Ano,Si,0
44,77.25,3251.28,No,Mes_a_Mes,No,0
69,107.66,7694.94,Si,Mes_a_Mes,Si,0
11,43.95,480.82,No,Dos_Anos,Si,0
43,102.4,4746.85,No,Mes_a_Mes,No,0
35,96.38,3286.84,Si,Mes_a_Mes,Si,0
11,111.87,1170.19,No,Un_Ano,Si,1
54,111.73,5960.34,No,Mes_a_Mes,No,0
50,97.78,5230.3,Si,Mes_a_Mes,Si,1
61,112.9,7333.73,No,Un_Ano,No,0
5,49.6,267.52,Sin_Internet,Un_Ano,No,0
26,39.78,1106.61,No,Un_Ano,No,0
33,51.64,1646.23,Si,Dos_Anos,No,0
23,104.79,2454.63,Sin_Internet,Mes_a_Mes,Si,1
58,54.78,3364.51,No,Dos_Anos,Si,0
71,102.77,7791.55,Si,Mes_a_Mes,Si,1
9,60.34,532.39,Sin_Internet,Mes_a_Mes,No,1
16,100.95,1619.59,No,Dos_Anos,Si,1
44,105.48,4446.81,Sin_Internet,Mes_a_Mes,Si,0
28,89.4,2602.24,Sin_Internet,Mes_a_Mes,No,0
23,118.06,2808.71,No,Mes_a_Mes,Si,0
12,94.38,1153.03,Si,Mes_a_Mes,Si,1
42,48.29,2079.82,No,Un_Ano,No,0
9,118.52,1151.73,Sin_Internet,Mes_a_Mes,No,1
58,89.96,5551.67,No,Un_Ano,Si,0
19,66.4,1166.93,No,Mes_a_Mes,Si,1
36,71.73,2656.0,Sin_Internet,Dos_Anos,No,0
66,97.78,6016.7,Si,Mes_a_Mes,Si,0
57,96.56,5116.88,Sin_Internet,Mes_a_Mes,No,1
57,104.91,5919.15,Si,Mes_a_Mes,Si,0
25,47.87,1193.29,Sin_Internet,Dos_Anos,Si,0
13,115.07,1377.47,Sin_Internet,Dos_Anos,No,1
59,49.84,2947.51,No,Mes_a_Mes,Si,1
13,70.65,859.03,No,Mes_a_Mes,Si,1
27,45.08,1229.49,Sin_Internet,Un_Ano,No,0
40,66.26,2826.44,Sin_Internet,Mes_a_Mes,No,0
52,86.74,4136.97,No,Dos_Anos,No,0
17,71.73,1194.84,Sin_Internet,Mes_a_Mes,No,0
51,48.61,2347.08,No,Mes_a_Mes,No,0
2,61.77,125.38,Sin_Internet,Dos_Anos,No,0
12,81.48,1054.71,No,Un_Ano,Si,1
28,110.29,2901.15,Sin_Internet,Un_Ano,Si,1
25,65.25,1688.77,No,Mes_a_Mes,Si,0
31,79.61,2267.07,No,Mes_a_Mes,Si,1
27,111.53,3038.89,Si,Un_Ano,No,0
59,104.9,6407.05,No,Dos_Anos,Si,0
1,42.61,44.07,No,Mes_a_Mes,Si,1
35,59.37,2176.96,No,Dos_Anos,No,0
1,99.93,98.28,Si,Un_Ano,Si,1
9,94.45,894.26,Si,Dos_Anos,Si,0
33,97.89,3212.86,No,Un_Ano,No,1
44,40.15,1704.03,No,Mes_a_Mes,Si,0
53,68.71,3511.96,Si,Mes_a_Mes,Si,1
47,91.04,4001.33,No,Mes_a_Mes,No,0
46,63.56,3052.74,Si,Mes_a_Mes,Si,1
18,78.63,1318.43,No,Un_Ano,Si,0
16,97.17,1597.07,No,Un_Ano,Si,1
59,72.85,4440.3,Sin_Internet,Dos_Anos,No,0
52,82.97,4130.33,Sin_Internet,Mes_a_Mes,No,0
53,57.6,3045.86,No,Un_Ano,No,0
60,59.68,3703.21,No,Dos_Anos,No,0
9,42.83,346.94,No,Mes_a_Mes,Si,1
28,119.22,3187.77,Sin_Internet,Mes_a_Mes,Si,1
66,82.67,5324.88,Sin_Internet,Mes_a_Mes,No,1
22,43.47,1038.75,No,Dos_Anos,Si,0
35,40.62,1411.53,No,Un_Ano,Si,0
41,46.71,1917.78,Si,Mes_a_Mes,No,0
31,93.19,2983.72,No,Dos_Anos,Si,0
63,72.39,4516.32,Sin_Internet,Mes_a_Mes,Si,0
59,75.88,4416.38,Sin_Internet,Mes_a_Mes,No,0
10,91.13,997.76,No,Un_Ano,Si,1
36,94.25,3604.94,Sin_Internet,Un_Ano,No,0
47,95.93,4690.65,Si,Dos_Anos,No,0
58,32.58,1882.28,Si,Un_Ano,No,0
47,104.08,4741.4,Sin_Internet,Un_Ano,Si,0
22,41.57,931.35,No,Mes_a_Mes,Si,1
30,85.31,2531.77,No,Mes_a_Mes,No,0
23,46.42,1060.53,Sin_Internet,Mes_a_Mes,No,0
47,103.49,4593.2,Sin_Internet,Mes_a_Mes,No,1
54,97.69,5582.57,Sin_Internet,Un_Ano,No,0
16,41.65,705.19,Si,Mes_a_Mes,Si,1
10,77.28,742.03,No,Dos_Anos,No,0
36,93.56,3226.11,No,Dos_Anos,No,0
28,41.08,1099.18,Si,Dos_Anos,No,0
42,38.91,1523.96,Si,Un_Ano,Si,0
17,60.7,1105.83,Si,Mes_a_Mes,Si,1
48,112.27,5136.31,No,Un_Ano,No,0
52,31.44,1699.84,Sin_Internet,Mes_a_Mes,Si,0
60,59.09,3261.53,Si,Dos_Anos,Si,0
39,101.6,4148.94,No,Un_Ano,No,0
51,57.7,2735.13,Si,Un_Ano,Si,0
51,30.23,1436.52,Si,Un_Ano,No,0
5,85.1,453.71,No,Dos_Anos,No,0
64,116.0,7113.56,Si,Mes_a_Mes,Si,0
36,80.07,2693.65,Si,Mes_a_Mes,No,1
39,102.37,4021.89,Si,Mes_a_Mes,Si,0
11,26.35,265.2,No,Un_Ano,Si,0
54,87.75,4937.92,Si,Un_Ano,Si,0
4,39.34,168.1,No,Un_Ano,Si,0
48,91.36,4164.61,Sin_Internet,Mes_a_Mes,Si,1
55,79.16,4526.21,Si,Un_Ano,No,0
33,46.06,1384.33,Si,Mes_a_Mes,Si,0
1,80.58,80.23,No,Mes_a_Mes,Si,0
34,89.24,3308.42,No,Mes_a_Mes,Si,1
29,110.7,3234.74,No,Un_Ano,No,0
67,109.44,7201.64,No,Un_Ano,No,0
24,113.96,2464.74,Si,Mes_a_Mes,Si,0
66,104.91,6586.06,Sin_Internet,Dos_Anos,No,1
71,76.38,5345.41,Sin_Internet,Mes_a_Mes,No,0
61,105.67,6287.85,No,Mes_a_Mes,Si,0
43,93.61,3976.09,No,Mes_a_Mes,Si,0
45,95.1,3871.79,Si,Mes_a_Mes,Si,0
35,39.68,1397.48,No,Dos_Anos,Si,0
33,42.07,1319.27,No,Dos_Anos,No,0
69,42.13,2849.18,Sin_Internet,Mes_a_Mes,Si,1
67,44.87,3238.63,No,Mes_a_Mes,Si,0
12,64.71,827.48,No,Dos_Anos,No,0
68,54.96,3661.02,No,Mes_a_Mes,No,0
32,29.66,864.47,No,Mes_a_Mes,No,0
24,93.79,2426.04,Sin_Internet,Dos_Anos,Si,1
51,63.31,3163.58,No,Mes_a_Mes,Si,0
66,32.41,2130.31,Si,Un_Ano,Si,0
69,99.96,6325.73,Si,Un_Ano,Si,0
12,26.86,334.73,No,Un_Ano,No,0
25,78.19,2037.68,Si,Mes_a_Mes,No,1
24,96.93,2283.83,Si,Mes_a_Mes,Si,1
44,60.4,2864.3,Sin_Internet,Un_Ano,Si,0
45,79.54,3256.19,Si,Un_Ano,Si,0
57,29.82,1634.31,No,Dos_Anos,No,0
45,47.52,2013.03,No,Mes_a_Mes,No,0
18,88.04,1647.45,No,Mes_a_Mes,No,1
51,100.08,4802.6,No,Mes_a_Mes,Si,1
20,35.86,746.28,No,Dos_Anos,No,0
29,116.79,3587.79,No,Mes_a_Mes,No,0
63,62.48,4159.22,Sin_Internet,Un_Ano,No,0
34,112.84,3474.43,No,Mes_a_Mes,Si,1
68,76.27,5632.92,No,Mes_a_Mes,No,1
5,86.18,449.4,No,Mes_a_Mes,Si,1
22,41.71,975.02,Si,Mes_a_Mes,Si,1
25,109.05,2805.72,No,Mes_a_Mes,Si,0
62,33.31,2077.25,No,Mes_a_Mes,No,0
1,118.81,122.25,Sin_Internet,Un_Ano,Si,0
40,62.24,2419.96,Si,Un_Ano,Si,0
31,40.62,1248.6,No,Mes_a_Mes,Si,0
5,82.55,430.29,Si,Mes_a_Mes,No,1
48,107.24,5320.11,No,Mes_a_Mes,Si,1
51,62.72,3258.56,Sin_Internet,Mes_a_Mes,Si,0
29,25.82,681.27,No,Un_Ano,No,0
51,107.87,5267.89,No,Un_Ano,Si,1
55,80.23,4503.96,No,Dos_Anos,No,1
42,33.82,1410.11,No,Dos_Anos,No,0
20,111.07,2149.46,No,Un_Ano,Si,0
60,98.46,6164.02,No,Mes_a_Mes,Si,0
39,75.6,2881.78,Si,Mes_a_Mes,Si,1
61,67.44,4449.87,Sin_Internet,Mes_a_Mes,Si,0
64,92.06,5929.19,No,Mes_a_Mes,No,0
23,59.4,1361.69,No,Mes_a_Mes,No,1
9,87.21,759.33,No,Mes_a_Mes,No,1
53,39.34,1932.49,No,Mes_a_Mes,Si,1
51,38.53,1772.3,Sin_Internet,Un_Ano,Si,0
32,54.55,1807.36,Si,Dos_Anos,Si,0
52,109.15,5182.43,Si,Mes_a_Mes,Si,0
12,105.78,1224.94,Sin_Internet,Dos_Anos,Si,0
66,71.75,5091.26,No,Mes_a_Mes,Si,0
21,80.62,1685.6,No,Un_Ano,No,1
40,84.62,3644.32,Si,Un_Ano,Si,0
11,60.45,606.64,No,Mes_a_Mes,Si,1
61,91.63,5973.3,No,Mes_a_Mes,Si,1
28,82.77,2517.56,Sin_Internet,Mes_a_Mes,Si,1
5,58.66,317.56,No,Dos_Anos,Si,0
63,51.97,3167.06,No,Mes_a_Mes,Si,0
15,118.17,1629.01,No,Mes_a_Mes,No,1
32,52.01,1802.48,Sin_Internet,Dos_Anos,Si,0
41,41.54,1586.43,No,Un_Ano,No,0
36,104.29,3788.98,No,Mes_a_Mes,No,1
9,102.03,901.27,No,Mes_a_Mes,Si,0
44,47.68,2290.03,Sin_Internet,Mes_a_Mes,Si,0
7,105.63,726.98,Si,Un_Ano,Si,1
44,111.61,4783.46,Si,Mes_a_Mes,No,1
44,56.52,2530.05,Si,Un_Ano,Si,0
6,56.21,339.13,Sin_Internet,Mes_a_Mes,Si,0
16,37.44,593.3,No,Mes_a_Mes,No,0
66,83.03,5482.82,Sin_Internet,Mes_a_Mes,Si,0
4,90.93,334.51,Si,Mes_a_Mes,No,1
64,31.97,2224.05,Si,Un_Ano,Si,0
5,44.85,213.05,Sin_Internet,Mes_a_Mes,Si,1
37,50.69,1901.84,No,Mes_a_Mes,Si,1
26,67.38,1589.12,Sin_Internet,Un_Ano,Si,0
30,103.25,2970.92,Si,Mes_a_Mes,Si,0
2,46.3,96.09,No,Dos_Anos,No,0
18,101.72,1815.35,Sin_Internet,Dos_Anos,Si,0
7,109.53,802.0,No,Un_Ano,No,0
20,44.05,820.28,Si,Mes_a_Mes,Si,1
15,119.32,1964.51,No,Dos_Anos,Si,1
52,74.09,3810.86,No,Dos_Anos,Si,0
28,77.42,2184.58,No,Dos_Anos,Si,0
64,83.53,5086.73,Sin_Internet,Mes_a_Mes,Si,1
67,101.27,6566.81,Si,Un_Ano,No,0
3,87.06,269.26,No,Dos_Anos,No,1
57,94.81,5233.1,No,Mes_a_Mes,Si,1
55,66.77,3832.87,Sin_Internet,Un_Ano,Si,0
12,81.05,930.95,Si,Mes_a_Mes,No,1
64,48.47,3266.77,No,Un_Ano,No,0
57,59.51,3510.77,Sin_Internet,Dos_Anos,No,0
36,85.0,2883.81,Si,Mes_a_Mes,Si,0
8,28.9,210.39,No,Dos_Anos,No,1
9,79.97,781.66,Si,Mes_a_Mes,Si,1
35,77.32,2562.87,Si,Mes_a_Mes,Si,0
35,42.74,1518.99,No,Mes_a_Mes,No,1
11,113.68,1199.92,Si,Un_Ano,Si,0
6,32.95,203.96,Si,Dos_Anos,No,0
25,29.89,777.33,Sin_Internet,Dos_Anos,Si,0
1,106.82,97.73,No,Dos_Anos,Si,0
9,104.83,858.56,Si,Mes_a_Mes,Si,1
29,62.64,1994.85,No,Mes_a_Mes,Si,0
46,117.66,5702.51,No,Un_Ano,Si,0
32,117.67,3585.89,Si,Dos_Anos,Si,0
31,36.87,1141.0,Si,Mes_a_Mes,Si,0
6,70.55,462.07,Si,Mes_a_Mes,Si,0
29,30.07,879.68,No,Un_Ano,Si,0
31,58.99,1799.17,Sin_Internet,Mes_a_Mes,No,0
16,31.81,461.89,Si,Dos_Anos,Si,0
4,40.27,163.81,Si,Dos_Anos,No,0
8,109.8,945.45,No,Mes_a_Mes,No,1
65,105.21,6897.21,No,Dos_Anos,No,0
37,106.5,4162.57,No,Mes_a_Mes,Si,1
30,28.1,908.08,Sin_Internet,Dos_Anos,Si,0
24,79.07,1862.5,No,Mes_a_Mes,No,1
43,98.54,4162.29,Si,Un_Ano,No,0
11,90.71,1081.9,Si,Un_Ano,Si,0
61,72.56,4285.07,No,Un_Ano,Si,0
38,36.57,1434.55,Si,Mes_a_Mes,Si,0
48,98.53,4842.85,Si,Un_Ano,Si,0
26,109.54,2839.59,Si,Mes_a_Mes,No,0
24,50.5,1246.42,No,Dos_Anos,Si,0
12,76.26,952.3,Sin_Internet,Mes_a_Mes,Si,1
17,71.59,1320.43,Si,Mes_a_Mes,No,0
53,94.65,5318.2,Si,Un_Ano,No,0
14,112.97,1536.67,No,Un_Ano,No,1
25,68.05,1678.16,Si,Un_Ano,Si,0
13,68.94,968.57,Sin_Internet,Mes_a_Mes,Si,1
37,46.48,1640.97,Si,Dos_Anos,No,0
10,42.03,405.58,Si,Dos_Anos,No,0
7,28.67,208.28,No,Mes_a_Mes,No,1
14,102.67,1325.49,No,Mes_a_Mes,Si,0
5,63.23,334.31,Si,Un_Ano,No,0
13,31.96,452.74,Si,Mes_a_Mes,Si,0
20,77.36,1591.5,Sin_Internet,Un_Ano,Si,1
28,56.86,1455.87,No,Un_Ano,Si,0
52,117.29,5780.13,Si,Mes_a_Mes,Si,0
39,67.54,2422.02,Si,Mes_a_Mes,No,0
21,34.76,702.09,Sin_Internet,Un_Ano,Si,0
64,85.63,5962.1,Sin_Internet,Un_Ano,Si,0
17,100.38,1658.41,Si,Dos_Anos,Si,1
70,80.22,5260.92,No,Dos_Anos,Si,0
25,98.61,2544.91,Si,Mes_a_Mes,Si,0
19,53.47,1097.13,Si,Dos_Anos,Si,0
11,75.47,752.88,Sin_Internet,Un_Ano,Si,0
32,103.57,3425.88,Sin_Internet,Un_Ano,No,0
10,32.14,307.84,Si,Mes_a_Mes,No,1
44,49.65,2129.58,Sin_Internet,Dos_Anos,No,0
59,84.55,4726.3,No,Dos_Anos,No,0
2,73.07,158.01,Sin_Internet,Mes_a_Mes,No,0
12,98.11,1268.21,Sin_Internet,Un_Ano,No,0
65,41.92,2781.91,Sin_Internet,Mes_a_Mes,Si,0
68,105.5,6479.67,Si,Mes_a_Mes,Si,0
17,83.76,1551.1,No,Mes_a_Mes,Si,0
53,44.31,2333.12,Sin_Internet,Mes_a_Mes,No,0
19,30.37,575.75,No,Dos_Anos,No,0
1,118.29,124.75,Si,Mes_a_Mes,Si,1
52,67.18,3572.8,No,Dos_Anos,Si,0
17,50.42,792.24,No,Dos_Anos,No,1
58,42.13,2250.68,No,Mes_a_Mes,Si,0
71,48.2,3252.55,No,Un_Ano,No,0
62,71.53,4053.98,No,Mes_a_Mes,No,0
33,106.03,3732.01,No,Mes_a_Mes,Si,0
70,44.81,2847.78,No,Mes_a_Mes,Si,1
52,59.98,3397.16,Sin_Internet,Dos_Anos,No,0
6,100.74,557.43,Si,Mes_a_Mes,No,0
64,88.12,6043.07,Sin_Internet,Dos_Anos,No,0
59,27.73,1550.09,No,Mes_a_Mes,Si,0
22,48.78,1107.66,Sin_Internet,Mes_a_Mes,No,1
69,37.1,2479.07,No,Un_Ano,Si,0
2,28.92,52.83,Si,Dos_Anos,Si,0
46,114.98,5532.83,Sin_Internet,Un_Ano,Si,0
62,83.99,5528.02,No,Mes_a_Mes,No,0
52,76.47,3816.38,Sin_Internet,Mes_a_Mes,Si,0
45,106.71,5075.26,No,Dos_Anos,Si,0
53,81.19,4266.49,No,Mes_a_Mes,Si,1
36,79.88,3007.68,Si,Mes_a_Mes,Si,0
51,44.18,2318.65,Sin_Internet,Mes_a_Mes,No,0
18,83.94,1640.82,Sin_Internet,Dos_Anos,No,1
12,88.46,1025.0,Si,Dos_Anos,Si,0
57,108.73,5714.25,No,Mes_a_Mes,Si,0
46,65.41,3182.34,No,Mes_a_Mes,No,1
41,44.37,1932.98,No,Dos_Anos,Si,0
20,79.08,1431.7,No,Mes_a_Mes,No,1
20,117.39,2172.25,No,Dos_Anos,Si,1
