id_transaccion,items
TRX-000137,"Cerveza,Pañales,Queso"
TRX-000138,"Chocolate,Leche,Manzanas"
TRX-000139,"Cerveza,Manzanas,Pan"
TRX-000140,"Cafe,Leche,Pan"
TRX-000141,"Cerveza,Pañales"
TRX-000142,"Cafe,Leche,Pan"
TRX-000143,"Pan,Pasta,Pañales"
TRX-000144,"Arroz,Cafe,Huevos,Leche,Manzanas"
TRX-000145,"Cafe,Leche,Pan,Pañales"
TRX-000146,"Cafe,Leche,Pan"
TRX-000147,"Cafe,Huevos"
TRX-000148,"Arroz,Huevos,Leche,Queso,Vino"
TRX-000149,"Cafe,Cerveza,Leche,Pasta,Queso"
TRX-000150,"Arroz,Chocolate,Huevos"
TRX-000151,"Cerveza,Huevos,Pañales"
TRX-000152,"Cerveza,Pañales"
TRX-000153,Chocolate
TRX-000154,"Cerveza,Manzanas,Pasta,Pañales"
TRX-000155,Queso
TRX-000156,"Arroz,Cafe,Cerveza,Manzanas"
TRX-000157,Vino
TRX-000158,Huevos
TRX-000159,"Cafe,Leche,Pan"
TRX-000160,"Pan,Pañales,Vino"
TRX-000161,"Cerveza,Chocolate,Pañales"
TRX-000162,Huevos
TRX-000163,Cafe
TRX-000164,"Cerveza,Pañales"
TRX-000165,"Chocolate,Pasta"
TRX-000166,"Cerveza,Pan,Pañales,Queso,Vino"
TRX-000167,"Cerveza,Pañales"
TRX-000168,"Arroz,Cafe,Manzanas,Vino"
TRX-000169,"Cerveza,Pañales"
TRX-000170,"Cafe,Huevos,Manzanas,Pasta,Queso"
TRX-000171,"Arroz,Cafe,Huevos,Leche,Queso"
TRX-000172,"Cafe,Leche,Pan"
TRX-000173,"Cerveza,Pasta"
TRX-000174,"Cerveza,Pañales"
TRX-000175,"Cafe,Leche,Pan"
TRX-000176,"Cerveza,Manzanas,Pan,Pañales"
TRX-000177,"Cerveza,Queso"
TRX-000178,"Arroz,Cerveza,Huevos,Manzanas,Pañales"
TRX-000179,"Cafe,Leche,Pan"
TRX-000180,"Cerveza,Manzanas,Pan,Pañales"
TRX-000181,"Chocolate,Huevos,Pañales"
TRX-000182,"Arroz,Manzanas,Pan,Pasta"
TRX-000183,"Arroz,Cerveza,Queso,Vino"
TRX-000184,"Cafe,Chocolate,Leche"
TRX-000185,"Cerveza,Pañales"
TRX-000186,"Arroz,Cerveza,Pañales,Queso"
TRX-000187,"Cerveza,Pañales"
TRX-000188,"Cafe,Leche,Pan"
TRX-000189,"Cafe,Chocolate,Leche,Pan"
TRX-000190,"Arroz,Chocolate"
TRX-000191,"Cafe,Cerveza,Leche,Pan"
TRX-000192,"Cerveza,Pasta"
TRX-000193,Pasta
TRX-000194,Cerveza
TRX-000195,"Manzanas,Pasta,Vino"
TRX-000196,"Cafe,Cerveza,Pañales"
TRX-000197,"Chocolate,Leche,Pan,Queso,Vino"
TRX-000198,"Cafe,Leche,Pan"
TRX-000199,"Cerveza,Pañales"
TRX-000200,"Cafe,Cerveza,Huevos,Manzanas"
TRX-000201,"Cerveza,Pañales"
TRX-000202,"Cafe,Cerveza,Huevos,Manzanas,Pañales"
TRX-000203,"Cafe,Leche,Pan"
TRX-000204,"Huevos,Pasta,Pañales,Vino"
TRX-000205,"Cafe,Cerveza,Pañales,Vino"
TRX-000206,"Arroz,Manzanas,Pasta,Pañales,Vino"
TRX-000207,Vino
TRX-000208,"Cerveza,Huevos,Manzanas,Pañales"
TRX-000209,"Cafe,Cerveza,Pañales"
TRX-000210,"Huevos,Vino"
TRX-000211,Pañales
TRX-000212,"Chocolate,Vino"
TRX-000213,"Cerveza,Pañales"
TRX-000214,"Cafe,Leche,Pan"
TRX-000215,"Cafe,Leche,Pan"
TRX-000216,"Cafe,Leche,Pan"
TRX-000217,"Arroz,Cafe,Cerveza,Pañales"
TRX-000218,"Cafe,Leche,Pan"
TRX-000219,Arroz
TRX-000220,"Cafe,Leche"
TRX-000221,"Arroz,Pañales,Vino"
TRX-000222,"Cerveza,Chocolate,Pañales"
TRX-000223,"Cafe,Manzanas,Pan"
TRX-000224,"Cafe,Leche,Pan"
TRX-000225,"Cafe,Cerveza,Chocolate,Pan"
TRX-000226,"Arroz,Huevos,Manzanas,Pan,Queso"
TRX-000227,"Leche,Pan"
TRX-000228,"Cerveza,Pañales"
TRX-000229,Cafe
TRX-000230,"Cafe,Leche,Pan"
TRX-000231,"Cerveza,Pañales"
TRX-000232,"Arroz,Cerveza,Pañales,Queso,Vino"
TRX-000233,"Cerveza,Pañales"
TRX-000234,Pañales
TRX-000235,"Cerveza,Pañales,Queso,Vino"
TRX-000236,"Cerveza,Pañales,Queso"
TRX-000237,"Arroz,Manzanas,Pan"
TRX-000238,Huevos
TRX-000239,"Cerveza,Leche"
TRX-000240,"Cafe,Vino"
TRX-000241,"Arroz,Cerveza,Queso,Vino"
TRX-000242,"Cafe,Leche,Manzanas,Pasta,Vino"
TRX-000243,"Cerveza,Leche"
TRX-000244,"Leche,Pan"
TRX-000245,"Cafe,Leche,Pan"
TRX-000246,"Cafe,Leche,Manzanas,Pan"
TRX-000247,"Cafe,Cerveza,Huevos,Pan,Pasta"
TRX-000248,"Cafe,Leche,Pan"
TRX-000249,"Cerveza,Manzanas,Pan,Pañales,Queso"
TRX-000250,"Cafe,Leche,Pan"
TRX-000251,"Arroz,Cafe,Huevos,Pan,Queso"
TRX-000252,"Cafe,Leche,Pan"
TRX-000253,"Cafe,Chocolate,Pasta,Pañales"
TRX-000254,"Cerveza,Chocolate,Pañales,Queso"
TRX-000255,Pan
TRX-000256,"Cerveza,Leche,Pañales,Queso,Vino"
TRX-000257,"Cafe,Leche,Pan"
TRX-000258,"Cafe,Leche,Pan"
TRX-000259,"Cafe,Leche,Pan"
TRX-000260,"Chocolate,Pan"
TRX-000261,"Arroz,Cerveza,Pan,Pañales,Queso"
TRX-000262,"Arroz,Cerveza,Leche,Pañales,Vino"
TRX-000263,"Leche,Manzanas,Queso,Vino"
TRX-000264,"Cafe,Leche,Pan"
TRX-000265,"Cerveza,Pañales"
TRX-000266,"Cafe,Leche,Pan"
TRX-000267,"Cerveza,Pañales"
TRX-000268,"Cerveza,Huevos,Manzanas,Pañales"
TRX-000269,"Cafe,Leche,Pan"
TRX-000270,"Cafe,Leche,Pan"
TRX-000271,"Cafe,Leche,Manzanas,Pan"
TRX-000272,"Cerveza,Pañales"
TRX-000273,"Manzanas,Pañales,Vino"
TRX-000274,"Leche,Manzanas,Pan,Vino"
TRX-000275,"Cerveza,Pañales"
TRX-000276,"Arroz,Cerveza,Pañales"
TRX-000277,"Cafe,Cerveza,Chocolate,Huevos,Vino"
TRX-000278,"Cafe,Cerveza"
TRX-000279,"Cerveza,Pañales"
TRX-000280,"Huevos,Pan,Queso"
TRX-000281,"Arroz,Cafe,Leche,Manzanas,Pan"
TRX-000282,Cerveza
TRX-000283,"Chocolate,Manzanas,Vino"
TRX-000284,"Cerveza,Leche,Manzanas,Queso,Vino"
TRX-000285,"Cafe,Cerveza,Pañales,Queso"
TRX-000286,"Cafe,Cerveza,Chocolate,Pasta,Pañales"
TRX-000287,"Cerveza,Pañales"
TRX-000288,"Chocolate,Manzanas,Queso,Vino"
TRX-000289,"Cerveza,Queso"
TRX-000290,"Chocolate,Pañales"
TRX-000291,Vino
TRX-000292,Huevos
TRX-000293,"Cafe,Leche,Pan"
TRX-000294,"Cerveza,Leche,Pañales,Vino"
TRX-000295,"Cerveza,Chocolate,Huevos,Leche,Manzanas"
TRX-000296,"Cafe,Leche,Pan"
TRX-000297,"Cafe,Leche,Pan"
TRX-000298,"Cerveza,Pañales"
TRX-000299,"Cerveza,Chocolate,Leche,Manzanas,Pañales"
TRX-000300,"Cerveza,Pañales"
TRX-000301,"Cerveza,Leche,Pañales,Queso"
TRX-000302,"Cafe,Chocolate,Leche,Pan,Vino"
TRX-000303,"Cafe,Leche,Pan,Vino"
TRX-000304,"Cerveza,Pañales"
TRX-000305,"Arroz,Cerveza,Pañales,Vino"
TRX-000306,"Cerveza,Chocolate,Leche,Pan,Pañales"
TRX-000307,"Cafe,Cerveza,Leche,Pan"
TRX-000308,"Cerveza,Huevos,Pan,Pañales,Queso"
TRX-000309,"Arroz,Cerveza,Pañales"
TRX-000310,Leche
TRX-000311,"Cafe,Chocolate,Leche,Pan"
TRX-000312,"Leche,Manzanas,Pan,Vino"
TRX-000313,"Cerveza,Pañales"
TRX-000314,Pan
TRX-000315,"Chocolate,Leche"
TRX-000316,"Arroz,Chocolate,Vino"
TRX-000317,"Cerveza,Pan,Pasta,Queso,Vino"
TRX-000318,"Cerveza,Chocolate,Manzanas,Pañales"
TRX-000319,"Cafe,Leche,Pan"
TRX-000320,"Arroz,Cerveza,Manzanas,Pañales,Queso"
TRX-000321,"Cafe,Leche,Pan"
TRX-000322,"Cafe,Leche,Pan,Vino"
TRX-000323,"Manzanas,Pasta,Queso,Vino"
TRX-000324,"Cafe,Cerveza,Leche,Manzanas,Pan"
TRX-000325,"Cafe,Leche,Pan"
TRX-000326,"Cafe,Leche,Pan"
TRX-000327,"Cerveza,Pañales"
TRX-000328,"Cerveza,Chocolate,Pañales,Queso"
TRX-000329,"Manzanas,Pan"
TRX-000330,"Arroz,Cafe,Leche,Pan"
TRX-000331,"Cerveza,Pañales,Vino"
TRX-000332,Leche
TRX-000333,"Arroz,Manzanas,Pan"
TRX-000334,"Cafe,Leche,Pan"
TRX-000335,"Cerveza,Pañales"
TRX-000336,"Cerveza,Leche,Pañales"
TRX-000337,"Cafe,Leche,Pan"
TRX-000338,"Arroz,Cerveza,Pañales"
TRX-000339,"Cafe,Leche,Pan"
TRX-000340,"Arroz,Chocolate,Huevos,Manzanas,Queso"
TRX-000341,"Cerveza,Pañales,Queso"
TRX-000342,Pan
TRX-000343,"Arroz,Cerveza,Pañales"
TRX-000344,Cafe
TRX-000345,"Arroz,Manzanas,Pasta,Pañales,Vino"
TRX-000346,"Cafe,Leche,Pan"
TRX-000347,"Arroz,Cerveza,Leche,Queso,Vino"
TRX-000348,"Arroz,Cafe,Cerveza,Pan,Vino"
TRX-000349,"Cerveza,Pañales"
TRX-000350,"Cafe,Chocolate,Leche,Manzanas,Pañales"
TRX-000351,"Cafe,Cerveza,Leche,Pan,Queso"
TRX-000352,"Cafe,Leche,Pan"
TRX-000353,"Pasta,Queso"
TRX-000354,"Huevos,Pañales"
TRX-000355,"Cafe,Leche,Pan"
TRX-000356,"Pasta,Queso"
TRX-000357,"Arroz,Huevos,Manzanas,Queso"
TRX-000358,"Cafe,Leche,Pan"
TRX-000359,"Cafe,Chocolate,Leche,Pan"
TRX-000360,"Cafe,Cerveza,Queso"
TRX-000361,"Chocolate,Huevos,Pasta,Queso"
TRX-000362,"Cafe,Huevos,Pasta,Pañales"
TRX-000363,"Cafe,Leche,Pan"
TRX-000364,"Cafe,Leche,Pan"
TRX-000365,Cerveza
TRX-000366,"Cafe,Cerveza,Huevos,Pañales"
TRX-000367,"Cerveza,Pañales"
TRX-000368,"Arroz,Chocolate,Queso"
TRX-000369,"Cafe,Leche,Pan"
TRX-000370,"Cerveza,Chocolate,Pañales"
TRX-000371,"Cafe,Pan,Queso"
TRX-000372,"Huevos,Leche,Manzanas"
TRX-000373,"Arroz,Huevos,Manzanas,Vino"
TRX-000374,"Cafe,Leche,Pan"
TRX-000375,"Cafe,Leche,Pan"
TRX-000376,"Cerveza,Chocolate,Huevos"
TRX-000377,"Cerveza,Pañales"
TRX-000378,"Cerveza,Pañales"
TRX-000379,"Cerveza,Pañales"
TRX-000380,"Huevos,Manzanas,Pañales,Queso,Vino"
TRX-000381,"Cafe,Leche,Pan"
TRX-000382,"Cafe,Leche,Pan"
TRX-000383,"Cerveza,Pañales"
TRX-000384,"Cerveza,Huevos,Pañales,Queso"
TRX-000385,Manzanas
TRX-000386,Leche
TRX-000387,"Cerveza,Pañales"
TRX-000388,"Cafe,Leche,Pan"
TRX-000389,"Arroz,Manzanas"
TRX-000390,"Cerveza,Pañales"
TRX-000391,"Cafe,Cerveza,Pañales"
TRX-000392,"Cafe,Leche,Pan"
TRX-000393,Chocolate
TRX-000394,"Cafe,Leche,Pan"
TRX-000395,"Cerveza,Leche,Manzanas,Pan"
TRX-000396,"Cerveza,Pañales"
TRX-000397,"Arroz,Pan,Queso"
TRX-000398,"Cerveza,Huevos"
TRX-000399,"Cerveza,Pañales"
TRX-000400,"Cafe,Pan,Queso"
TRX-000401,"Arroz,Chocolate,Pasta,Queso"
TRX-000402,"Cerveza,Pañales"
TRX-000403,Cerveza
TRX-000404,"Cerveza,Leche,Pan,Pasta,Pañales"
TRX-000405,"Leche,Pan,Pasta,Pañales,Queso"
TRX-000406,"Arroz,Leche,Pan"
TRX-000407,"Arroz,Cafe,Pañales"
TRX-000408,"Cerveza,Huevos"
TRX-000409,"Cafe,Leche,Pan"
TRX-000410,"Cafe,Leche,Pan"
TRX-000411,"Cerveza,Huevos,Pañales"
TRX-000412,Chocolate
TRX-000413,"Pan,Vino"
TRX-000414,"Huevos,Leche,Manzanas,Pañales,Queso"
TRX-000415,"Cerveza,Pañales"
TRX-000416,Queso
TRX-000417,"Arroz,Huevos,Pan,Pasta,Pañales"
TRX-000418,"Chocolate,Huevos,Manzanas,Pan,Queso"
TRX-000419,"Cerveza,Leche,Manzanas,Pañales"
TRX-000420,"Cafe,Leche,Pan"
TRX-000421,"Cafe,Leche,Pan"
TRX-000422,"Pan,Vino"
TRX-000423,"Arroz,Cerveza,Pañales"
TRX-000424,"Cerveza,Chocolate,Manzanas,Pasta"
TRX-000425,"Arroz,Cafe,Manzanas,Pan"
TRX-000426,"Cafe,Leche,Pan"
TRX-000427,"Cerveza,Huevos,Pan,Pañales,Vino"
TRX-000428,"Cafe,Huevos,Leche,Pan"
TRX-000429,Arroz
TRX-000430,"Arroz,Cerveza,Pañales"
TRX-000431,"Chocolate,Huevos,Leche,Pan,Queso"
TRX-000432,"Cerveza,Pañales"
TRX-000433,"Arroz,Huevos,Queso"
TRX-000434,"Cafe,Leche,Pan"
TRX-000435,Pan
TRX-000436,"Arroz,Cerveza,Pañales"
TRX-000437,"Cafe,Leche,Pan"
TRX-000438,"Cerveza,Pañales"
TRX-000439,"Pan,Pañales"
TRX-000440,"Cafe,Cerveza,Huevos,Pan,Vino"
TRX-000441,"Chocolate,Pan,Vino"
TRX-000442,"Chocolate,Pan,Queso,Vino"
TRX-000443,Pañales
TRX-000444,"Cafe,Huevos,Leche,Pan"
TRX-000445,"Cafe,Pañales,Queso,Vino"
TRX-000446,"Cerveza,Pañales"
TRX-000447,"Cafe,Leche,Manzanas,Pan"
TRX-000448,"Cafe,Leche,Pan,Queso"
TRX-000449,"Cafe,Cerveza,Pan"
TRX-000450,"Cerveza,Pañales"
TRX-000451,"Cerveza,Pan,Pasta,Pañales"
TRX-000452,"Cerveza,Chocolate,Leche,Pan"
TRX-000453,"Cerveza,Pañales"
TRX-000454,"Arroz,Manzanas"
TRX-000455,"Cafe,Leche,Pan"
TRX-000456,"Chocolate,Pasta,Queso"
TRX-000457,"Cafe,Leche,Pan"
TRX-000458,"Cafe,Leche,Pan"
TRX-000459,"Cafe,Huevos,Pan,Queso,Vino"
TRX-000460,"Cafe,Leche,Pan"
TRX-000461,"Cafe,Leche,Pan,Vino"
TRX-000462,"Chocolate,Manzanas"
TRX-000463,"Cafe,Leche,Pan"
TRX-000464,"Cafe,Leche"
TRX-000465,"Arroz,Cerveza,Huevos,Leche,Vino"
TRX-000466,"Chocolate,Leche,Manzanas,Pan,Pasta"
TRX-000467,"Arroz,Chocolate,Leche,Pasta,Vino"
TRX-000468,"Arroz,Cafe,Cerveza,Pañales"
TRX-000469,"Cerveza,Pañales"
TRX-000470,"Cerveza,Pañales"
TRX-000471,"Cafe,Leche,Pan"
TRX-000472,"Cafe,Chocolate,Leche,Queso,Vino"
TRX-000473,"Arroz,Cerveza,Leche,Pan,Pasta"
TRX-000474,"Cerveza,Manzanas,Pasta"
TRX-000475,"Cafe,Leche,Pan"
TRX-000476,"Cerveza,Pañales"
TRX-000477,"Cafe,Cerveza,Leche,Pan"
TRX-000478,"Cerveza,Manzanas,Pañales,Vino"
TRX-000479,"Cerveza,Pañales"
TRX-000480,"Pan,Queso,Vino"
TRX-000481,"Cafe,Leche,Pan,Vino"
TRX-000482,"Cafe,Leche,Manzanas,Pan,Vino"
TRX-000483,Queso
TRX-000484,"Arroz,Huevos,Leche,Pan,Queso"
TRX-000485,"Cafe,Chocolate,Huevos,Leche,Pan"
TRX-000486,"Cafe,Leche,Pan"
TRX-000487,"Cerveza,Pasta,Pañales,Queso,Vino"
TRX-000488,Chocolate
TRX-000489,"Cerveza,Chocolate,Manzanas,Pañales"
TRX-000490,"Cafe,Leche,Pan"
TRX-000491,"Cafe,Chocolate,Queso"
TRX-000492,"Cafe,Chocolate,Pan,Pasta"
TRX-000493,"Cafe,Leche,Pan"
TRX-000494,Pan
TRX-000495,"Cafe,Leche,Pan"
TRX-000496,"Cerveza,Huevos,Pan,Pañales"
TRX-000497,"Manzanas,Pan,Pasta"
TRX-000498,"Huevos,Pasta,Pañales,Queso"
TRX-000499,"Cafe,Chocolate,Pan,Pañales,Queso"
TRX-000500,"Cafe,Leche,Pan,Pasta"
TRX-000501,"Leche,Manzanas"
TRX-000502,"Cerveza,Pañales"
TRX-000503,"Cafe,Leche,Pan"
TRX-000504,"Cerveza,Manzanas,Pañales"
TRX-000505,"Arroz,Chocolate,Huevos,Pasta"
TRX-000506,"Cerveza,Pañales"
TRX-000507,Arroz
TRX-000508,"Cerveza,Pañales"
TRX-000509,"Cafe,Chocolate,Leche,Pan,Queso"
TRX-000510,"Cafe,Leche,Pan"
TRX-000511,"Cerveza,Huevos,Manzanas,Pañales"
TRX-000512,"Cafe,Huevos,Leche,Pan"
TRX-000513,"Cafe,Chocolate"
TRX-000514,"Arroz,Cafe,Huevos,Pan,Vino"
TRX-000515,"Cerveza,Pañales"
TRX-000516,"Cafe,Cerveza,Chocolate,Pasta,Pañales"
TRX-000517,"Huevos,Leche,Pan,Pañales"
TRX-000518,Vino
TRX-000519,"Arroz,Cerveza,Pan,Queso"
TRX-000520,"Cerveza,Chocolate,Huevos,Pañales"
TRX-000521,"Cerveza,Chocolate,Pañales,Queso"
TRX-000522,Queso
TRX-000523,"Arroz,Cerveza,Chocolate,Pañales"
TRX-000524,"Cerveza,Pañales"
TRX-000525,"Cafe,Leche,Manzanas,Pan"
TRX-000526,"Chocolate,Leche,Queso"
TRX-000527,Huevos
TRX-000528,"Cafe,Leche,Pan,Pasta"
TRX-000529,"Cerveza,Leche,Pasta,Pañales"
TRX-000530,"Arroz,Cerveza,Chocolate,Pan,Pasta"
TRX-000531,"Cerveza,Pañales"
TRX-000532,"Leche,Pan,Pasta,Pañales,Queso"
TRX-000533,"Cafe,Leche,Pan"
TRX-000534,"Cerveza,Pañales"
TRX-000535,"Cerveza,Pasta,Pañales,Vino"
TRX-000536,"Cafe,Cerveza,Queso"
TRX-000537,Manzanas
TRX-000538,"Arroz,Cafe,Cerveza,Leche,Pasta"
TRX-000539,"Cerveza,Pañales"
TRX-000540,"Cerveza,Pañales"
TRX-000541,"Cafe,Leche,Pan"
TRX-000542,"Cafe,Leche,Pan"
TRX-000543,"Cerveza,Pañales"
TRX-000544,"Cerveza,Chocolate,Manzanas,Pasta,Queso"
TRX-000545,"Arroz,Cerveza,Chocolate,Pasta"
TRX-000546,"Cerveza,Pañales"
TRX-000547,"Arroz,Cafe,Chocolate,Huevos,Leche"
TRX-000548,"Cerveza,Pañales"
TRX-000549,"Cafe,Leche,Pan,Pasta"
TRX-000550,"Arroz,Pañales"
TRX-000551,"Cafe,Leche,Pan"
TRX-000552,"Cerveza,Huevos,Pan,Pañales"
TRX-000553,"Cafe,Leche,Pan"
TRX-000554,Pañales
TRX-000555,"Cafe,Leche,Pan"
TRX-000556,"Cafe,Leche,Pan"
TRX-000557,"Cafe,Leche,Pan"
TRX-000558,"Arroz,Cafe,Huevos,Pan"
TRX-000559,"Cerveza,Chocolate,Pañales"
TRX-000560,"Cafe,Leche,Pan"
TRX-000561,Manzanas
TRX-000562,"Manzanas,Pasta,Pañales,Queso,Vino"
TRX-000563,"Cafe,Chocolate,Leche,Pan"
TRX-000564,"Cerveza,Pañales"
TRX-000565,"Cafe,Chocolate"
TRX-000566,"Pañales,Vino"
TRX-000567,"Cafe,Cerveza,Huevos,Pañales"
TRX-000568,Vino
TRX-000569,Chocolate
TRX-000570,"Huevos,Pasta,Vino"
TRX-000571,"Pan,Pasta,Vino"
TRX-000572,"Cafe,Huevos,Leche,Pan,Pasta"
TRX-000573,"Leche,Pasta,Vino"
TRX-000574,"Cafe,Leche,Pan"
TRX-000575,"Cerveza,Pañales,Vino"
TRX-000576,"Cafe,Leche,Pan"
TRX-000577,"Cafe,Leche,Pan"
TRX-000578,Cafe
TRX-000579,"Leche,Pañales,Vino"
TRX-000580,"Arroz,Cafe,Pan,Pañales"
TRX-000581,"Cerveza,Pañales"
TRX-000582,"Cerveza,Manzanas,Pañales"
TRX-000583,"Cerveza,Pañales"
TRX-000584,"Cafe,Leche,Pan"
TRX-000585,"Cerveza,Chocolate,Leche,Pan,Pasta"
