id_cliente,edad,ingreso_anual_k_usd,puntuacion_gasto,visitas_mensuales
CLUST-00068,29,45,91,8
CLUST-00069,25,89,69,2
CLUST-00070,31,64,3,5
CLUST-00071,35,106,38,4
CLUST-00072,61,126,94,4
CLUST-00073,63,54,1,7
CLUST-00074,37,82,8,4
CLUST-00075,40,121,13,7
CLUST-00076,22,120,84,3
CLUST-00077,18,30,70,6
CLUST-00078,62,90,50,8
CLUST-00079,63,100,8,6
CLUST-00080,19,113,30,4
CLUST-00081,33,121,40,5
CLUST-00082,22,77,79,3
CLUST-00083,39,70,74,1
CLUST-00084,18,94,33,1
CLUST-00085,29,38,73,3
CLUST-00086,36,113,52,6
CLUST-00087,39,42,33,2
CLUST-00088,59,135,73,1
CLUST-00089,61,120,78,2
CLUST-00090,68,107,96,5
CLUST-00091,65,99,37,3
CLUST-00092,34,126,70,3
CLUST-00093,30,136,69,5
CLUST-00094,56,103,4,2
CLUST-00095,45,117,60,3
CLUST-00096,20,45,80,1
CLUST-00097,22,29,74,8
CLUST-00098,53,125,31,6
CLUST-00099,32,56,95,4
CLUST-00100,34,113,14,3
CLUST-00101,61,116,77,2
CLUST-00102,63,136,60,1
CLUST-00103,46,64,68,5
CLUST-00104,21,100,26,6
CLUST-00105,49,138,24,5
CLUST-00106,66,19,56,0
CLUST-00107,60,62,9,7
CLUST-00108,55,27,35,1
CLUST-00109,21,46,79,3
CLUST-00110,30,81,24,3
CLUST-00111,37,93,31,1
CLUST-00112,64,133,83,3
CLUST-00113,35,105,66,3
CLUST-00114,66,130,66,4
CLUST-00115,68,105,41,5
CLUST-00116,59,44,36,2
CLUST-00117,54,20,34,4
CLUST-00118,29,39,39,3
CLUST-00119,42,42,83,6
CLUST-00120,47,76,23,4
CLUST-00121,32,36,80,1
CLUST-00122,53,82,44,5
CLUST-00123,25,29,70,5
CLUST-00124,45,40,58,5
CLUST-00125,69,77,59,7
CLUST-00126,39,32,26,5
CLUST-00127,66,87,22,5
CLUST-00128,55,77,88,3
CLUST-00129,33,76,40,4
CLUST-00130,22,130,85,6
CLUST-00131,63,82,94,5
CLUST-00132,51,62,11,4
CLUST-00133,66,64,9,3
CLUST-00134,55,77,12,2
CLUST-00135,28,83,26,4
CLUST-00136,19,123,38,1
CLUST-00137,42,20,3,6
CLUST-00138,42,72,97,7
CLUST-00139,18,132,15,3
CLUST-00140,48,65,47,1
CLUST-00141,22,26,5,3
CLUST-00142,57,109,54,6
CLUST-00143,21,61,24,5
CLUST-00144,68,23,11,7
CLUST-00145,22,21,33,3
CLUST-00146,22,43,87,2
CLUST-00147,33,92,74,1
CLUST-00148,35,65,57,4
CLUST-00149,60,98,52,7
CLUST-00150,34,126,64,4
CLUST-00151,52,69,43,4
CLUST-00152,35,110,92,3
CLUST-00153,21,73,81,4
CLUST-00154,68,70,44,6
CLUST-00155,48,36,90,4
CLUST-00156,48,114,89,5
CLUST-00157,26,122,36,1
CLUST-00158,48,32,12,5
CLUST-00159,22,72,56,4
CLUST-00160,53,54,3,3
CLUST-00161,33,127,50,2
CLUST-00162,59,103,29,4
CLUST-00163,58,45,88,4
CLUST-00164,33,70,83,3
CLUST-00165,37,49,77,6
CLUST-00166,47,40,16,6
CLUST-00167,43,82,40,7
CLUST-00168,66,120,27,2
CLUST-00169,48,126,70,1
CLUST-00170,67,98,42,5
CLUST-00171,32,48,57,5
CLUST-00172,69,90,10,3
CLUST-00173,58,30,38,2
CLUST-00174,55,137,8,5
CLUST-00175,55,56,18,6
CLUST-00176,60,19,96,4
CLUST-00177,37,75,17,3
CLUST-00178,52,58,58,3
CLUST-00179,40,49,66,4
CLUST-00180,61,122,44,7
CLUST-00181,64,105,84,7
CLUST-00182,56,15,74,4
CLUST-00183,42,112,9,4
CLUST-00184,67,57,48,4
CLUST-00185,39,46,39,7
CLUST-00186,64,122,89,4
CLUST-00187,25,117,89,3
CLUST-00188,26,77,88,5
CLUST-00189,32,47,6,2
CLUST-00190,65,109,30,4
CLUST-00191,37,138,74,1
CLUST-00192,52,91,95,4
CLUST-00193,54,123,18,5
CLUST-00194,20,80,43,7
CLUST-00195,51,44,33,2
CLUST-00196,51,24,53,2
CLUST-00197,53,37,56,2
CLUST-00198,52,111,19,5
CLUST-00199,26,53,87,5
CLUST-00200,47,59,69,6
CLUST-00201,43,134,26,4
CLUST-00202,29,137,29,3
CLUST-00203,41,43,24,4
CLUST-00204,58,44,6,2
CLUST-00205,36,48,54,4
CLUST-00206,61,66,39,6
CLUST-00207,33,117,4,4
CLUST-00208,43,95,58,3
CLUST-00209,40,36,48,3
CLUST-00210,50,19,60,3
CLUST-00211,59,25,26,4
CLUST-00212,47,100,79,0
CLUST-00213,40,46,77,3
CLUST-00214,27,38,40,3
CLUST-00215,53,25,86,6
CLUST-00216,48,25,77,6
CLUST-00217,60,31,56,4
CLUST-00218,39,46,39,5
CLUST-00219,60,97,81,6
CLUST-00220,60,41,39,0
CLUST-00221,55,46,48,4
CLUST-00222,64,75,25,3
CLUST-00223,19,39,34,2
CLUST-00224,40,78,21,8
CLUST-00225,52,78,25,2
CLUST-00226,54,42,89,1
CLUST-00227,49,54,22,1
CLUST-00228,60,130,23,2
CLUST-00229,29,105,25,2
CLUST-00230,52,28,78,4
CLUST-00231,58,56,78,6
CLUST-00232,20,135,26,6
CLUST-00233,51,53,30,8
CLUST-00234,55,16,90,8
CLUST-00235,41,95,38,6
CLUST-00236,55,15,86,3
CLUST-00237,34,123,34,6
CLUST-00238,57,46,89,5
CLUST-00239,18,97,77,4
CLUST-00240,25,139,93,6
CLUST-00241,32,78,73,5
CLUST-00242,67,92,15,3
CLUST-00243,62,45,95,4
CLUST-00244,42,72,44,3
CLUST-00245,25,96,91,2
CLUST-00246,69,130,95,8
CLUST-00247,49,92,10,4
CLUST-00248,67,125,37,2
CLUST-00249,30,28,7,2
CLUST-00250,63,102,32,3
CLUST-00251,32,83,11,2
CLUST-00252,23,30,48,5
CLUST-00253,50,83,92,4
CLUST-00254,24,68,68,5
CLUST-00255,50,27,48,4
CLUST-00256,64,138,45,2
CLUST-00257,46,94,95,4
CLUST-00258,55,93,93,5
CLUST-00259,54,45,33,0
CLUST-00260,61,83,4,5
CLUST-00261,49,35,47,4
CLUST-00262,20,44,90,5
CLUST-00263,37,37,53,2
CLUST-00264,31,52,31,5
CLUST-00265,45,43,31,4
CLUST-00266,55,91,27,1
CLUST-00267,21,46,89,4
CLUST-00268,32,126,48,4
CLUST-00269,34,76,36,10
CLUST-00270,54,120,49,5
CLUST-00271,41,105,31,3
CLUST-00272,55,112,44,3
CLUST-00273,59,59,59,2
CLUST-00274,58,63,23,6
CLUST-00275,53,47,99,3
CLUST-00276,58,18,68,2
CLUST-00277,25,32,92,1
CLUST-00278,20,84,42,4
CLUST-00279,47,78,42,6
CLUST-00280,39,42,13,5
CLUST-00281,69,122,1,5
CLUST-00282,50,135,76,5
CLUST-00283,42,72,53,1
CLUST-00284,69,105,40,4
CLUST-00285,47,104,90,3
CLUST-00286,54,70,46,6
CLUST-00287,20,34,87,2
CLUST-00288,21,91,22,4
CLUST-00289,46,106,52,5
CLUST-00290,49,48,28,7
CLUST-00291,40,127,53,3
CLUST-00292,36,101,63,6
CLUST-00293,32,24,17,3
CLUST-00294,68,129,64,4
CLUST-00295,33,108,6,5
CLUST-00296,40,36,14,4
CLUST-00297,57,19,17,3
CLUST-00298,63,131,38,3
CLUST-00299,54,58,69,5
CLUST-00300,18,128,13,7
CLUST-00301,36,23,53,3
CLUST-00302,54,57,9,6
CLUST-00303,52,18,44,3
CLUST-00304,47,56,26,7
CLUST-00305,34,79,77,3
CLUST-00306,56,112,19,5
CLUST-00307,66,55,48,13
CLUST-00308,43,78,81,3
CLUST-00309,30,69,80,8
CLUST-00310,39,104,30,5
CLUST-00311,63,32,32,3
CLUST-00312,40,30,78,7
CLUST-00313,61,101,79,4
CLUST-00314,60,60,76,5
CLUST-00315,50,50,75,7
CLUST-00316,44,104,69,6
CLUST-00317,52,80,11,4
CLUST-00318,29,58,98,3
CLUST-00319,26,130,83,6
CLUST-00320,51,19,26,4
CLUST-00321,31,43,26,2
CLUST-00322,54,18,17,2
CLUST-00323,20,125,95,5
CLUST-00324,61,113,83,1
CLUST-00325,61,100,44,5
CLUST-00326,38,63,84,4
CLUST-00327,24,86,23,1
CLUST-00328,50,122,25,4
CLUST-00329,52,99,92,1
CLUST-00330,28,22,37,2
CLUST-00331,62,136,76,4
CLUST-00332,49,66,65,3
CLUST-00333,39,130,2,5
CLUST-00334,59,83,74,2
CLUST-00335,36,35,98,3
CLUST-00336,53,41,32,3
CLUST-00337,54,52,89,4
CLUST-00338,28,19,74,2
CLUST-00339,58,99,55,3
CLUST-00340,30,75,50,2
CLUST-00341,45,22,65,4
CLUST-00342,66,100,32,2
CLUST-00343,32,32,37,4
CLUST-00344,30,18,76,9
CLUST-00345,60,18,82,9
CLUST-00346,50,51,94,1
CLUST-00347,25,29,13,1
CLUST-00348,49,52,54,1
CLUST-00349,54,41,3,5
CLUST-00350,65,99,85,6
CLUST-00351,21,62,42,5
CLUST-00352,68,60,78,2
CLUST-00353,35,60,40,5
CLUST-00354,40,62,74,4
CLUST-00355,46,73,66,5
CLUST-00356,19,132,60,2
CLUST-00357,30,134,11,2
CLUST-00358,33,18,1,1
CLUST-00359,25,89,26,7
CLUST-00360,36,33,42,3
CLUST-00361,49,71,62,1
CLUST-00362,20,33,61,6
CLUST-00363,68,105,77,4
CLUST-00364,66,118,92,6
CLUST-00365,49,56,85,1
CLUST-00366,58,106,62,5
CLUST-00367,38,19,74,4
CLUST-00368,42,62,12,2
CLUST-00369,34,39,27,3
CLUST-00370,42,81,67,5
CLUST-00371,50,40,28,3
CLUST-00372,48,88,66,4
CLUST-00373,53,102,28,3
CLUST-00374,40,76,95,10
CLUST-00375,64,107,21,2
CLUST-00376,61,123,7,2
CLUST-00377,42,21,95,6
CLUST-00378,66,58,14,3
CLUST-00379,61,101,39,3
CLUST-00380,65,124,73,6
CLUST-00381,47,41,87,0
CLUST-00382,30,56,62,5
CLUST-00383,60,87,12,1
CLUST-00384,64,122,93,9
CLUST-00385,46,70,38,3
CLUST-00386,33,17,58,6
CLUST-00387,55,27,56,0
CLUST-00388,44,84,39,3
CLUST-00389,43,73,86,5
CLUST-00390,28,52,4,3
CLUST-00391,64,99,48,5
CLUST-00392,54,97,7,5
CLUST-00393,20,103,60,6
CLUST-00394,43,117,40,6
CLUST-00395,51,82,8,5
CLUST-00396,50,100,58,2
CLUST-00397,32,83,57,4
CLUST-00398,19,15,35,2
CLUST-00399,45,64,73,5
CLUST-00400,37,95,13,3
CLUST-00401,55,87,39,3
CLUST-00402,61,23,84,3
CLUST-00403,33,67,21,7
CLUST-00404,63,102,47,7
CLUST-00405,21,24,83,4
CLUST-00406,25,98,2,1
CLUST-00407,61,95,44,5
CLUST-00408,63,91,30,6
CLUST-00409,37,43,87,2
CLUST-00410,43,50,55,3
CLUST-00411,49,101,40,4
CLUST-00412,30,41,77,0
CLUST-00413,22,32,97,2
CLUST-00414,61,32,96,4
CLUST-00415,59,132,92,5
CLUST-00416,68,23,24,2
CLUST-00417,30,81,42,2
CLUST-00418,58,21,28,3
CLUST-00419,28,72,94,2
CLUST-00420,54,93,93,4
CLUST-00421,49,44,98,3
CLUST-00422,62,87,51,2
CLUST-00423,59,137,22,4
CLUST-00424,35,75,89,3
CLUST-00425,46,119,78,3
CLUST-00426,32,105,74,4
CLUST-00427,37,114,74,3
CLUST-00428,61,96,8,5
CLUST-00429,53,109,14,2
CLUST-00430,22,31,45,6
CLUST-00431,57,132,38,3
CLUST-00432,54,67,32,4
CLUST-00433,50,20,62,2
CLUST-00434,35,53,96,1
CLUST-00435,36,39,67,5
CLUST-00436,68,56,84,1
CLUST-00437,49,56,61,0
CLUST-00438,59,73,13,3
CLUST-00439,39,116,87,4
CLUST-00440,58,52,83,6
CLUST-00441,18,139,80,4
CLUST-00442,42,45,99,1
CLUST-00443,37,129,47,3
CLUST-00444,52,43,54,1
CLUST-00445,62,118,71,5
CLUST-00446,23,23,52,4
CLUST-00447,23,15,72,3
CLUST-00448,67,94,25,5
CLUST-00449,54,116,23,5
CLUST-00450,66,101,74,3
CLUST-00451,20,137,30,4
CLUST-00452,54,86,97,6
CLUST-00453,48,61,11,3
CLUST-00454,52,90,35,2
CLUST-00455,62,24,27,1
CLUST-00456,32,30,67,7
CLUST-00457,34,61,47,6
CLUST-00458,32,57,50,3
CLUST-00459,22,38,8,1
CLUST-00460,39,117,55,5
CLUST-00461,63,22,77,5
CLUST-00462,28,89,42,3
CLUST-00463,45,119,67,5
CLUST-00464,31,40,20,7
CLUST-00465,56,21,45,4
CLUST-00466,20,93,35,4
CLUST-00467,69,29,77,7
CLUST-00468,59,62,20,5
CLUST-00469,28,17,24,2
CLUST-00470,47,30,57,4
CLUST-00471,55,93,55,2
CLUST-00472,22,103,9,6
CLUST-00473,69,111,94,3
CLUST-00474,39,28,89,6
CLUST-00475,30,102,16,6
CLUST-00476,61,132,55,6
CLUST-00477,68,89,72,4
CLUST-00478,68,17,58,4
CLUST-00479,38,87,64,4
CLUST-00480,54,84,92,1
CLUST-00481,42,45,76,4
CLUST-00482,69,133,88,4
CLUST-00483,38,94,49,4
CLUST-00484,45,89,29,2
CLUST-00485,58,128,79,1
CLUST-00486,21,31,82,5
CLUST-00487,46,63,7,7
CLUST-00488,64,17,77,5
CLUST-00489,52,137,83,6
CLUST-00490,40,97,69,3
CLUST-00491,24,102,90,2
CLUST-00492,69,69,2,3
CLUST-00493,69,125,33,5
CLUST-00494,63,120,48,6
CLUST-00495,63,86,37,6
CLUST-00496,26,127,89,5
CLUST-00497,40,114,89,4
CLUST-00498,20,54,30,6
CLUST-00499,26,136,41,4
CLUST-00500,21,80,4,2
CLUST-00501,66,101,83,4
CLUST-00502,42,54,91,4
CLUST-00503,23,44,39,3
CLUST-00504,65,39,24,2
CLUST-00505,35,21,50,4
CLUST-00506,62,106,37,5
CLUST-00507,24,119,53,3
CLUST-00508,52,64,25,5
CLUST-00509,48,137,93,4
CLUST-00510,55,95,31,2
CLUST-00511,49,110,99,4
CLUST-00512,52,15,92,4
CLUST-00513,45,105,38,4
CLUST-00514,61,58,58,6
CLUST-00515,22,114,53,8
CLUST-00516,47,63,50,0
CLUST-00517,39,21,4,3
CLUST-00518,34,134,92,4
CLUST-00519,27,17,52,2
CLUST-00520,24,108,31,1
CLUST-00521,21,15,87,4
CLUST-00522,59,65,78,2
CLUST-00523,44,112,92,5
CLUST-00524,24,52,14,1
CLUST-00525,40,57,1,3
CLUST-00526,28,69,43,4
CLUST-00527,25,71,96,4
CLUST-00528,25,67,59,5
CLUST-00529,54,114,61,2
CLUST-00530,22,47,41,4
CLUST-00531,24,121,18,5
CLUST-00532,39,94,60,4
CLUST-00533,53,76,69,6
CLUST-00534,19,116,79,4
CLUST-00535,41,25,59,3
CLUST-00536,68,86,42,2
CLUST-00537,19,66,80,3
CLUST-00538,65,15,36,2
CLUST-00539,29,28,40,3
CLUST-00540,64,108,30,3
CLUST-00541,59,99,87,3
CLUST-00542,43,136,11,3
CLUST-00543,55,35,25,3
CLUST-00544,62,48,45,5
CLUST-00545,23,116,51,2
CLUST-00546,40,104,43,3
CLUST-00547,19,119,66,4
CLUST-00548,43,28,99,3
CLUST-00549,31,132,47,6
CLUST-00550,35,54,24,4
CLUST-00551,55,136,77,4
CLUST-00552,49,49,37,3
CLUST-00553,68,56,56,4
CLUST-00554,31,96,94,5
CLUST-00555,47,34,75,2
CLUST-00556,30,74,87,4
CLUST-00557,57,23,46,3
CLUST-00558,48,119,28,2
CLUST-00559,54,129,93,6
CLUST-00560,62,138,52,5
CLUST-00561,55,123,15,5
CLUST-00562,39,47,45,4
CLUST-00563,45,63,58,5
CLUST-00564,36,82,67,5
CLUST-00565,60,18,73,1
CLUST-00566,33,137,72,5
CLUST-00567,22,62,97,2
CLUST-00568,61,138,98,5
CLUST-00569,66,30,73,0
CLUST-00570,19,61,81,3
CLUST-00571,27,40,41,3
CLUST-00572,64,84,65,8
CLUST-00573,36,51,40,5
CLUST-00574,37,36,5,3
CLUST-00575,46,120,94,3
CLUST-00576,42,117,75,3
CLUST-00577,34,21,28,4
CLUST-00578,68,56,38,2
CLUST-00579,68,44,81,3
CLUST-00580,30,88,87,5
CLUST-00581,62,135,18,4
CLUST-00582,33,93,37,5
CLUST-00583,52,20,27,3
CLUST-00584,53,38,25,5
CLUST-00585,56,80,69,10
CLUST-00586,20,54,83,3
CLUST-00587,26,135,27,3
CLUST-00588,57,130,77,4
CLUST-00589,67,29,54,0
CLUST-00590,63,67,7,5
CLUST-00591,69,99,90,5
CLUST-00592,46,96,78,3
CLUST-00593,22,19,27,2
CLUST-00594,20,103,59,3
CLUST-00595,27,50,72,6
CLUST-00596,48,88,31,4
CLUST-00597,28,129,99,3
CLUST-00598,34,60,91,3
CLUST-00599,57,37,68,1
CLUST-00600,58,102,4,5
CLUST-00601,25,59,18,3
CLUST-00602,69,139,63,5
CLUST-00603,19,24,87,2
CLUST-00604,21,68,96,6
CLUST-00605,33,84,76,5
CLUST-00606,58,91,52,3
CLUST-00607,58,99,84,7
CLUST-00608,38,46,63,3
CLUST-00609,22,57,45,2
CLUST-00610,52,132,12,2
CLUST-00611,31,135,8,6
CLUST-00612,32,29,22,4
CLUST-00613,23,80,91,5
CLUST-00614,33,136,41,6
CLUST-00615,40,137,41,6
CLUST-00616,48,29,81,1
CLUST-00617,59,129,57,5
CLUST-00618,63,95,32,6
CLUST-00619,29,34,97,5
CLUST-00620,58,64,95,5
CLUST-00621,36,20,55,4
CLUST-00622,29,93,6,5
CLUST-00623,62,139,39,1
CLUST-00624,30,31,9,4
CLUST-00625,66,134,32,9
CLUST-00626,19,40,36,7
CLUST-00627,37,36,16,3
CLUST-00628,48,87,12,6
CLUST-00629,26,78,41,2
CLUST-00630,38,90,67,5
CLUST-00631,25,100,58,4
CLUST-00632,56,72,91,5
CLUST-00633,54,101,91,2
CLUST-00634,46,51,9,3
CLUST-00635,36,92,17,5
CLUST-00636,52,102,5,2
CLUST-00637,62,86,26,6
CLUST-00638,55,104,85,4
CLUST-00639,43,110,1,2
CLUST-00640,28,135,1,2
CLUST-00641,53,42,35,5
CLUST-00642,52,110,9,2
CLUST-00643,21,100,87,2
CLUST-00644,20,63,38,4
CLUST-00645,62,87,4,5
CLUST-00646,64,81,52,3
CLUST-00647,29,103,19,4
CLUST-00648,49,117,5,4
CLUST-00649,64,90,92,5
CLUST-00650,43,107,48,3
CLUST-00651,60,81,87,3
CLUST-00652,60,55,63,6
CLUST-00653,30,60,38,5
CLUST-00654,61,101,52,8
CLUST-00655,55,101,87,2
CLUST-00656,46,69,46,6
CLUST-00657,69,96,82,6
CLUST-00658,68,25,93,6
CLUST-00659,36,114,92,4
CLUST-00660,52,40,9,4
CLUST-00661,65,86,50,4
CLUST-00662,58,106,74,1
CLUST-00663,44,96,66,2
CLUST-00664,63,27,77,5
CLUST-00665,48,50,38,5
CLUST-00666,20,120,27,5
CLUST-00667,52,118,20,3
CLUST-00668,41,122,62,4
CLUST-00669,69,78,74,8
CLUST-00670,24,65,16,7
CLUST-00671,68,90,79,1
CLUST-00672,52,36,13,5
CLUST-00673,38,74,20,5
CLUST-00674,18,16,24,2
CLUST-00675,61,70,50,6
CLUST-00676,23,54,7,3
CLUST-00677,56,42,87,4
CLUST-00678,51,91,88,1
CLUST-00679,35,111,29,8
CLUST-00680,42,17,5,2
CLUST-00681,32,77,35,2
CLUST-00682,64,112,65,5
CLUST-00683,49,37,82,3
CLUST-00684,59,69,70,4
CLUST-00685,66,46,87,6
CLUST-00686,67,98,74,3
CLUST-00687,35,42,7,8
CLUST-00688,48,138,44,5
CLUST-00689,46,22,72,1
CLUST-00690,32,17,13,4
CLUST-00691,40,108,94,1
CLUST-00692,55,103,82,4
CLUST-00693,58,67,78,3
CLUST-00694,28,108,75,3
CLUST-00695,32,43,38,4
CLUST-00696,40,125,13,4
CLUST-00697,20,108,54,2
CLUST-00698,36,112,44,4
CLUST-00699,18,103,97,3
CLUST-00700,41,95,13,3
CLUST-00701,66,73,25,6
CLUST-00702,28,38,24,5
CLUST-00703,47,52,29,5
CLUST-00704,67,42,70,3
CLUST-00705,28,111,18,3
CLUST-00706,56,76,92,5
CLUST-00707,18,114,5,1
CLUST-00708,29,65,18,3
CLUST-00709,21,21,63,3
CLUST-00710,42,37,37,7
CLUST-00711,25,132,71,3
CLUST-00712,32,60,55,6
CLUST-00713,60,104,73,3
CLUST-00714,47,92,99,6
CLUST-00715,57,120,12,7
CLUST-00716,49,42,52,5
CLUST-00717,61,38,57,3
CLUST-00718,52,21,46,1
CLUST-00719,38,126,44,3
CLUST-00720,48,114,24,1
CLUST-00721,53,117,9,5
CLUST-00722,44,93,12,1
CLUST-00723,61,63,9,9
CLUST-00724,25,17,22,8
CLUST-00725,40,126,17,5
CLUST-00726,40,16,33,3
CLUST-00727,59,21,47,6
CLUST-00728,50,135,88,3
CLUST-00729,30,94,15,4
CLUST-00730,56,35,93,2
CLUST-00731,69,23,96,2
CLUST-00732,52,26,33,3
CLUST-00733,33,107,93,4
CLUST-00734,29,38,15,5
CLUST-00735,48,47,27,6
CLUST-00736,22,92,98,3
CLUST-00737,67,57,61,1
CLUST-00738,57,96,68,5
CLUST-00739,61,132,82,1
CLUST-00740,42,19,85,3
CLUST-00741,38,93,48,2
CLUST-00742,20,137,8,4
CLUST-00743,65,85,6,2
CLUST-00744,27,103,63,5
CLUST-00745,40,28,84,3
CLUST-00746,34,130,2,5
CLUST-00747,59,118,22,2
CLUST-00748,52,50,21,2
CLUST-00749,42,49,6,3
CLUST-00750,19,122,96,3
CLUST-00751,44,64,70,1
CLUST-00752,63,102,13,1
CLUST-00753,26,93,1,6
CLUST-00754,66,25,22,3
CLUST-00755,21,38,24,5
CLUST-00756,43,89,64,0
CLUST-00757,49,58,41,5
CLUST-00758,46,65,94,4
CLUST-00759,39,31,22,2
CLUST-00760,64,139,61,3
CLUST-00761,30,84,12,4
CLUST-00762,40,99,90,6
CLUST-00763,48,22,4,1
CLUST-00764,68,93,83,2
CLUST-00765,58,132,80,5
CLUST-00766,53,130,12,5
CLUST-00767,57,110,33,4
CLUST-00768,48,136,21,4
CLUST-00769,32,88,73,2
CLUST-00770,31,42,72,1
CLUST-00771,52,93,84,4
CLUST-00772,41,26,74,5
CLUST-00773,47,57,96,3
CLUST-00774,47,96,92,3
CLUST-00775,44,134,74,1
CLUST-00776,66,51,72,4
CLUST-00777,57,122,52,2
CLUST-00778,31,102,47,3
CLUST-00779,62,77,97,9
CLUST-00780,64,115,59,4
CLUST-00781,28,132,47,3
CLUST-00782,64,107,56,2
CLUST-00783,61,77,13,7
CLUST-00784,43,24,44,1
CLUST-00785,38,92,35,3
CLUST-00786,26,94,29,3
CLUST-00787,64,51,56,5
CLUST-00788,18,25,5,3
CLUST-00789,61,129,67,1
CLUST-00790,23,104,53,6
CLUST-00791,18,118,60,4
CLUST-00792,39,33,6,5
CLUST-00793,68,66,48,0
CLUST-00794,30,132,80,3
CLUST-00795,55,32,35,5
CLUST-00796,66,108,18,3
CLUST-00797,62,46,11,1
CLUST-00798,58,37,51,3
CLUST-00799,57,131,23,2
CLUST-00800,48,26,47,6
CLUST-00801,32,72,75,4
CLUST-00802,67,91,59,4
CLUST-00803,19,35,57,5
CLUST-00804,48,35,93,3
CLUST-00805,43,107,56,5
CLUST-00806,19,107,27,5
CLUST-00807,28,128,73,8
CLUST-00808,50,105,35,8
CLUST-00809,35,43,55,5
CLUST-00810,38,93,9,5
CLUST-00811,48,61,18,4
CLUST-00812,43,26,44,3
CLUST-00813,47,72,21,6
CLUST-00814,56,55,56,3
CLUST-00815,38,33,48,5
CLUST-00816,66,26,1,1
CLUST-00817,33,37,27,8
CLUST-00818,24,19,45,4
CLUST-00819,39,136,63,3
CLUST-00820,24,40,58,4
CLUST-00821,19,131,40,4
CLUST-00822,54,77,63,3
CLUST-00823,31,66,38,4
CLUST-00824,25,24,29,7
CLUST-00825,46,100,40,3
CLUST-00826,61,53,19,3
CLUST-00827,24,37,88,5
CLUST-00828,55,25,56,8
CLUST-00829,62,106,44,4
CLUST-00830,39,109,65,3
CLUST-00831,61,86,87,5
CLUST-00832,34,131,13,2
CLUST-00833,33,117,30,4
CLUST-00834,50,62,49,6
CLUST-00835,56,106,75,6
CLUST-00836,52,30,63,4
CLUST-00837,55,60,71,2
CLUST-00838,49,61,35,4
CLUST-00839,20,130,11,7
CLUST-00840,20,109,49,6
CLUST-00841,25,119,40,6
CLUST-00842,63,62,21,6
CLUST-00843,48,94,47,3
CLUST-00844,26,83,3,2
CLUST-00845,22,113,30,3
CLUST-00846,45,131,88,3
CLUST-00847,32,39,67,4
CLUST-00848,66,91,62,9
CLUST-00849,44,107,37,4
CLUST-00850,59,105,97,6
CLUST-00851,48,118,22,3
CLUST-00852,57,95,31,7
CLUST-00853,35,51,46,2
CLUST-00854,55,116,76,5
CLUST-00855,66,77,45,4
CLUST-00856,21,43,14,6
CLUST-00857,38,72,12,8
CLUST-00858,64,139,63,1
CLUST-00859,59,137,91,4
CLUST-00860,40,112,77,3
CLUST-00861,62,108,88,5
CLUST-00862,39,45,38,4
CLUST-00863,18,100,47,1
CLUST-00864,42,124,54,4
CLUST-00865,58,103,55,4
CLUST-00866,45,82,48,2
CLUST-00867,54,113,73,6
CLUST-00868,28,55,72,2
CLUST-00869,39,64,15,2
