id_cliente,edad,ingreso_mensual,escolaridad,canal_contacto,score_credito,tasa_interes,monto_prestamo
CLI-000079,39.0,14173596.34,Pregrado,Call Center,647.5,2.38,76711884.62
CLI-000080,14.0,1018140.28,Posgrado,Web,838.5,1.2,3480096.58
CLI-000081,35.0,6999559.05,Pregrado,Sucursal,719.8,3.85,39173203.4
CLI-000082,42.0,922751.8,Pregrado,,,4.13,4540102.31
CLI-000083,56.0,1008882.88,Secundaria,,647.3,4.4,4874560.56
CLI-000084,32.0,4734655.58,Secundaria,App Movil,569.3,3.57,17890457.03
CLI-000085,,,Posgrado,Call Center,678.7,3.01,
CLI-000086,32.0,11262594.1,Secundaria,,625.7,2.09,60877202.57
CLI-000087,49.0,391536.88,Secundaria,App Movil,707.9,4.5,1213045.19
CLI-000088,42.0,3009166.85,Pregrado,Web,543.0,3.15,11443576.4
CLI-000089,32.0,,Secundaria,Web,623.6,3.45,
CLI-000090,44.0,9847285.36,Pregrado,Web,557.2,3.45,41239329.03
CLI-000091,39.0,714966.05,Primaria,Call Center,562.2,3.99,2284539.76
CLI-000092,50.0,1918193.2,Pregrado,App Movil,698.5,1.23,5739535.69
CLI-000093,30.0,4054153.28,Pregrado,Call Center,740.0,1.93,11884190.68
CLI-000094,34.0,729259.74,Pregrado,Sucursal,463.4,3.4,4025898.51
CLI-000095,33.0,14459392.47,Secundaria,Sucursal,798.9,4.15,37745642.85
CLI-000096,20.0,10341069.01,Secundaria,Sucursal,762.3,3.46,61214474.11
CLI-000097,42.0,767179.68,Secundaria,Web,542.3,2.56,2451024.32
CLI-000098,41.0,542418.49,Secundaria,Call Center,716.1,2.39,1565489.21
CLI-000099,38.0,374966.52,Pregrado,App Movil,613.2,3.64,1694623.99
CLI-000100,35.0,10087489.13,Secundaria,App Movil,642.2,3.65,28042724.01
CLI-000101,21.0,903860.61,Primaria,Web,698.2,3.2,4165519.73
CLI-000102,33.0,2261037.69,Primaria,web,688.4,2.16,12384140.39
CLI-000103,34.0,2502153.16,Pregrado,web,604.2,4.25,6674851.55
CLI-000104,28.0,3838049.85,Primaria,App Movil,603.8,3.02,20339899.15
CLI-000105,36.0,312641.27,Posgrado,App Movil,608.5,3.81,1213257.92
CLI-000106,43.0,1080088.85,Pregrado,Sucursal,741.4,1.91,3303146.32
CLI-000107,61.0,11259281.07,Pregrado,Web,501.1,2.34,35087721.86
CLI-000108,40.0,10039824.29,Pregrado,Web,637.0,4.09,57384381.76
CLI-000109,41.0,6384048.67,Primaria,Sucursal,775.8,1.37,18431515.44
CLI-000110,37.0,82286.06,Pregrado,Web,706.3,2.89,455349.64
CLI-000111,15.0,1663284.03,Pregrado,App Movil,734.1,2.79,7326526.93
CLI-000112,38.0,4152752.12,Posgrado,App Movil,638.2,3.68,10949547.5
CLI-000113,39.0,1351753.28,Posgrado,App Movil,556.9,2.13,5576883.24
CLI-000114,68.0,10094128.14,Primaria,Web,654.5,1.92,54115360.86
CLI-000115,-3.0,4220243.89,Secundaria,App Movil,594.9,4.26,21277244.8
CLI-000116,42.0,313416.73,Pregrado,App Movil,828.5,3.09,1319715.88
CLI-000117,,10067220.2,Pregrado,App Movil,637.3,1.55,55472140.83
CLI-000118,24.0,13291090.17,Secundaria,Sucursal,701.0,1.84,38826951.58
CLI-000119,52.0,339772.41,Secundaria,APP,786.2,4.5,1931536.05
CLI-000120,47.0,3192239.45,Secundaria,Web,,1.85,17437749.19
CLI-000121,47.0,1518269.12,Pregrado,Call Center,467.6,3.21,7559414.71
CLI-000122,27.0,2095637.92,,Web,689.2,2.59,11238082.78
CLI-000123,55.0,831707.88,Pregrado,App Movil,704.3,4.12,3662304.45
CLI-000124,21.0,3624267.52,Secundaria,App Movil,616.9,3.69,17625061.22
CLI-000125,45.0,13312295.61,Primaria,App Movil,557.5,3.17,59400704.35
CLI-000126,64.0,2937107.63,Secundaria,Sucursal,674.8,1.24,10996530.55
CLI-000127,26.0,363529.58,Secundaria,App Movil,648.1,4.1,1632615.99
CLI-000128,31.0,4063867.65,Pregrado,App Movil,675.8,2.67,13821736.75
CLI-000129,39.0,,Secundaria,Call Center,559.4,4.27,
CLI-000130,,8137174.91,Pregrado,Web,676.0,2.84,28339452.37
CLI-000131,19.0,2395512.26,Posgrado,Web,715.6,3.49,7019107.87
CLI-000132,39.0,899778.1,Posgrado,Web,529.5,1.43,3263060.12
CLI-000133,25.0,890765.11,Secundaria,Web,766.8,3.66,4883134.48
CLI-000134,44.0,6150132.35,Primaria,App Movil,670.4,2.32,23578270.99
CLI-000135,27.0,1296475.12,Secundaria,App Movil,718.1,2.36,6635376.22
CLI-000136,57.0,6122419.88,Pregrado,Web,547.7,1.59,19060271.59
CLI-000137,29.0,968225.59,,Web,704.6,1.68,3858831.19
CLI-000138,34.0,1630211.16,Primaria,Sucursal,518.4,1.81,4730866.66
CLI-000139,48.0,2630876.54,Primaria,Sucursal,574.1,2.28,7853623.51
CLI-000140,23.0,12046212.73,Posgrado,,671.1,4.14,56147726.75
CLI-000141,41.0,11274084.01,Pregrado,web,627.9,2.42,52156013.68
CLI-000142,54.0,973436.1,,web,652.2,3.59,3160553.96
CLI-000143,19.0,1862734.52,Secundaria,Sucursal,804.2,1.47,7749871.91
CLI-000144,40.0,679612.82,Secundaria,Sucursal,,3.15,3752530.84
CLI-000145,41.0,2995941.64,Secundaria,Web,706.8,2.79,9316495.54
CLI-000146,,2592515.18,Primaria,Sucursal,644.7,4.43,6655600.55
CLI-000147,23.0,9702906.18,Pregrado,Web,642.3,3.99,46399132.33
CLI-000148,22.0,11169214.83,Secundaria,Call Center,571.7,2.7,30014402.5
CLI-000149,44.0,2031986.35,Primaria,App Movil,679.4,3.76,12049254.04
CLI-000150,42.0,2842384.04,Posgrado,Sucursal,850.0,1.84,13170672.48
CLI-000151,41.0,9515682.08,Secundaria,Web,657.0,3.06,39455702.71
CLI-000152,42.0,6902919.6,Pregrado,App Movil,628.6,1.45,27646012.76
CLI-000153,30.0,15384.65,Secundaria,App Movil,741.2,2.35,69319.35
CLI-000154,41.0,1620150.33,Pregrado,Web,731.8,1.95,4564264.06
CLI-000155,42.0,2300721.79,Primaria,App Movil,685.1,3.57,13240807.37
CLI-000156,29.0,1096184.75,Pregrado,Web,625.3,2.82,5140829.41
CLI-000157,60.0,934954.5,Primaria,App Movil,741.6,3.68,2939426.58
CLI-000158,44.0,161770.76,Secundaria,App Movil,659.7,2.9,722958.98
CLI-000159,24.0,4330433.85,Pregrado,Call Center,723.1,1.49,12845789.32
CLI-000160,46.0,1278913.21,Secundaria,App Movil,584.5,3.63,3275852.43
CLI-000161,26.0,225821.68,Secundaria,App Movil,603.1,3.95,1062899.62
CLI-000162,47.0,1103077.1,Posgrado,,657.8,4.18,5261337.68
CLI-000163,52.0,6800025.8,Posgrado,App Movil,551.2,3.09,30892095.88
CLI-000164,28.0,8009809.38,Primaria,App Movil,620.4,3.69,25168352.67
CLI-000165,50.0,2771330.3,Secundaria,App Movil,547.6,3.68,12781387.83
CLI-000166,43.0,2259496.32,Primaria,Call Center,526.4,1.71,6095642.72
CLI-000167,48.0,16002355.09,Secundaria,App Movil,844.9,1.74,74128257.48
CLI-000168,61.0,940168.43,,App Movil,601.3,1.43,4173463.66
CLI-000169,,,Pregrado,Sucursal,608.3,2.26,
CLI-000170,29.0,,Secundaria,Web,656.4,2.76,
CLI-000171,27.0,796560.15,,Call Center,565.1,4.49,4362165.2
CLI-000172,28.0,2003455.0,Pregrado,App Movil,609.9,2.62,11885075.4
CLI-000173,37.0,10152483.7,Pregrado,App Movil,796.8,3.6,60070658.36
CLI-000174,42.0,4012746.51,Secundaria,Sucursal,678.6,3.49,20878797.31
CLI-000175,41.0,2229937.21,Secundaria,Web,728.9,1.87,13039487.99
CLI-000176,48.0,11442245.42,Pregrado,Call Center,775.9,1.39,63338476.3
CLI-000177,38.0,208647.61,Primaria,APP,666.9,3.0,1052948.21
CLI-000178,55.0,991502.35,Secundaria,App Movil,632.3,3.51,2740358.7
CLI-000179,35.0,3504707.25,Secundaria,web,535.3,4.49,9363437.37
CLI-000180,71.0,4014983.12,Primaria,Web,619.4,2.38,21807776.24
CLI-000181,46.0,169516.91,Pregrado,Call Center,637.0,4.16,714309.59
CLI-000182,28.0,2166792.97,Pregrado,App Movil,585.4,2.46,11594776.55
CLI-000183,25.0,4399112.75,Secundaria,App Movil,773.6,3.48,15815751.51
CLI-000184,44.0,,Secundaria,Web,738.2,3.17,
CLI-000185,35.0,4269289.97,Pregrado,App Movil,728.8,1.37,21135775.43
CLI-000186,47.0,1623262.6,Primaria,Web,640.7,1.46,9258511.31
CLI-000187,44.0,412383.08,Pregrado,web,567.4,1.27,1157627.42
CLI-000188,37.0,2339676.46,Pregrado,Call Center,756.2,2.42,12903721.63
CLI-000189,28.0,578891.92,Secundaria,Web,676.8,3.66,3053970.11
CLI-000190,20.0,,Pregrado,Web,711.8,1.77,
CLI-000191,33.0,2707666.62,Pregrado,Call Center,699.5,3.2,10135495.14
CLI-000192,48.0,,Primaria,App Movil,674.9,2.15,
CLI-000193,41.0,6105684.72,Primaria,Web,810.0,3.83,15600587.03
CLI-000194,23.0,2894021.59,,App Movil,597.4,3.83,12066685.07
CLI-000195,40.0,1558674.57,Secundaria,App Movil,625.3,3.76,4417889.68
CLI-000196,43.0,7018795.34,Pregrado,Web,781.3,2.93,22312794.96
CLI-000197,27.0,,Pregrado,Sucursal,656.6,2.14,
CLI-000198,40.0,4694844.34,Secundaria,Sucursal,639.9,3.87,21120223.79
CLI-000199,39.0,202032.78,Primaria,Web,629.8,1.81,953132.78
CLI-000200,24.0,3508910.94,Secundaria,web,704.3,2.16,11074746.31
CLI-000201,42.0,6051949.12,Secundaria,App Movil,631.7,1.81,32682439.57
CLI-000202,45.0,616412.45,Pregrado,Web,622.7,3.42,3413648.51
CLI-000203,51.0,1090487.81,Posgrado,Web,703.0,3.46,4723607.79
CLI-000204,51.0,8993356.21,Pregrado,Web,657.5,3.35,51207740.39
CLI-000205,21.0,85373.07,Secundaria,App Movil,569.2,2.57,465872.32
CLI-000206,27.0,5868503.96,Posgrado,Web,652.6,1.53,29692485.79
CLI-000207,150.0,2696497.26,Pregrado,App Movil,761.6,4.21,13669261.08
CLI-000208,44.0,,Posgrado,Web,711.2,2.88,
CLI-000209,44.0,29911.7,Secundaria,Sucursal,771.4,2.54,103133.33
CLI-000210,84.0,7188135.54,Pregrado,Sucursal,,3.14,19652112.92
CLI-000211,45.0,1873256.9,Pregrado,App Movil,735.6,1.84,4740059.72
CLI-000212,52.0,3268417.29,Secundaria,Sucursal,598.1,1.64,9982018.86
CLI-000213,49.0,4750344.09,,web,551.4,2.54,26515020.02
CLI-000214,46.0,5093662.14,Primaria,Sucursal,585.8,1.95,17010586.3
CLI-000215,34.0,13117072.66,Secundaria,App Movil,660.5,2.01,77332211.72
CLI-000216,47.0,3183086.01,Posgrado,App Movil,732.2,4.15,14612015.21
CLI-000217,29.0,2143504.94,Primaria,Call Center,674.8,2.95,7138738.94
CLI-000218,35.0,12905304.92,Posgrado,Web,637.7,2.8,54717948.41
CLI-000219,32.0,,Pregrado,App Movil,567.4,3.48,
CLI-000220,39.0,1486951.54,Primaria,App Movil,706.4,4.34,8838302.34
CLI-000221,66.0,567866.11,Secundaria,Sucursal,727.1,1.57,3103631.02
CLI-000222,16.0,7764438.87,Pregrado,Sucursal,673.9,3.95,20124150.33
CLI-000223,46.0,1888747.06,Pregrado,App Movil,565.8,3.13,10987249.83
CLI-000224,19.0,4536807.03,Posgrado,Web,714.7,1.68,22791683.94
CLI-000225,32.0,2672963.47,Posgrado,APP,748.2,2.18,7453115.95
CLI-000226,51.0,931588.01,Secundaria,Web,772.6,2.79,4515623.32
CLI-000227,39.0,3866167.91,Primaria,Web,615.0,3.48,18419365.11
CLI-000228,25.0,262929.82,Posgrado,App Movil,684.9,2.0,858665.85
CLI-000229,29.0,2239918.95,Pregrado,Call Center,607.2,2.97,11545804.35
CLI-000230,46.0,3322256.67,Primaria,Sucursal,576.2,3.46,9318021.19
CLI-000231,29.0,2405694.14,Pregrado,web,776.7,2.68,10135329.27
CLI-000232,41.0,5800187.89,Posgrado,Web,695.2,4.05,14701917.36
CLI-000233,39.0,7391263.26,Pregrado,App Movil,,4.07,43538836.49
CLI-000234,30.0,6195400.25,Secundaria,Web,552.0,2.75,31785331.92
CLI-000235,64.0,166262.23,Pregrado,Call Center,,4.41,508094.43
CLI-000236,46.0,906491.52,Pregrado,App Movil,690.7,1.45,3350264.97
CLI-000237,14.0,3230559.66,Posgrado,Web,583.4,1.21,9891871.34
CLI-000238,40.0,11468662.43,,Sucursal,769.0,2.46,59443925.26
CLI-000239,30.0,7566501.05,Pregrado,App Movil,630.4,3.18,20475989.5
CLI-000240,,7763905.57,Pregrado,App Movil,686.3,3.28,42246696.62
CLI-000241,28.0,1517328.17,,Call Center,606.0,2.77,8796994.09
CLI-000242,37.0,2356833.3,Secundaria,Web,554.4,1.61,11473530.69
CLI-000243,44.0,2672086.77,Primaria,Web,723.0,1.76,8671934.49
CLI-000244,48.0,719162.66,Posgrado,Web,680.3,4.01,2704278.38
CLI-000245,24.0,132556.11,Secundaria,App Movil,669.0,4.06,552803.99
CLI-000246,34.0,12329658.42,Primaria,Web,627.7,3.42,56916005.25
CLI-000247,32.0,1156574.57,Secundaria,Sucursal,678.1,3.39,5598191.96
CLI-000248,30.0,1152352.39,Secundaria,Web,751.3,3.17,5116158.26
CLI-000249,,365657.27,Secundaria,web,595.3,1.87,1363754.89
CLI-000250,43.0,11080298.27,Secundaria,Web,694.8,2.61,62251447.88
CLI-000251,23.0,3640874.36,,Web,666.2,3.5,10139369.8
CLI-000252,49.0,4618838.6,Pregrado,Web,635.2,2.97,19084561.61
CLI-000253,63.0,10187611.93,Pregrado,Sucursal,518.4,1.26,53123067.43
CLI-000254,50.0,1781082.72,Primaria,App Movil,649.0,4.35,4832174.18
CLI-000255,20.0,4080545.79,Pregrado,Call Center,703.8,3.99,20274898.75
CLI-000256,32.0,166203.27,Pregrado,Sucursal,675.9,2.06,892343.81
CLI-000257,53.0,868326.55,Pregrado,web,534.9,3.23,4179177.14
CLI-000258,30.0,7473110.78,Secundaria,Sucursal,749.8,4.25,19021152.85
CLI-000259,,6114037.19,Secundaria,Web,781.8,1.52,19139868.67
CLI-000260,47.0,1813443.08,Pregrado,Call Center,641.2,2.86,6705016.78
CLI-000261,27.0,1986200.32,Pregrado,web,834.9,2.71,6590044.08
CLI-000262,37.0,3202978.59,Pregrado,,583.6,2.55,18799186.16
CLI-000263,-1.0,1012.34,Pregrado,Web,548.2,3.96,4839.57
CLI-000264,26.0,1159516.98,Secundaria,Sucursal,568.8,2.46,4103992.49
CLI-000265,35.0,980643.79,Pregrado,Web,669.6,1.41,5642566.75
CLI-000266,23.0,1210970.08,Primaria,Web,507.7,1.42,6166356.16
CLI-000267,58.0,6885529.94,Pregrado,Sucursal,625.1,1.34,24072675.02
CLI-000268,21.0,1377815.01,,APP,850.0,2.55,5271638.02
CLI-000269,33.0,892924.09,Pregrado,App Movil,529.7,3.57,2855572.14
CLI-000270,40.0,2947184.79,Secundaria,Call Center,606.2,1.87,17384732.79
CLI-000271,55.0,8430534.0,Secundaria,Web,567.1,3.33,36340134.94
CLI-000272,21.0,1160100.27,Pregrado,Web,627.2,3.47,6538555.29
CLI-000273,52.0,343525.7,Posgrado,App Movil,622.1,2.04,1275424.77
CLI-000274,38.0,1850877.93,Pregrado,App Movil,596.4,3.18,10203789.36
CLI-000275,26.0,5783171.09,Pregrado,Call Center,637.5,3.46,15548656.75
CLI-000276,44.0,3360182.36,Secundaria,App Movil,700.7,2.74,19950464.86
CLI-000277,40.0,7127990.67,Pregrado,App Movil,760.8,2.31,40573380.28
CLI-000278,31.0,13476670.82,Pregrado,App Movil,627.2,3.24,50823359.9
CLI-000279,39.0,6608310.52,,Web,650.5,4.43,34439392.52
CLI-000280,33.0,3888544.45,Secundaria,web,687.1,2.61,19959520.47
CLI-000281,39.0,2855656.63,Pregrado,App Movil,551.1,2.49,16147001.4
CLI-000282,46.0,171754.64,Secundaria,App Movil,637.8,2.73,614090.24
CLI-000283,57.0,,Pregrado,Call Center,609.6,1.45,
CLI-000284,23.0,2031398.61,Pregrado,App Movil,726.2,3.03,11228553.06
CLI-000285,64.0,693603.96,Secundaria,Call Center,790.1,2.28,3624100.17
CLI-000286,15.0,4614703.22,Secundaria,Web,587.8,1.6,17891820.52
CLI-000287,36.0,,Pregrado,Web,752.4,2.74,
CLI-000288,45.0,3701686.26,Pregrado,APP,533.3,1.21,9862547.58
CLI-000289,41.0,3711732.69,Primaria,Call Center,666.1,2.53,19438945.62
CLI-000290,31.0,2478432.7,Secundaria,App Movil,670.8,1.55,7989675.19
CLI-000291,36.0,,Pregrado,Sucursal,531.3,1.28,
CLI-000292,32.0,95000000.0,Posgrado,APP,583.7,3.92,401493935.5
CLI-000293,31.0,2500486.33,Secundaria,Web,575.9,4.22,10187158.23
CLI-000294,48.0,3240401.73,Pregrado,Web,545.1,1.89,14005001.29
CLI-000295,42.0,4576016.93,Primaria,App Movil,436.7,2.98,20165200.55
CLI-000296,30.0,6435855.54,Secundaria,Web,633.4,2.12,23557463.99
CLI-000297,,2109274.99,Secundaria,Web,643.1,2.83,6566798.01
CLI-000298,42.0,4362082.14,Posgrado,Call Center,642.4,2.64,22637829.21
CLI-000299,48.0,685599.42,Secundaria,Web,711.3,2.09,2673780.51
CLI-000300,46.0,11330861.53,Pregrado,Call Center,495.0,3.51,48387798.52
CLI-000301,28.0,2028522.59,Secundaria,App Movil,619.5,1.62,9648542.97
CLI-000302,31.0,,,App Movil,850.0,1.38,
CLI-000303,47.0,86313.4,Pregrado,Sucursal,720.9,3.73,429533.02
CLI-000304,45.0,964524.09,Pregrado,App Movil,721.4,3.4,2564773.04
CLI-000305,38.0,2804089.48,Posgrado,Web,568.7,2.85,15240117.73
CLI-000306,39.0,8844384.3,Pregrado,Web,634.3,2.74,52736786.62
CLI-000307,53.0,3146637.75,Pregrado,Sucursal,466.0,2.84,13070181.64
CLI-000308,31.0,11161128.27,Secundaria,Web,696.8,2.64,65778848.08
CLI-000309,45.0,2777270.91,Primaria,Web,762.0,2.5,12263457.96
CLI-000310,36.0,2831747.2,Pregrado,APP,534.0,2.85,11634675.08
CLI-000311,35.0,,Secundaria,,,2.94,
CLI-000312,51.0,,Secundaria,App Movil,647.4,3.48,
CLI-000313,48.0,1191305.3,Pregrado,Web,662.3,3.55,3936515.25
CLI-000314,48.0,9654613.4,Secundaria,Sucursal,606.7,2.45,27682381.09
CLI-000315,54.0,,Pregrado,Call Center,584.8,2.56,
CLI-000316,38.0,12054669.58,Primaria,Web,585.6,2.43,42472583.73
CLI-000317,46.0,3084687.8,,Web,646.1,2.97,11984622.6
CLI-000318,34.0,4747652.08,Posgrado,Call Center,696.9,2.7,21042868.46
CLI-000319,42.0,95000000.0,Posgrado,web,646.1,4.14,334839316.87
CLI-000320,36.0,589801.7,Secundaria,Sucursal,638.4,3.5,3505904.28
CLI-000321,39.0,3858483.67,Pregrado,Web,509.3,4.17,13586138.06
CLI-000322,45.0,146579.49,,App Movil,719.4,3.54,592681.54
CLI-000323,28.0,,Posgrado,Sucursal,645.9,4.4,
CLI-000324,63.0,706576.47,Pregrado,Web,615.1,3.3,2410975.14
CLI-000325,26.0,848491.77,Secundaria,Web,,4.38,2264762.4
CLI-000326,23.0,1907661.8,Pregrado,Web,582.5,1.72,8504890.86
CLI-000327,52.0,2378896.03,Pregrado,App Movil,616.7,1.37,12200706.85
CLI-000328,47.0,4099063.73,Secundaria,App Movil,658.6,3.11,13055453.83
CLI-000329,45.0,324843.99,Pregrado,Call Center,595.7,4.45,1230407.77
CLI-000330,46.0,2942344.0,Pregrado,Sucursal,,2.58,7526977.29
CLI-000331,38.0,846961.3,Pregrado,web,505.3,1.9,4606052.67
CLI-000332,27.0,3583682.17,Secundaria,Call Center,685.7,2.92,18742200.25
CLI-000333,39.0,4260764.34,Pregrado,Web,647.5,3.34,11595197.67
CLI-000334,30.0,3416823.56,,App Movil,644.7,2.24,12905467.75
CLI-000335,50.0,5630265.12,Pregrado,App Movil,557.1,3.56,32900471.96
CLI-000336,36.0,1717316.22,Pregrado,Web,648.4,4.42,6649611.03
CLI-000337,28.0,6084218.49,Pregrado,web,618.0,4.16,26416036.19
CLI-000338,34.0,2381338.13,Pregrado,Web,602.0,2.16,8914182.12
CLI-000339,43.0,,Pregrado,App Movil,644.0,2.28,
CLI-000340,31.0,4386539.97,Secundaria,App Movil,673.7,2.43,25983884.74
CLI-000341,28.0,77821.76,Secundaria,App Movil,790.0,2.5,466250.3
CLI-000342,41.0,4457459.17,Secundaria,Sucursal,695.2,1.53,23230059.27
CLI-000343,41.0,4048244.12,Primaria,App Movil,718.6,3.71,15849235.39
CLI-000344,32.0,1557536.97,Secundaria,Web,738.4,2.41,6589179.94
CLI-000345,32.0,376738.58,Secundaria,Web,588.9,4.1,1412227.04
CLI-000346,41.0,400424.54,Posgrado,web,624.3,4.26,2382330.29
CLI-000347,,10780811.55,Secundaria,Web,577.6,1.28,53657835.55
CLI-000348,21.0,4909215.82,Primaria,Web,595.5,4.46,19986694.29
CLI-000349,29.0,570936.54,Primaria,App Movil,615.7,3.54,1451551.03
CLI-000350,35.0,1852956.49,Pregrado,Web,593.5,2.92,8007907.15
