id_cliente,edad,ingreso_mensual,ciudad,gasto_anual,cliente_activo
CLI-00085,51.0,6322195.59,Cali,160956.76,No
CLI-00086,27.0,3603647.05,Bogotá,2015933.7,No
CLI-00087,53.0,1781941.65,BOGOTA,43705.83,0
CLI-00088,31.0,5460800.39,BOGOTA,901507.81,No
CLI-00089,48.0,2698044.98,Tunja,1301219.58,Si
CLI-00090,65.0,5537821.72,Bogotá,279029.05,SI
CLI-00091,-5.0,6502354.87,Medellín,2835441.68,No
CLI-00092,25.0,5444624.82,Bogotá,2188265.84,Si
CLI-00093,31.0,6107116.95,Bogotá,764310.17,Si
CLI-00094,40.0,7530073.66,Medellín,635498.38,Si
CLI-00095,74.0,5950140.69,Tunja,323917.35,1
CLI-00096,57.0,4995860.09,Medellín,1571169.87,Si
CLI-00097,38.0,6950922.28,Medellín,169522.14,0
CLI-00098,33.0,7132163.32,Tunja,1368213.05,TRUE
CLI-00099,62.0,7153157.67,Bogotá,2217668.1,No
CLI-00100,35.0,3761784.73,Bogotá,311258.12,No
CLI-00101,64.0,2468972.46,Medellín,2415732.18,Si
CLI-00102,70.0,3670211.72,Tunja,40669.28,Si
CLI-00103,,5555462.42,TUNJA,2927287.55,Si
CLI-00104,43.0,4738738.42,Bogotá,151168.8,No
CLI-00105,42.0,4190278.52,Tunja,1245333.97,Si
CLI-00106,62.0,5340722.1,Bogotá,345350.44,Si
CLI-00107,58.0,2293792.38,Bogotá,2173515.33,Si
CLI-00108,46.0,4711753.95,Bogotá,861666.67,1
CLI-00109,32.0,6177686.47,Medellín,174365.57,Si
CLI-00110,62.0,5323973.47,Bogotá,1015534.46,TRUE
CLI-00111,18.0,5537714.73,Tunja,628860.44,Si
CLI-00112,42.0,6896059.18,Tunja,1299692.45,No
CLI-00113,24.0,4400785.07,Medellín,2563501.64,Si
CLI-00114,26.0,3520362.51,Medellín,631917.49,No
CLI-00115,41.0,6284272.56,Bogotá,410786.72,No
CLI-00116,18.0,6256680.95,Cali,17545.76,Si
CLI-00117,,5337437.51,Bogotá,1026344.94,No
CLI-00118,25.0,4259443.5,Cali,617548.93,No
CLI-00119,41.0,4502069.48,Bogotá,563331.04,No
CLI-00120,28.0,2584840.57,Tunja,242444.43,No
CLI-00121,68.0,6169419.8,BOGOTA,674659.22,Si
CLI-00122,34.0,6116476.96,Bogotá,4995812.78,No
CLI-00123,25.0,2532475.87,Cali,424166.07,
CLI-00124,52.0,5801448.13,Bogotá,1098662.45,TRUE
CLI-00125,52.0,5106152.48,Medellín,1797942.2,0
CLI-00126,50.0,2967038.83,tunja,1659517.58,Si
CLI-00127,22.0,2690999.7,Tunja,478379.78,No
CLI-00128,59.0,5060239.9,Cali,1132579.58,No
CLI-00129,56.0,3903443.83,Medellín,2459996.17,Si
CLI-00130,58.0,7229923.28,Medellín,18681.58,SI
CLI-00131,45.0,5928897.59,Bogotá,686676.17,No
CLI-00132,24.0,5210539.71,tunja,304746.2,Si
CLI-00133,26.0,5284618.51,Tunja,590468.02,Si
CLI-00134,25.0,6496300.77,Bogotá,645403.8,SI
CLI-00135,29.0,5769777.14,tunja,1647679.32,Si
CLI-00136,,,Cali,118223.26,Si
CLI-00137,50.0,3029608.24,Tunja,862364.53,Si
CLI-00138,65.0,9092920.45,Bogotá,996671.89,Si
CLI-00139,72.0,2845225.86,Bogotá,817836.15,TRUE
CLI-00140,40.0,4031185.89,Bogotá,1579554.57,Si
CLI-00141,41.0,2017907.59,Bogotá,581003.4,No
CLI-00142,54.0,,Medellín,3479788.12,1
CLI-00143,52.0,4726665.66,Tunja,788880.78,No
CLI-00144,61.0,5647914.66,Cali,1016156.53,Si
CLI-00145,57.0,1891401.55,Cali,2095208.63,No
CLI-00146,,6169358.5,Bogotá,386291.21,Si
CLI-00147,44.0,3288846.9,Bogotá,93815.97,Si
CLI-00148,52.0,4276492.2,Bogotá,1476314.34,No
CLI-00149,18.0,5897356.9,Bogotá,791682.4,SI
CLI-00150,52.0,4891900.03,Medellín,2721869.69,No
CLI-00151,54.0,4997913.84,Bogotá,4867075.43,0
CLI-00152,64.0,5698768.23,Medellín,611210.77,No
CLI-00153,31.0,5143185.96,Bogotá,644273.0,No
CLI-00154,20.0,3988338.15,Bogotá,629022.57,SI
CLI-00155,18.0,4250296.31,Tunja,470858.67,Si
CLI-00156,22.0,4817818.02,Tunja,1826191.1,Si
CLI-00157,43.0,3156665.86,Tunja,1707528.92,No
CLI-00158,72.0,5994012.99,Bogotá,781588.61,No
CLI-00159,31.0,4932980.9,tunja,54827.1,Si
CLI-00160,56.0,4612164.4,Cali,444510.23,Si
CLI-00161,44.0,6288744.84,Bogotá,414887.17,Si
CLI-00162,26.0,4319829.54,Tunja,1999763.99,No
CLI-00163,32.0,4226368.5,Tunja,109980.02,SI
CLI-00164,32.0,3773056.85,Bogotá,1965870.26,1
CLI-00165,43.0,5014600.51,Bogotá,1327430.28,No
CLI-00166,59.0,4962675.16,Bogotá,1582100.27,SI
CLI-00167,30.0,3500573.7,Tunja,679211.11,Si
CLI-00168,68.0,4233459.03,Tunja,1366293.32,Si
CLI-00169,49.0,3510596.6,Tunja,1126946.1,Si
CLI-00170,56.0,3442697.32,Tunja,1758302.2,No
CLI-00171,66.0,1905153.25,Medellín,710377.38,Si
CLI-00172,,4153634.62,Tunja,768268.68,No
CLI-00173,49.0,1946680.1,Bogotá,1237961.84,No
CLI-00174,21.0,3805776.47,Medellín,137251.23,Si
CLI-00175,47.0,3580958.03,tunja,687761.45,0
CLI-00176,54.0,6077842.59,tunja,4288556.14,No
CLI-00177,40.0,2977597.79,Medellín,45930.69,Si
CLI-00178,56.0,3358220.42,Tunja,455765.12,Si
CLI-00179,62.0,3927713.79,Medellín,452445.3,No
CLI-00180,,3629784.52,Cali,1204390.63,Si
CLI-00181,999.0,6553882.2,Tunja,134191.46,Si
CLI-00182,46.0,2792148.94,Bogotá,1188389.93,No
CLI-00183,53.0,3930893.25,tunja,119837.76,1
CLI-00184,30.0,4998097.87,Bogotá,119722.94,Si
CLI-00185,49.0,5821775.01,Tunja,1563153.06,TRUE
CLI-00186,24.0,3929637.67,Tunja,470114.62,SI
CLI-00187,68.0,1622850.6,Bogotá,4548985.53,Si
CLI-00188,39.0,4274843.67,Tunja,45682.12,No
CLI-00189,45.0,6528042.71,Medellín,706775.24,Si
CLI-00190,19.0,,Medellín,144076.28,Si
CLI-00191,59.0,4854626.79,Tunja,519487.99,No
CLI-00192,62.0,2905473.01,tunja,7599023.53,No
CLI-00193,74.0,2751492.61,Bogotá,2636168.72,Si
CLI-00194,70.0,4527062.47,Tunja,59437.28,TRUE
CLI-00195,23.0,2360431.62,Cali,994089.25,No
CLI-00196,45.0,5672043.33,Cali,1252343.3,1
CLI-00197,45.0,3230030.63,Medellín,282160.11,Si
CLI-00198,61.0,4463014.08,tunja,188132.75,1
CLI-00199,61.0,1671349.62,Medellín,2816862.17,Si
CLI-00200,,3909297.2,tunja,4161437.15,Si
CLI-00201,47.0,2721209.18,Bogotá,5778011.75,No
CLI-00202,28.0,1017065.37,Medellín,1871416.78,No
CLI-00203,72.0,5312763.13,,1306995.94,No
CLI-00204,45.0,6961739.31,Medellín,509082.66,Si
CLI-00205,42.0,6194210.38,Tunja,225618.86,Si
CLI-00206,56.0,5522536.03,Bogotá,98729.01,No
CLI-00207,50.0,3878818.25,Medellín,1418252.34,Si
CLI-00208,18.0,5708835.34,Tunja,1842997.96,No
CLI-00209,74.0,6335779.8,Desconocido,2101572.7,Si
CLI-00210,44.0,4705232.74,Tunja,2940815.03,0
CLI-00211,74.0,2723459.74,Tunja,2543612.09,No
CLI-00212,69.0,3750923.55,TUNJA,9911681.09,No
CLI-00213,30.0,7054044.73,Bogotá,335758.29,1
CLI-00214,58.0,4387883.75,Tunja,1729192.72,No
CLI-00215,20.0,-487133.58,Medellín,1059599.83,Si
CLI-00216,56.0,2296614.8,Medellín,363346.95,Si
CLI-00217,,3863326.95,Tunja,4814564.92,No
CLI-00218,25.0,6053737.86,Desconocido,2738140.79,Si
CLI-00219,44.0,4090316.47,Bogotá,165068.87,No
CLI-00220,26.0,6081647.48,Medellín,31807.87,Si
CLI-00221,54.0,3710756.47,Bogotá,1398975.35,Si
CLI-00222,50.0,1553561.22,Medellín,1112005.19,No
CLI-00223,68.0,3762658.26,Bogotá,3295194.56,0
CLI-00224,59.0,,Bogotá,319896.01,No
CLI-00225,61.0,4892925.52,Bogotá,105795.03,1
CLI-00226,41.0,2617338.38,Cali,360054.35,0
CLI-00227,32.0,3973205.7,Tunja,22930.87,Si
CLI-00228,71.0,,Medellín,43863.28,Si
CLI-00229,49.0,2650096.76,Cali,2956119.06,No
CLI-00230,49.0,5491085.09,Tunja,520668.21,SI
CLI-00231,,1354986.45,Tunja,634805.85,No
CLI-00232,58.0,5795687.74,Bogotá,22251.01,
CLI-00233,69.0,3161511.91,Medellín,378510.92,Si
CLI-00234,66.0,5103132.39,Tunja,1960021.79,Si
CLI-00235,66.0,2562711.6,Bogotá,1146945.57,No
CLI-00236,69.0,4936279.2,Medellín,1681838.73,Si
CLI-00237,29.0,3137024.56,Medellín,711340.64,Si
CLI-00238,56.0,3427427.73,Bogotá,444805.59,Si
CLI-00239,19.0,5162979.01,Bogotá,791214.18,Si
CLI-00240,20.0,3854421.79,Cali,468226.78,No
CLI-00241,66.0,5070572.17,BOGOTA,2191405.69,TRUE
CLI-00242,54.0,4213738.02,tunja,424028.63,TRUE
CLI-00243,66.0,,Medellín,1293737.67,No
CLI-00244,73.0,5167629.71,Bogotá,176783.99,Si
CLI-00245,34.0,,Bogotá,1393350.77,No
CLI-00246,66.0,3005925.32,Tunja,2934357.68,Si
CLI-00247,19.0,3701531.6,Tunja,1125578.62,Si
CLI-00248,19.0,6292708.77,Medellín,984782.31,Si
CLI-00249,45.0,4674259.63,Bogotá,3896676.9,SI
CLI-00250,71.0,3232652.32,Bogotá,1184688.69,TRUE
CLI-00251,40.0,5102340.91,,360597.31,No
CLI-00252,54.0,5202473.38,Tunja,415036.36,No
CLI-00253,49.0,5279998.61,Tunja,1466183.92,Si
CLI-00254,50.0,3033244.2,Tunja,1595609.2,No
CLI-00255,18.0,3476413.51,Medellín,434018.49,No
CLI-00256,36.0,3484756.18,Medellín,508374.41,Si
CLI-00257,19.0,3959028.13,Bogotá,5660195.09,Si
CLI-00258,70.0,5308378.78,Bogotá,129038.85,SI
CLI-00259,61.0,4944277.21,Cali,622316.95,No
CLI-00260,43.0,5062825.44,Cali,77379.07,TRUE
CLI-00261,49.0,6531028.71,BOGOTA,2064968.81,SI
CLI-00262,23.0,5533336.4,Cali,116270.22,
CLI-00263,-5.0,4287297.56,Medellín,1345056.56,Si
CLI-00264,72.0,2724172.24,Tunja,69769.61,Si
CLI-00265,21.0,3428179.49,Tunja,1340822.28,Si
CLI-00266,72.0,4107442.4,Tunja,2222093.8,Si
CLI-00267,28.0,5743694.74,Medellín,610636.11,No
CLI-00268,73.0,4459002.1,Cali,886091.05,No
CLI-00269,34.0,3515706.07,Bogotá,616078.19,No
CLI-00270,55.0,3400660.67,Tunja,-50000.0,Si
CLI-00271,41.0,4395632.69,Bogotá,1951067.4,TRUE
CLI-00272,22.0,,BOGOTA,380949.32,Si
CLI-00273,69.0,6886528.96,Medellín,1540240.26,Si
CLI-00274,51.0,4191347.1,Cali,277104.07,No
CLI-00275,23.0,4432885.23,Cali,344984.58,No
CLI-00276,39.0,2679087.44,BOGOTA,492201.47,Si
CLI-00277,28.0,7408788.85,Cali,1067451.14,Si
CLI-00278,65.0,2398495.74,Medellín,727092.1,No
CLI-00279,33.0,6257493.47,Tunja,1640471.73,Si
CLI-00280,50.0,3951996.07,Tunja,288297.76,Si
CLI-00281,,3600950.26,Bogotá,12875.57,No
CLI-00282,23.0,2834994.64,Tunja,1798321.25,Si
CLI-00283,33.0,8115072.97,Desconocido,2068804.36,Si
CLI-00284,46.0,4832237.43,Bogotá,73587.05,Si
CLI-00285,,4531920.66,tunja,1132725.88,0
CLI-00286,37.0,5830098.54,Bogotá,570177.23,0
CLI-00287,53.0,3523750.91,Bogotá,1895247.25,Si
CLI-00288,36.0,4502768.93,BOGOTA,2489722.69,Si
CLI-00289,43.0,4584504.43,Bogotá,2284601.1,Si
CLI-00290,20.0,3731781.4,Bogotá,1801799.8,Si
CLI-00291,36.0,6299457.12,Tunja,376095.92,No
CLI-00292,37.0,4172018.38,Medellín,2004871.78,No
CLI-00293,49.0,2170301.92,Bogotá,914941.34,Si
CLI-00294,24.0,4047753.95,Medellín,65039.05,Si
CLI-00295,69.0,4873768.01,Medellín,732640.02,Si
CLI-00296,58.0,3159760.15,Medellín,3420046.43,Si
CLI-00297,50.0,3278107.81,Medellín,2625601.67,Si
CLI-00298,57.0,3680611.44,Bogotá,129455.46,No
CLI-00299,56.0,6331853.49,Bogotá,1635687.39,No
CLI-00300,35.0,3769262.97,Cali,1966595.99,No
CLI-00301,57.0,6643675.53,Bogotá,379937.02,Si
CLI-00302,18.0,3577574.34,Bogotá,765501.51,No
CLI-00303,28.0,,Bogotá,1489544.24,Si
CLI-00304,45.0,3830635.99,tunja,693730.0,Si
CLI-00305,74.0,5631124.76,Bogotá,143617.64,No
CLI-00306,42.0,2822588.77,Bogotá,1468530.89,Si
CLI-00307,67.0,5614289.22,Medellín,2911585.29,No
CLI-00308,40.0,4670804.1,Medellín,1268336.0,No
CLI-00309,48.0,3540012.27,Tunja,1783606.83,TRUE
CLI-00310,47.0,4250667.77,Bogotá,532478.2,0
CLI-00311,59.0,6800782.41,Medellín,242830.64,Si
CLI-00312,52.0,4706766.76,,1235262.84,
CLI-00313,24.0,,Medellín,476587.83,No
CLI-00314,33.0,2692960.08,Bogotá,2359965.76,No
CLI-00315,43.0,5258106.41,Tunja,156989.11,Si
CLI-00316,65.0,,tunja,681856.95,SI
CLI-00317,74.0,5542531.04,Cali,606463.73,Si
CLI-00318,69.0,2306662.89,Tunja,3337787.85,SI
CLI-00319,66.0,2741609.32,Tunja,199456.5,Si
CLI-00320,19.0,6220318.8,Medellín,11874.75,No
CLI-00321,18.0,4997012.47,Bogotá,326304.67,Si
CLI-00322,65.0,5300101.28,Bogotá,2059605.27,Si
CLI-00323,29.0,3055969.45,Tunja,281837.09,Si
CLI-00324,22.0,3028519.2,Bogotá,330711.43,Si
CLI-00325,54.0,5986887.99,Bogotá,166974.91,Si
CLI-00326,49.0,6057566.48,Medellín,1508157.37,Si
CLI-00327,72.0,2867520.77,Bogotá,86019.74,No
CLI-00328,26.0,2580944.26,Bogotá,482739.16,SI
CLI-00329,58.0,4337110.54,Bogotá,398376.67,No
CLI-00330,52.0,3300977.32,Bogotá,972048.01,Si
CLI-00331,36.0,3269734.68,Tunja,1573051.48,Si
CLI-00332,65.0,,Bogotá,913393.76,Si
CLI-00333,33.0,3797349.23,Medellín,3208830.67,TRUE
CLI-00334,20.0,2767957.89,Tunja,3630011.37,SI
CLI-00335,37.0,2856898.65,Tunja,538295.16,Si
CLI-00336,41.0,4947587.77,Tunja,1804367.02,Si
CLI-00337,71.0,4417202.65,Bogotá,1610969.01,TRUE
CLI-00338,73.0,5227318.02,tunja,2681514.7,TRUE
CLI-00339,50.0,2026449.85,Tunja,712926.16,SI
CLI-00340,41.0,4514820.91,BOGOTA,907235.85,SI
CLI-00341,69.0,7613456.31,Tunja,644961.51,Si
CLI-00342,28.0,3941591.27,Cali,2279563.13,Si
CLI-00343,66.0,5737123.51,Bogotá,313173.88,Si
CLI-00344,,5724010.27,Medellín,328864.95,Si
CLI-00345,53.0,,Bogotá,559414.94,Si
CLI-00346,55.0,4749992.53,Bogotá,314172.12,No
CLI-00347,57.0,,Cali,987925.73,Si
CLI-00348,37.0,5548520.43,Cali,173323.77,Si
CLI-00349,52.0,5453169.04,Bogotá,463123.64,Si
CLI-00350,65.0,,Tunja,2936366.09,Si
CLI-00351,42.0,1938923.28,Tunja,631585.03,Si
CLI-00352,52.0,2169624.68,Cali,1655104.88,SI
CLI-00353,42.0,4094760.01,Bogotá,144517.81,SI
CLI-00354,46.0,5390890.1,Bogotá,341328.01,Si
CLI-00355,35.0,2843383.08,Medellín,1976228.97,No
CLI-00356,63.0,5885955.69,tunja,1727598.4,Si
CLI-00357,35.0,3746587.24,Medellín,585617.19,No
CLI-00358,19.0,3760867.18,Cali,3705335.55,Si
CLI-00359,71.0,,Cali,2898139.05,Si
CLI-00360,52.0,1672820.46,Bogotá,3933738.07,SI
CLI-00361,33.0,,Bogotá,670160.59,Si
CLI-00362,58.0,7069001.57,Cali,263988.61,Si
CLI-00363,53.0,,Bogotá,1182314.52,Si
CLI-00364,50.0,1724052.54,TUNJA,1385355.32,Si
CLI-00365,21.0,5670514.22,Tunja,160843.7,Si
CLI-00366,50.0,2062803.01,Tunja,1852846.78,SI
CLI-00367,31.0,2686448.4,BOGOTA,21870.36,No
CLI-00368,38.0,85000000.0,Medellín,791024.62,No
CLI-00369,65.0,4684265.16,Bogotá,482394.63,Si
CLI-00370,37.0,2987004.0,Cali,1617887.93,Si
CLI-00371,73.0,4084025.92,Medellín,450087.31,Si
CLI-00372,25.0,5572743.6,Bogotá,2104019.22,Si
CLI-00373,24.0,5778268.33,Tunja,1084504.05,No
CLI-00374,20.0,6377184.63,Cali,1895233.9,Si
CLI-00375,34.0,7364127.98,tunja,5449580.04,TRUE
CLI-00376,50.0,5714833.98,Tunja,1364169.08,Si
CLI-00377,65.0,4174895.23,tunja,5035677.97,Si
CLI-00378,29.0,5788970.69,tunja,35112.32,Si
CLI-00379,68.0,5200074.35,Bogotá,495241.45,Si
CLI-00380,39.0,5259550.47,Medellín,136949.59,Si
CLI-00381,72.0,4765828.18,Bogotá,365069.67,Si
CLI-00382,39.0,3131918.85,Bogotá,2190785.85,Si
CLI-00383,63.0,2957855.39,Medellín,39428.64,No
CLI-00384,47.0,4354322.7,tunja,881220.44,No
CLI-00385,55.0,4723365.11,Medellín,1004777.81,Si
CLI-00386,55.0,3480838.62,Bogotá,988320.27,Si
CLI-00387,62.0,5135012.92,Tunja,773907.64,No
CLI-00388,68.0,7621148.86,Tunja,1876227.77,
CLI-00389,71.0,1883503.92,Bogotá,172011.48,No
CLI-00390,25.0,5373366.72,Tunja,446280.34,Si
CLI-00391,44.0,4401038.07,Medellín,1147679.49,No
CLI-00392,44.0,5175983.33,Bogotá,1409107.95,No
CLI-00393,51.0,3853927.95,Cali,621316.43,Si
CLI-00394,999.0,4280910.17,Bogotá,2498899.28,SI
CLI-00395,47.0,4694250.68,Medellín,644384.64,Si
CLI-00396,50.0,4047549.17,Bogotá,618555.9,0
CLI-00397,45.0,2219188.02,Tunja,44254.81,No
CLI-00398,64.0,4149127.45,Tunja,961256.66,No
CLI-00399,50.0,2375349.56,Bogotá,1480003.01,No
CLI-00400,22.0,,tunja,145839.59,Si
CLI-00401,65.0,,Tunja,437359.57,No
CLI-00402,36.0,6042981.57,Medellín,1823829.05,SI
CLI-00403,21.0,5144344.5,Desconocido,546695.11,No
CLI-00404,52.0,5150082.92,Cali,331857.09,TRUE
CLI-00405,66.0,1253535.2,Tunja,1338424.36,TRUE
CLI-00406,34.0,4007100.84,TUNJA,262920.25,0
CLI-00407,61.0,6230345.14,Tunja,2712039.15,No
CLI-00408,45.0,3722088.03,Bogotá,133920.46,No
CLI-00409,47.0,2882906.78,tunja,1471256.81,Si
CLI-00410,46.0,3544994.86,Medellín,830693.99,No
CLI-00411,63.0,4397583.57,Bogotá,2447614.98,Si
CLI-00412,70.0,3222944.32,Bogotá,161877.77,Si
CLI-00413,23.0,6350725.85,Bogotá,1359452.94,Si
CLI-00414,52.0,4402998.71,Bogotá,1018511.7,SI
CLI-00415,58.0,3666645.98,Bogotá,784919.8,SI
CLI-00416,54.0,2547984.71,Desconocido,811329.25,No
CLI-00417,,5226669.91,BOGOTA,1536061.56,Si
CLI-00418,46.0,5192499.44,tunja,3331755.23,No
CLI-00419,66.0,,Bogotá,114824.49,No
CLI-00420,63.0,1145506.46,Medellín,23634.4,Si
CLI-00421,70.0,5116143.28,TUNJA,1966051.91,Si
CLI-00422,48.0,4219794.91,tunja,137374.87,Si
CLI-00423,52.0,5004106.75,Bogotá,5183700.45,No
CLI-00424,50.0,7435761.8,Tunja,1159044.43,No
CLI-00425,69.0,4459752.23,Tunja,1262760.73,Si
CLI-00426,38.0,3729242.07,Medellín,266110.97,0
CLI-00427,49.0,2779017.05,Medellín,329817.44,Si
CLI-00428,40.0,4031367.31,Cali,1292280.73,Si
CLI-00429,50.0,4740866.02,Bogotá,2885898.09,Si
CLI-00430,20.0,4579961.13,Tunja,4847183.81,Si
CLI-00431,999.0,7085198.01,Bogotá,264822.31,Si
CLI-00432,42.0,5248628.35,Bogotá,172810.21,Si
CLI-00433,59.0,4297798.69,Tunja,69665.24,No
CLI-00434,48.0,3440159.13,Medellín,2432647.24,Si
CLI-00435,71.0,4900009.15,Bogotá,418983.7,No
CLI-00436,20.0,3139487.76,Medellín,2176.41,No
CLI-00437,57.0,4769746.62,Bogotá,304042.03,Si
CLI-00438,63.0,5231120.89,Bogotá,499420.76,No
CLI-00439,41.0,4175321.67,Bogotá,5650794.19,Si
CLI-00440,67.0,3554570.33,tunja,889649.82,SI
CLI-00441,49.0,1222054.73,Tunja,274864.1,1
CLI-00442,64.0,6215755.09,Cali,489234.13,Si
CLI-00443,39.0,5104950.59,Bogotá,481124.29,1
CLI-00444,40.0,5141425.92,tunja,23907.48,No
CLI-00445,19.0,2157971.5,Cali,174284.9,1
CLI-00446,44.0,6569758.05,Bogotá,1425705.41,No
CLI-00447,59.0,3802174.7,Medellín,153742.35,Si
CLI-00448,19.0,4066807.05,Tunja,314782.59,TRUE
CLI-00449,43.0,2896069.72,TUNJA,518301.44,Si
CLI-00450,34.0,1819581.4,Bogotá,1701267.46,Si
CLI-00451,57.0,6236019.47,Bogotá,1047880.26,Si
CLI-00452,50.0,6429896.05,Medellín,1401554.78,Si
CLI-00453,26.0,4251707.77,Cali,1004455.22,No
CLI-00454,60.0,,Tunja,1380868.92,No
CLI-00455,71.0,3934433.75,Medellín,3415.44,1
CLI-00456,65.0,3975577.51,Bogotá,3206608.43,Si
CLI-00457,56.0,2700210.42,Bogotá,141081.98,0
CLI-00458,999.0,4061617.18,Medellín,625554.48,1
CLI-00459,59.0,4729652.99,Bogotá,1769041.01,Si
CLI-00460,,6027235.87,Bogotá,685605.58,Si
CLI-00461,43.0,4521366.25,Cali,3521396.46,SI
CLI-00462,52.0,2135472.44,Tunja,756407.32,No
CLI-00463,67.0,5030321.79,Medellín,2494748.28,No
CLI-00464,42.0,4116104.16,Tunja,1998119.07,No
