id_sensor,temperatura_c,vibracion_hz,presion_psi,velocidad_rpm,desgaste_porcentaje,falla_inminente
SNS-00042,74.06,41.95,144.87,2745.2,9.73,0
SNS-00043,70.61,36.27,96.74,2503.0,5.0,0
SNS-00044,68.39,29.78,132.41,2789.5,5.56,0
SNS-00045,54.26,35.26,110.95,2556.7,6.14,0
SNS-00046,63.36,26.64,124.74,2465.8,5.73,0
SNS-00047,66.47,45.51,125.3,2877.6,5.0,0
SNS-00048,84.69,33.45,115.78,2863.8,5.0,0
SNS-00049,76.12,48.51,105.89,3034.9,5.82,0
SNS-00050,50.84,21.66,107.57,2670.7,5.0,0
SNS-00051,75.89,49.96,103.51,2922.4,5.0,0
SNS-00052,67.38,57.5,105.03,2965.2,18.16,1
SNS-00053,63.88,15.09,118.79,2933.4,8.41,0
SNS-00054,79.34,50.61,107.12,2552.3,6.88,0
SNS-00055,84.37,63.42,132.28,2844.8,22.07,1
SNS-00056,83.18,26.86,146.77,2909.2,19.66,1
SNS-00057,61.93,70.09,109.56,2802.2,18.27,1
SNS-00058,68.29,51.29,124.31,2174.1,12.0,0
SNS-00059,75.98,34.42,128.99,2848.1,7.45,0
SNS-00060,83.71,44.16,128.5,3463.8,17.48,1
SNS-00061,66.25,53.37,121.37,2692.0,6.47,0
SNS-00062,69.77,46.14,133.37,2581.6,5.0,0
SNS-00063,58.72,53.08,128.68,2912.0,7.87,0
SNS-00064,57.65,31.19,97.72,2893.7,5.0,0
SNS-00065,81.75,47.54,135.64,3157.8,14.24,0
SNS-00066,88.27,23.79,135.97,2422.6,5.0,0
SNS-00067,71.14,43.33,106.26,3019.4,6.35,0
SNS-00068,84.04,31.44,120.68,2977.1,8.16,0
SNS-00069,76.34,33.97,132.3,2757.4,7.48,0
SNS-00070,64.26,63.54,116.23,2901.6,11.31,0
SNS-00071,76.34,61.37,139.31,3108.8,29.58,1
SNS-00072,90.46,54.14,162.55,3061.7,26.6,1
SNS-00073,71.57,28.62,105.85,2457.1,5.0,0
SNS-00074,90.78,40.25,95.14,3046.0,8.64,0
SNS-00075,40.56,63.2,125.47,2780.6,13.18,0
SNS-00076,81.86,47.13,132.99,2821.9,7.17,0
SNS-00077,73.04,79.79,115.84,2822.0,19.41,1
SNS-00078,68.41,50.9,146.16,2754.9,12.93,0
SNS-00079,73.1,47.88,95.91,3157.5,5.0,0
SNS-00080,48.15,40.36,132.47,2774.9,10.58,0
SNS-00081,69.36,47.0,109.09,2464.1,7.61,0
SNS-00082,76.29,42.71,150.95,2681.9,15.4,1
SNS-00083,89.73,55.62,155.87,2853.6,16.32,1
SNS-00084,65.78,59.35,106.2,3168.8,14.12,0
SNS-00085,62.3,33.21,110.11,2980.9,6.15,0
SNS-00086,65.98,25.03,135.47,2544.8,5.0,0
SNS-00087,82.98,17.46,113.03,3545.6,14.09,0
SNS-00088,75.95,52.62,119.18,2879.4,15.31,1
SNS-00089,65.64,28.45,120.46,3182.6,8.7,0
SNS-00090,78.16,12.71,85.45,2754.5,5.0,0
SNS-00091,73.16,50.83,119.75,2960.0,6.54,0
SNS-00092,83.62,82.39,107.58,3051.8,24.67,1
SNS-00093,63.58,44.91,111.12,3165.5,5.95,0
SNS-00094,68.07,57.58,145.99,3117.2,16.68,1
SNS-00095,67.29,46.23,97.38,3061.7,5.0,0
SNS-00096,54.44,43.52,134.64,2705.5,7.2,0
SNS-00097,75.55,58.79,114.98,2628.5,5.0,0
SNS-00098,75.13,40.65,114.96,2899.8,5.0,0
SNS-00099,72.06,49.01,134.23,3079.9,14.46,0
SNS-00100,69.18,49.83,126.12,2733.2,10.14,0
SNS-00101,55.02,34.98,130.27,3119.6,7.33,0
SNS-00102,66.95,59.88,137.43,3235.8,14.85,0
SNS-00103,67.89,42.38,114.04,2525.1,5.0,0
SNS-00104,62.37,33.66,108.98,2548.9,5.0,0
SNS-00105,70.06,53.05,100.47,2757.9,7.75,0
SNS-00106,76.85,31.52,105.14,2892.3,7.0,0
SNS-00107,94.63,45.42,173.08,2642.6,17.33,1
SNS-00108,74.09,44.86,142.4,3205.7,10.06,0
SNS-00109,75.09,61.29,95.68,2927.2,11.09,0
SNS-00110,71.11,52.12,96.2,2811.8,5.0,0
SNS-00111,48.97,44.62,128.67,2369.2,5.0,0
SNS-00112,71.68,57.27,129.85,2405.3,15.84,1
SNS-00113,72.72,65.85,129.88,2884.3,19.95,1
SNS-00114,101.56,53.37,115.41,2160.2,17.02,1
SNS-00115,69.69,45.16,117.74,3103.8,5.0,0
SNS-00116,75.62,25.32,125.9,2752.6,6.66,0
SNS-00117,71.58,29.02,121.55,3772.9,23.83,1
SNS-00118,57.98,40.42,80.05,3492.4,6.43,0
SNS-00119,85.71,35.86,115.86,2745.6,11.29,0
SNS-00120,81.02,42.2,104.67,2768.1,9.34,0
SNS-00121,81.49,45.85,123.15,3098.7,17.2,1
SNS-00122,61.09,52.95,173.73,3311.0,22.92,1
SNS-00123,88.83,43.94,126.61,2308.6,12.13,0
SNS-00124,55.18,52.3,114.36,2264.1,11.75,0
SNS-00125,79.04,45.97,136.59,2613.4,11.04,0
SNS-00126,98.29,15.37,128.69,2974.8,13.85,0
SNS-00127,60.11,30.91,127.56,2949.1,5.0,0
SNS-00128,65.2,42.84,130.92,3120.9,10.78,0
SNS-00129,73.2,26.85,157.02,2440.1,5.02,0
SNS-00130,65.96,54.0,99.64,2105.2,5.79,0
SNS-00131,53.39,67.96,128.53,3057.4,22.97,1
SNS-00132,72.82,63.28,103.33,2551.5,5.0,0
SNS-00133,59.25,41.8,130.0,2194.5,11.92,0
SNS-00134,77.68,67.36,103.46,2843.5,18.36,1
SNS-00135,60.97,47.23,112.49,3038.0,5.54,0
SNS-00136,90.6,39.94,114.69,2763.4,10.27,0
SNS-00137,62.6,35.8,137.56,2662.6,6.21,0
SNS-00138,68.14,40.46,136.53,2752.2,11.63,0
SNS-00139,81.76,39.18,97.58,2688.8,6.47,0
SNS-00140,57.23,47.56,120.99,2395.6,5.0,0
SNS-00141,74.73,47.41,107.23,2585.6,6.72,0
SNS-00142,87.69,45.05,97.35,2956.4,6.61,0
SNS-00143,52.71,51.55,116.09,2896.5,8.26,0
SNS-00144,74.22,62.86,114.45,2850.4,10.49,0
SNS-00145,75.12,59.24,163.68,2501.5,23.65,1
SNS-00146,81.38,22.73,127.79,2745.5,11.12,0
SNS-00147,57.16,10.0,95.2,2146.9,5.0,0
SNS-00148,56.15,59.01,109.83,2853.5,5.0,0
SNS-00149,78.26,24.5,138.38,3228.7,11.63,0
SNS-00150,75.56,41.63,157.59,2357.8,12.65,0
SNS-00151,75.01,27.45,91.45,2624.2,5.0,0
SNS-00152,76.16,17.97,86.16,2898.7,6.36,0
SNS-00153,63.84,53.12,153.68,3175.9,19.73,1
SNS-00154,74.79,56.39,127.01,2665.5,14.38,0
SNS-00155,75.52,36.35,104.37,2592.3,5.0,0
SNS-00156,63.43,10.0,129.62,2209.3,5.0,0
SNS-00157,94.39,36.81,72.56,2831.0,5.0,0
SNS-00158,77.69,50.88,120.06,3412.6,20.1,1
SNS-00159,57.7,22.82,125.9,2883.2,5.61,0
SNS-00160,79.88,47.75,136.64,2793.3,12.61,0
SNS-00161,60.3,44.77,101.75,2896.6,5.0,0
SNS-00162,81.45,53.69,121.54,2796.7,7.3,0
SNS-00163,85.9,46.79,103.34,2556.1,5.71,0
SNS-00164,62.15,30.4,124.6,3047.0,7.79,0
SNS-00165,83.56,62.95,103.88,2867.7,11.1,0
SNS-00166,76.95,42.62,112.65,2805.3,5.0,0
SNS-00167,81.86,44.59,102.08,2507.4,5.0,0
SNS-00168,94.76,31.0,131.72,3191.1,19.5,1
SNS-00169,69.06,38.35,135.45,2999.4,7.75,0
SNS-00170,62.96,31.73,115.78,2634.1,7.7,0
SNS-00171,61.33,42.41,120.69,3100.5,13.3,0
SNS-00172,62.21,70.68,93.93,2650.7,12.29,0
SNS-00173,71.07,24.42,114.61,2565.4,5.0,0
SNS-00174,76.09,20.8,119.1,2572.1,5.0,0
SNS-00175,75.32,67.07,167.17,2268.7,17.62,1
SNS-00176,81.93,41.86,99.98,2941.5,5.0,0
SNS-00177,72.16,34.96,146.36,2250.7,13.34,0
SNS-00178,89.44,60.6,137.94,2431.5,17.97,1
SNS-00179,68.82,35.92,125.05,2177.3,6.83,0
SNS-00180,104.64,72.39,151.66,2774.2,25.07,1
SNS-00181,79.51,55.17,126.7,2754.9,7.43,0
SNS-00182,61.71,37.68,127.0,2702.0,8.05,0
SNS-00183,59.15,77.36,119.04,2487.2,21.81,1
SNS-00184,77.79,35.91,142.02,2448.3,7.68,0
SNS-00185,69.32,56.13,139.74,2939.3,15.76,1
SNS-00186,80.57,49.49,108.74,2634.8,12.37,0
SNS-00187,77.68,64.53,96.25,2894.9,11.32,0
SNS-00188,71.13,68.42,116.35,2534.4,15.14,0
SNS-00189,61.84,45.48,105.6,2854.3,5.0,0
SNS-00190,53.82,33.7,118.86,3191.0,16.28,1
SNS-00191,66.64,51.9,142.27,2975.8,5.31,0
SNS-00192,82.28,34.83,111.77,2676.3,7.14,0
SNS-00193,74.57,75.2,119.23,2877.2,21.31,1
SNS-00194,57.05,47.05,121.04,2727.8,8.03,0
SNS-00195,74.08,39.52,135.27,2802.4,5.62,0
SNS-00196,76.62,47.77,79.56,2702.3,5.0,0
SNS-00197,61.39,24.79,109.08,2750.7,5.0,0
SNS-00198,73.84,30.43,123.8,2863.6,16.75,1
SNS-00199,72.7,63.01,141.6,2502.0,18.59,1
SNS-00200,58.28,35.15,111.15,2495.2,5.0,0
SNS-00201,76.29,29.3,86.22,2383.4,5.0,0
SNS-00202,78.73,53.05,131.15,2319.9,9.41,0
SNS-00203,85.0,62.79,108.56,2434.8,6.77,0
SNS-00204,84.65,55.78,98.59,2847.8,8.2,0
SNS-00205,55.47,59.94,108.76,2532.2,11.16,0
SNS-00206,60.75,33.65,116.68,2954.1,5.0,0
SNS-00207,78.18,23.67,109.11,2810.4,7.97,0
SNS-00208,78.17,67.52,80.3,2209.4,12.51,0
SNS-00209,78.18,40.16,136.15,2996.5,7.8,0
SNS-00210,118.23,41.24,142.95,3043.2,26.86,1
SNS-00211,78.85,64.92,131.73,2501.8,21.89,1
SNS-00212,85.63,53.34,99.52,2926.1,11.95,0
SNS-00213,83.45,51.84,116.37,2543.1,9.07,0
SNS-00214,79.82,77.48,119.88,2829.3,23.23,1
SNS-00215,68.22,35.35,130.78,2420.7,5.51,0
SNS-00216,81.11,58.92,132.03,2262.1,12.5,0
SNS-00217,62.73,45.86,106.78,2685.2,5.0,0
SNS-00218,69.16,49.03,121.48,2762.9,14.38,0
SNS-00219,66.18,67.93,128.23,2680.7,16.8,1
SNS-00220,72.98,52.62,146.2,2444.8,13.29,0
SNS-00221,99.78,53.07,132.68,2680.0,17.19,1
SNS-00222,49.59,61.09,134.2,2880.8,12.28,0
SNS-00223,80.24,39.53,121.51,2786.5,6.17,0
SNS-00224,52.65,32.41,145.39,2854.8,5.0,0
SNS-00225,66.34,29.33,127.38,2599.0,12.38,0
SNS-00226,85.07,15.5,104.5,3151.5,5.42,0
SNS-00227,72.77,75.84,145.26,2447.1,20.83,1
SNS-00228,59.07,28.45,132.56,2946.3,5.36,0
SNS-00229,63.42,41.68,112.03,3154.6,11.75,0
SNS-00230,80.16,40.85,111.37,2944.3,6.7,0
SNS-00231,63.24,49.61,125.34,2739.2,5.0,0
SNS-00232,74.6,57.24,128.34,2641.5,15.84,1
SNS-00233,72.55,57.91,123.55,3110.8,16.84,1
SNS-00234,64.18,36.25,125.6,2373.1,6.29,0
SNS-00235,97.73,42.49,150.6,2509.0,18.46,1
SNS-00236,79.61,49.24,139.29,2680.7,19.48,1
SNS-00237,47.7,41.27,123.43,3171.3,17.44,1
SNS-00238,74.24,69.11,136.94,2913.9,18.1,1
SNS-00239,64.06,52.36,101.41,2509.6,9.98,0
SNS-00240,82.23,56.02,127.16,2706.9,13.73,0
SNS-00241,62.49,54.94,152.57,2615.7,14.77,0
SNS-00242,70.62,62.6,116.08,2587.1,5.63,0
SNS-00243,78.06,47.72,104.74,3093.7,7.78,0
SNS-00244,82.39,25.55,108.26,2388.5,5.0,0
SNS-00245,57.6,51.0,100.39,3282.6,12.64,0
SNS-00246,67.99,35.23,105.87,3048.5,8.18,0
SNS-00247,66.3,37.07,113.33,3127.3,5.0,0
SNS-00248,64.16,53.8,94.7,2661.1,5.0,0
SNS-00249,93.19,63.57,120.28,2755.0,22.14,1
SNS-00250,76.86,45.32,136.24,2370.1,8.25,0
SNS-00251,56.87,49.63,103.66,2642.6,6.44,0
SNS-00252,83.01,70.53,147.35,2948.1,26.13,1
SNS-00253,97.47,48.61,129.19,3188.8,20.11,1
SNS-00254,84.39,84.03,138.55,2467.9,31.17,1
SNS-00255,53.77,53.48,108.16,2690.3,5.0,0
SNS-00256,66.19,18.59,135.38,2754.6,5.0,0
SNS-00257,87.2,56.3,100.35,2381.3,11.91,0
SNS-00258,63.51,50.72,136.02,2977.4,11.25,0
SNS-00259,77.33,64.35,123.09,2582.8,13.99,0
SNS-00260,81.3,55.1,129.96,2741.4,10.9,0
SNS-00261,60.88,42.92,98.84,2664.4,5.0,0
SNS-00262,71.29,26.64,103.89,2563.2,5.01,0
SNS-00263,40.0,41.86,130.75,2797.9,7.45,0
SNS-00264,59.71,32.24,102.93,2735.3,5.0,0
SNS-00265,68.97,36.29,128.34,2688.4,7.93,0
SNS-00266,57.03,53.83,95.39,2581.5,5.0,0
SNS-00267,91.59,70.05,135.27,2895.9,24.79,1
SNS-00268,54.84,50.92,97.81,3296.1,15.27,0
SNS-00269,66.72,27.06,129.94,2842.0,5.88,0
SNS-00270,73.57,51.67,131.26,3098.8,13.96,0
SNS-00271,89.3,62.95,107.46,2382.9,10.11,0
SNS-00272,54.77,35.85,130.48,2847.3,5.42,0
SNS-00273,85.96,42.99,124.69,2470.8,10.56,0
SNS-00274,72.12,45.22,110.3,2356.9,5.0,0
SNS-00275,60.22,33.23,101.85,2578.2,5.0,0
SNS-00276,77.55,54.72,84.67,3157.6,8.81,0
SNS-00277,74.39,43.19,126.29,3085.0,9.94,0
SNS-00278,64.8,51.29,91.83,2872.9,7.54,0
SNS-00279,72.84,31.69,121.72,2340.2,5.53,0
SNS-00280,67.38,38.44,115.26,2741.1,8.88,0
SNS-00281,73.36,55.84,132.22,2890.5,9.11,0
SNS-00282,79.95,39.41,114.56,2852.7,6.6,0
SNS-00283,91.03,70.9,114.07,2246.9,21.25,1
SNS-00284,57.15,39.01,133.17,2532.9,5.0,0
SNS-00285,97.6,48.37,126.03,2780.8,17.81,1
SNS-00286,48.57,58.99,125.69,2960.9,21.49,1
SNS-00287,70.18,23.72,128.45,2141.2,6.33,0
SNS-00288,79.06,18.59,92.36,2751.4,5.0,0
SNS-00289,75.37,22.12,133.62,2842.9,8.19,0
SNS-00290,64.53,63.94,131.02,3054.9,14.55,0
SNS-00291,69.5,36.72,101.7,3007.9,5.0,0
SNS-00292,66.08,83.37,115.61,2974.8,25.1,1
SNS-00293,64.93,36.54,119.29,2560.0,5.0,0
SNS-00294,82.2,47.77,117.58,2227.6,14.33,0
SNS-00295,76.28,68.13,126.01,2682.1,16.79,1
SNS-00296,63.69,75.09,145.76,3100.5,25.59,1
SNS-00297,82.8,75.92,139.47,3218.0,33.66,1
SNS-00298,75.69,63.13,96.38,3013.2,8.17,0
SNS-00299,81.75,60.36,131.2,2928.8,13.57,0
SNS-00300,79.56,53.89,143.92,2913.9,15.02,0
SNS-00301,62.05,56.68,126.96,2633.2,13.54,0
SNS-00302,65.28,36.73,139.64,2761.0,8.88,0
SNS-00303,80.97,32.73,156.22,3300.7,17.97,1
SNS-00304,79.32,44.95,138.43,2517.2,9.7,0
SNS-00305,71.75,42.45,124.49,3284.4,13.16,0
SNS-00306,73.41,38.2,138.81,2703.4,8.38,0
SNS-00307,87.33,55.45,122.61,3197.6,13.57,0
SNS-00308,64.9,59.33,120.43,2378.0,10.38,0
SNS-00309,78.57,46.33,113.67,2975.8,5.0,0
SNS-00310,69.57,67.16,148.14,2579.0,19.07,1
SNS-00311,69.39,27.87,105.27,2375.4,5.0,0
SNS-00312,85.19,42.1,147.58,2865.6,21.7,1
SNS-00313,81.9,34.25,129.0,3102.8,10.39,0
SNS-00314,81.76,17.0,94.81,2546.5,5.0,0
SNS-00315,87.67,43.76,126.62,2350.3,9.09,0
SNS-00316,72.25,43.17,82.2,2772.4,5.0,0
SNS-00317,80.18,67.7,131.26,2773.8,24.7,1
SNS-00318,68.28,54.46,135.93,2964.5,10.61,0
SNS-00319,75.89,29.64,109.34,3084.9,5.0,0
SNS-00320,70.44,72.81,122.22,2782.2,22.2,1
SNS-00321,73.16,63.32,155.17,3356.7,20.53,1
SNS-00322,79.14,53.73,110.9,2867.3,7.79,0
SNS-00323,62.18,41.6,100.94,2696.1,5.0,0
SNS-00324,97.11,30.61,146.67,2316.5,13.98,0
SNS-00325,59.93,39.42,155.33,2721.2,11.91,0
SNS-00326,57.43,61.33,120.07,2699.1,8.9,0
SNS-00327,85.9,73.27,138.21,3088.1,26.56,1
SNS-00328,81.5,68.15,144.15,2938.7,22.45,1
SNS-00329,79.49,37.67,106.64,2446.2,5.0,0
SNS-00330,79.54,28.21,111.26,2851.7,5.2,0
SNS-00331,71.85,47.11,142.16,3001.5,13.41,0
SNS-00332,61.23,18.47,150.33,3258.4,17.33,1
SNS-00333,72.91,49.85,130.13,3066.3,13.09,0
SNS-00334,63.87,42.79,104.16,3028.3,6.39,0
SNS-00335,83.7,38.01,155.77,2818.0,7.16,0
SNS-00336,70.24,21.08,110.44,2916.5,5.0,0
SNS-00337,62.09,52.7,113.97,3174.9,12.47,0
SNS-00338,68.14,37.01,126.16,2400.2,7.3,0
SNS-00339,76.96,27.45,147.97,2695.2,6.64,0
SNS-00340,65.24,10.0,135.37,2568.2,6.38,0
SNS-00341,62.13,44.59,127.47,2913.7,5.55,0
SNS-00342,74.92,71.58,128.34,3169.1,25.55,1
SNS-00343,74.94,69.92,120.78,2620.9,20.75,1
SNS-00344,65.92,38.14,130.05,2082.9,5.53,0
SNS-00345,66.35,35.97,74.47,2676.3,5.0,0
SNS-00346,74.78,52.03,114.66,3074.0,10.9,0
SNS-00347,54.62,30.02,124.34,2961.3,5.49,0
SNS-00348,55.11,49.53,99.28,2928.5,5.0,0
SNS-00349,63.38,56.49,126.95,2716.0,12.79,0
SNS-00350,69.44,63.4,116.32,2416.3,13.03,0
SNS-00351,75.73,43.5,151.6,2954.6,20.47,1
SNS-00352,89.7,41.94,148.31,2549.7,9.84,0
SNS-00353,82.29,31.83,111.62,3455.2,15.19,0
SNS-00354,70.08,32.6,117.28,2971.2,5.0,0
SNS-00355,71.77,41.6,118.67,2625.8,5.0,0
SNS-00356,59.97,50.51,111.87,2616.6,5.24,0
SNS-00357,71.78,58.7,123.51,2772.1,12.03,0
SNS-00358,68.54,32.95,106.35,2728.1,12.12,0
SNS-00359,75.87,67.39,99.65,3135.1,15.78,1
SNS-00360,62.07,40.93,131.21,2855.9,5.0,0
SNS-00361,78.23,44.68,131.33,2580.5,9.11,0
SNS-00362,90.39,33.79,105.52,3367.1,5.82,0
SNS-00363,70.69,10.0,136.12,2814.8,9.86,0
SNS-00364,76.82,58.26,108.63,3030.7,11.97,0
SNS-00365,80.28,56.05,124.56,2617.5,14.09,0
SNS-00366,67.19,40.78,134.77,2908.9,11.48,0
SNS-00367,74.69,46.0,119.39,2893.3,5.82,0
SNS-00368,72.15,52.74,128.19,2233.1,9.29,0
SNS-00369,73.17,21.56,110.7,3404.6,8.54,0
SNS-00370,62.72,37.06,116.46,3187.2,5.0,0
SNS-00371,72.29,56.91,116.29,2680.8,10.41,0
SNS-00372,77.98,26.19,106.56,2469.3,5.0,0
SNS-00373,89.41,49.4,116.82,2904.3,10.04,0
SNS-00374,83.51,24.65,92.12,2826.0,5.0,0
SNS-00375,97.84,52.0,111.16,2906.7,16.28,1
SNS-00376,62.79,44.47,114.87,2857.5,11.53,0
SNS-00377,82.47,20.77,115.39,2951.9,5.0,0
SNS-00378,74.2,62.47,115.65,3234.2,10.7,0
SNS-00379,98.28,33.98,118.89,2970.4,12.06,0
SNS-00380,62.3,32.85,128.63,2485.1,5.0,0
SNS-00381,61.92,48.01,135.74,3208.8,13.76,0
SNS-00382,64.81,62.23,108.3,3292.2,14.38,0
SNS-00383,46.51,29.76,98.34,3745.6,15.47,1
SNS-00384,65.69,45.93,101.24,2463.0,5.0,0
SNS-00385,62.89,51.43,111.23,2872.9,10.43,0
SNS-00386,73.8,55.4,113.67,2175.4,5.0,0
SNS-00387,76.1,47.65,106.14,2965.9,5.59,0
SNS-00388,94.51,39.49,96.67,2635.5,7.11,0
SNS-00389,83.41,32.59,111.79,3377.0,9.04,0
SNS-00390,65.08,46.29,123.27,2567.6,11.85,0
SNS-00391,61.22,28.92,130.71,2293.2,5.0,0
SNS-00392,77.9,10.0,109.97,2658.6,6.4,0
SNS-00393,56.16,51.55,112.57,2207.4,8.48,0
SNS-00394,93.98,58.56,103.32,3025.3,13.49,0
SNS-00395,86.15,10.0,119.43,2180.5,5.0,0
SNS-00396,66.37,29.85,104.73,2808.5,5.0,0
SNS-00397,51.44,54.29,130.32,2176.7,14.28,0
SNS-00398,88.25,75.86,87.85,2703.9,18.23,1
SNS-00399,70.63,45.31,113.53,3293.0,7.8,0
SNS-00400,86.85,34.08,125.42,2908.2,12.46,0
SNS-00401,52.87,42.26,123.31,2541.0,5.0,0
SNS-00402,64.81,65.62,168.47,2790.6,19.6,1
SNS-00403,72.06,35.31,126.3,2805.4,6.35,0
SNS-00404,72.56,33.01,101.93,2941.8,5.8,0
SNS-00405,66.6,37.76,118.28,2389.9,11.9,0
SNS-00406,79.47,30.7,88.03,2977.8,5.28,0
SNS-00407,59.19,46.84,118.55,1988.7,11.73,0
SNS-00408,70.29,69.37,105.0,2611.0,12.03,0
SNS-00409,73.44,49.85,136.48,2653.5,6.17,0
SNS-00410,78.17,41.21,110.11,2990.0,6.79,0
SNS-00411,80.54,40.62,117.9,2806.8,7.01,0
SNS-00412,58.5,21.55,108.56,2378.3,5.0,0
SNS-00413,53.59,58.25,151.3,2504.5,13.67,0
SNS-00414,87.33,43.83,114.22,2859.6,10.09,0
SNS-00415,75.99,42.29,152.99,2776.3,12.46,0
SNS-00416,63.02,92.9,134.65,2626.3,38.82,1
SNS-00417,90.61,49.48,128.68,2655.7,13.28,0
SNS-00418,73.39,33.72,126.64,3008.9,5.82,0
SNS-00419,86.15,38.6,127.09,2644.7,6.49,0
SNS-00420,72.81,62.23,85.3,2773.6,5.0,0
SNS-00421,96.73,46.7,114.98,3451.0,26.51,1
SNS-00422,93.06,23.43,135.21,2372.9,11.3,0
SNS-00423,69.01,58.79,119.12,2244.4,9.77,0
SNS-00424,83.66,34.98,94.71,3035.1,5.0,0
SNS-00425,79.74,73.1,119.06,2596.4,30.04,1
SNS-00426,88.42,61.2,150.67,2704.5,16.09,1
SNS-00427,60.42,38.29,142.44,2565.7,5.46,0
SNS-00428,80.23,64.22,118.88,2722.1,16.19,1
SNS-00429,84.7,46.02,137.13,3279.6,18.85,1
SNS-00430,50.9,57.79,113.4,3040.6,14.88,0
SNS-00431,57.8,52.27,89.33,3058.7,11.84,0
SNS-00432,47.53,32.3,103.36,2375.1,5.0,0
SNS-00433,68.77,35.35,148.13,2454.7,5.0,0
SNS-00434,80.61,60.45,115.07,1948.3,13.95,0
SNS-00435,90.03,39.98,115.62,2557.2,8.76,0
SNS-00436,72.89,38.95,114.6,3087.0,14.35,0
SNS-00437,91.54,30.67,154.27,2955.1,10.3,0
SNS-00438,55.44,51.35,149.27,2733.5,15.9,1
SNS-00439,51.56,75.94,159.94,2793.3,27.72,1
SNS-00440,71.33,28.99,117.14,2593.3,6.24,0
SNS-00441,76.61,45.36,125.32,2861.4,8.02,0
SNS-00442,71.61,66.18,92.7,3029.8,9.91,0
SNS-00443,47.19,43.81,146.58,2315.2,12.3,0
SNS-00444,70.93,51.79,98.98,2889.9,8.05,0
SNS-00445,56.35,29.06,123.9,3079.7,10.42,0
SNS-00446,80.04,51.42,100.25,2675.5,5.98,0
SNS-00447,76.4,42.19,109.4,3010.2,5.0,0
SNS-00448,60.72,59.79,104.93,3644.4,15.48,1
SNS-00449,65.83,62.81,109.06,2768.7,13.73,0
SNS-00450,59.29,83.84,110.3,2918.0,27.97,1
SNS-00451,71.25,53.69,110.13,2578.6,5.0,0
SNS-00452,83.46,49.89,135.0,2854.4,10.54,0
SNS-00453,60.17,47.92,100.11,2938.1,5.0,0
SNS-00454,78.05,39.7,123.97,2858.5,5.0,0
SNS-00455,65.64,50.08,141.92,2494.1,6.81,0
SNS-00456,62.49,40.57,110.76,2861.9,5.0,0
SNS-00457,70.72,47.53,107.08,3238.7,8.11,0
SNS-00458,59.58,64.76,115.85,2934.6,11.35,0
SNS-00459,65.36,29.9,141.24,3088.6,5.0,0
SNS-00460,57.63,62.1,123.49,2728.9,19.4,1
SNS-00461,95.58,64.76,110.44,3025.0,24.7,1
SNS-00462,72.42,43.23,128.71,2883.8,5.22,0
SNS-00463,63.6,13.17,100.16,2514.7,5.0,0
