id_cliente,edad,ingresos_mensuales,gastos_mensuales,score_digital,llamadas_soporte,antiguedad_meses,segmento
CLI-00102,18,1400000.0,718172.7,53,4,102,1
CLI-00103,42,1405032.41,1122079.56,97,1,114,1
CLI-00104,24,4840575.13,1494934.3,74,2,50,1
CLI-00105,26,6500039.66,4746291.23,60,3,89,1
CLI-00106,41,7136884.2,2629303.48,52,1,26,1
CLI-00107,18,1999108.11,1476643.3,95,0,56,2
CLI-00108,61,6900589.27,4407762.12,32,4,78,1
CLI-00109,25,4960846.84,3789109.45,65,4,14,1
CLI-00110,41,3557054.06,1257891.27,28,4,78,2
CLI-00111,28,4073185.92,2474213.4,91,1,25,1
CLI-00112,68,7264086.13,4181195.88,85,3,100,1
CLI-00113,34,6102812.73,4201214.43,64,4,4,1
CLI-00114,25,5610674.35,3331953.97,69,3,111,1
CLI-00115,52,6035690.63,3605745.8,68,0,79,1
CLI-00116,52,7541815.11,4044507.78,42,1,32,2
CLI-00117,50,5286380.95,2483853.31,28,6,82,0
CLI-00118,22,5619501.55,3176397.39,37,2,78,2
CLI-00119,59,8003975.63,2922818.16,61,4,65,2
CLI-00120,56,4770509.43,3953952.48,58,4,106,1
CLI-00121,58,6859909.31,4753408.97,46,3,61,1
CLI-00122,45,4391850.14,3618256.1,35,1,20,1
CLI-00123,24,4585091.85,1947288.79,49,2,74,1
CLI-00124,26,5271090.54,4130624.54,89,3,10,1
CLI-00125,25,6633600.28,4940934.29,47,5,88,2
CLI-00126,29,8127200.32,5465004.41,86,0,34,2
CLI-00127,51,5712399.58,3677448.93,96,0,61,1
CLI-00128,50,2200358.8,1043195.2,63,3,92,1
CLI-00129,65,6889181.85,5160175.85,31,4,27,1
CLI-00130,40,10898452.78,6275694.25,25,3,40,2
CLI-00131,41,5739071.43,1945489.93,37,3,65,1
CLI-00132,54,1740711.19,821745.78,44,4,33,2
CLI-00133,52,5873236.36,4783242.42,69,4,68,1
CLI-00134,61,5493372.27,4218218.53,54,5,71,1
CLI-00135,57,5308360.54,4459278.37,55,2,9,1
CLI-00136,39,7579901.78,4892041.02,81,2,16,2
CLI-00137,44,8532204.53,3721154.97,64,4,5,1
CLI-00138,52,7003888.64,2728352.75,95,1,98,1
CLI-00139,18,5207272.21,2097504.57,94,3,23,1
CLI-00140,52,7976493.33,2479792.96,35,1,43,2
CLI-00141,54,2213574.79,1139714.68,94,4,114,2
CLI-00142,64,3924676.53,1590613.41,34,4,89,1
CLI-00143,31,4169818.89,2195036.46,74,3,57,1
CLI-00144,20,5431908.57,4422914.92,15,5,51,0
CLI-00145,18,6614816.26,3550814.29,32,2,13,1
CLI-00146,22,5058431.51,3960202.9,73,3,24,1
CLI-00147,43,3506721.25,2219851.41,96,1,11,1
CLI-00148,31,7644670.63,3332482.82,52,2,52,2
CLI-00149,56,4981995.21,2469675.25,32,4,115,1
CLI-00150,44,5724683.63,1981632.13,39,3,17,1
CLI-00151,26,6712349.04,3244779.24,86,2,37,2
CLI-00152,32,5585530.74,3757093.4,27,2,13,1
CLI-00153,32,5595197.73,1900471.02,96,5,62,2
CLI-00154,43,7767041.52,3207561.15,88,3,91,2
CLI-00155,59,5833012.84,2973626.62,30,6,84,1
CLI-00156,30,7398153.37,6215390.21,66,1,97,1
CLI-00157,68,6698268.38,4900948.84,32,1,106,2
CLI-00158,49,9937152.6,6989969.13,54,2,96,2
CLI-00159,56,6400709.52,2329250.36,53,1,8,1
CLI-00160,66,6903541.19,5036462.88,91,1,56,2
CLI-00161,69,7923644.77,5799298.54,97,4,93,2
CLI-00162,49,5639959.07,3556594.75,56,3,104,1
CLI-00163,21,4096723.19,3460497.9,49,4,83,1
CLI-00164,47,4456879.72,2134353.56,60,3,70,1
CLI-00165,54,4478084.76,3661729.22,51,2,44,1
CLI-00166,40,3409271.87,2737993.44,16,0,60,1
CLI-00167,56,6199171.37,1898895.23,59,5,103,1
CLI-00168,62,4115063.59,2253261.05,57,2,112,1
CLI-00169,32,5928676.21,4964716.9,93,2,41,1
CLI-00170,60,5150916.22,1837418.09,15,3,21,1
CLI-00171,46,5408432.71,3251990.98,18,1,86,1
CLI-00172,53,6723324.63,5637014.4,66,2,42,1
CLI-00173,30,4307821.93,2608483.03,40,1,74,1
CLI-00174,49,6905560.3,2792597.65,30,2,74,1
CLI-00175,24,8948077.31,5549604.5,99,4,116,2
CLI-00176,68,6254839.98,2579760.69,49,2,29,1
CLI-00177,39,3779389.49,2214107.5,54,1,80,1
CLI-00178,45,4146960.38,1412965.69,86,2,65,2
CLI-00179,19,4953821.62,3135845.71,58,6,17,1
CLI-00180,59,4191241.35,2448667.65,96,4,30,1
CLI-00181,62,3319403.32,2347112.75,29,3,26,0
CLI-00182,23,5839696.01,3777613.27,26,3,53,2
CLI-00183,45,5013365.87,3019467.28,37,1,110,1
CLI-00184,45,5917385.94,4020144.0,50,2,19,1
CLI-00185,61,8110052.31,3075072.74,75,1,53,2
CLI-00186,61,4980023.77,3124705.03,34,1,85,1
CLI-00187,37,2892075.99,1141389.12,67,3,17,1
CLI-00188,47,4622436.52,3739723.17,50,3,46,1
CLI-00189,28,7194935.48,2428893.36,15,3,104,1
CLI-00190,45,6988894.6,3750982.45,84,1,85,1
CLI-00191,42,6641007.22,4533740.01,47,3,53,1
CLI-00192,56,4125645.21,2276993.99,15,2,105,1
CLI-00193,50,7154185.76,2508632.33,54,3,104,1
CLI-00194,18,7649177.97,4622845.41,84,3,64,2
CLI-00195,44,3970072.41,2592050.55,23,2,45,1
CLI-00196,69,5408545.79,3716134.85,75,3,49,1
CLI-00197,30,9944884.32,5025079.42,49,4,19,2
CLI-00198,58,3872276.59,2362139.0,12,3,71,1
CLI-00199,20,1748809.33,958133.39,33,1,81,0
CLI-00200,56,8542389.76,5720247.47,28,5,65,2
CLI-00201,23,8000530.5,4967980.07,27,2,37,2
CLI-00202,25,4494671.89,2648107.5,73,1,70,1
CLI-00203,44,5251418.08,2296121.65,97,0,26,1
CLI-00204,26,2805142.89,844657.09,44,1,2,2
CLI-00205,54,5695695.0,2254042.37,71,4,59,1
CLI-00206,50,8065010.17,2938779.4,10,2,96,2
CLI-00207,68,4306269.35,2355514.74,34,2,112,1
CLI-00208,59,7429624.35,4730753.74,54,4,118,1
CLI-00209,61,6520192.49,2720203.15,58,0,5,1
CLI-00210,41,6771197.16,5528556.56,98,1,37,1
CLI-00211,32,4434519.8,1346653.56,25,2,31,1
CLI-00212,49,4719826.8,3420767.91,28,2,76,2
CLI-00213,49,1437100.64,925295.39,32,2,99,2
CLI-00214,41,4253327.29,2149866.14,92,3,94,2
CLI-00215,58,8059668.01,2641708.67,34,1,48,2
CLI-00216,69,3455469.17,2229184.03,25,1,6,0
CLI-00217,66,3783336.36,1937399.0,63,4,15,1
CLI-00218,66,6908417.61,5629993.7,82,1,15,1
CLI-00219,69,6386090.24,3819485.71,10,2,61,1
CLI-00220,29,7017699.15,5732115.13,51,1,16,1
CLI-00221,56,2940914.81,1238907.51,28,3,20,0
CLI-00222,19,11140927.49,7789171.11,43,2,77,2
CLI-00223,20,2825342.58,1806769.74,89,3,44,2
CLI-00224,66,5839344.09,4126515.72,64,2,42,1
CLI-00225,54,5150957.91,2153447.2,27,0,46,1
CLI-00226,66,2889388.66,1923601.79,43,4,95,2
CLI-00227,34,4685539.27,2689135.08,98,3,34,1
CLI-00228,66,5551276.72,3933377.86,54,0,64,1
CLI-00229,19,4070058.93,1953117.71,15,1,29,1
CLI-00230,19,7561891.97,5970350.88,30,4,3,2
CLI-00231,45,5144423.36,1781851.92,79,2,9,1
CLI-00232,40,2549195.72,1896484.67,57,3,75,1
CLI-00233,54,2362523.83,1827945.63,48,1,75,0
CLI-00234,49,6833563.2,5121678.89,40,3,25,1
CLI-00235,50,2229104.28,1297337.61,19,3,86,2
CLI-00236,18,6196137.36,3352802.66,39,7,42,0
CLI-00237,36,6478241.41,5493187.6,27,4,46,1
CLI-00238,19,3310218.2,1410300.5,69,2,73,0
CLI-00239,61,7459623.78,4481606.06,97,1,84,1
CLI-00240,43,1720854.03,1151030.28,82,1,59,2
CLI-00241,49,6152209.65,4217199.44,24,4,21,1
CLI-00242,23,5410112.55,2230121.79,13,1,74,1
CLI-00243,49,5238204.45,3455626.46,72,4,22,1
CLI-00244,21,2908627.39,2181770.89,49,2,29,0
CLI-00245,28,3438551.59,1126160.78,18,3,63,1
CLI-00246,34,9061364.46,7261204.0,18,3,73,2
CLI-00247,55,8173341.02,2584632.99,35,2,61,2
CLI-00248,41,7132586.09,3536222.55,13,4,64,1
CLI-00249,22,7567665.83,2336117.69,90,5,69,2
CLI-00250,69,7361229.8,2520704.76,25,5,40,1
CLI-00251,51,4788616.33,3836364.33,24,1,75,1
CLI-00252,23,5604727.81,2775312.44,61,3,1,1
CLI-00253,39,2260481.57,1206247.99,78,3,117,2
CLI-00254,28,5302669.62,2218845.95,14,3,106,1
CLI-00255,65,8103511.35,5092268.2,29,3,65,2
CLI-00256,33,4046444.05,2537694.08,88,4,62,1
CLI-00257,50,7750910.65,3911963.78,27,3,54,2
CLI-00258,26,5701488.63,2754783.58,11,0,103,1
CLI-00259,23,2452181.9,1929205.97,22,2,60,0
CLI-00260,33,3063897.07,1565058.02,13,1,46,2
CLI-00261,46,7522466.31,4298529.42,51,0,5,1
CLI-00262,20,6715552.99,3061067.38,83,3,113,2
CLI-00263,37,5723880.96,4194020.53,70,2,22,1
CLI-00264,53,4897130.01,2539634.42,17,2,90,1
CLI-00265,36,5963249.55,3473509.83,76,4,53,1
CLI-00266,43,7436651.75,3267266.5,72,4,70,2
CLI-00267,20,8746877.22,7375478.62,18,1,32,2
CLI-00268,36,8852105.24,4074824.61,20,6,112,2
CLI-00269,37,6318311.78,4573878.92,51,0,11,1
CLI-00270,49,5121750.28,2740764.37,22,2,10,1
CLI-00271,24,5821745.62,2406823.59,45,3,111,1
CLI-00272,69,6648664.79,4918983.53,22,5,39,1
CLI-00273,58,6639747.28,3210209.81,21,1,119,1
CLI-00274,50,8377570.6,6499791.27,46,6,98,2
CLI-00275,57,10154662.59,8158169.12,83,2,31,2
CLI-00276,56,5048439.81,3901954.83,82,3,12,1
CLI-00277,35,10242946.8,3270105.35,61,1,115,2
CLI-00278,57,8078926.34,5922300.09,80,4,108,2
CLI-00279,18,5278189.42,2777577.02,11,4,80,2
CLI-00280,28,8796842.65,6866354.47,65,2,38,2
CLI-00281,45,9208426.26,5993533.01,69,3,67,2
CLI-00282,42,4487350.02,3403671.7,32,1,66,1
CLI-00283,67,9310873.56,5350842.4,49,3,52,2
CLI-00284,40,7865182.21,4673994.86,73,4,5,2
CLI-00285,48,10710830.08,4063830.29,94,2,11,2
CLI-00286,47,4567115.12,3339442.82,32,2,25,1
CLI-00287,59,4722461.16,2506041.48,38,5,35,1
CLI-00288,52,1400000.0,805061.69,87,5,35,2
CLI-00289,24,6756626.63,4944524.66,99,1,22,1
CLI-00290,33,6325552.76,3981081.32,60,1,37,1
CLI-00291,43,4261413.92,1749754.88,78,1,86,2
CLI-00292,65,5319928.39,3322976.03,98,4,55,1
CLI-00293,69,2615313.78,1370942.44,40,4,75,1
CLI-00294,66,8136578.9,4542156.06,59,3,96,2
CLI-00295,19,4422661.16,1395664.49,29,0,99,1
CLI-00296,18,12306907.83,5113718.86,64,2,95,2
CLI-00297,65,5113677.14,2324529.05,90,3,109,2
CLI-00298,29,3828838.55,2650046.38,11,1,117,1
CLI-00299,22,4592911.14,1406904.49,34,9,72,0
CLI-00300,54,2393685.85,1256272.15,22,1,64,2
CLI-00301,49,6560998.16,5302695.68,79,3,20,1
CLI-00302,26,4576220.66,1654460.91,76,3,106,1
CLI-00303,58,7988756.14,4665700.52,67,3,98,2
CLI-00304,52,4895555.51,3586421.84,91,3,4,1
CLI-00305,36,8545772.65,6993793.84,84,1,18,2
CLI-00306,65,7166402.65,5093356.94,93,2,51,1
CLI-00307,33,5562912.91,3873517.74,73,0,68,1
CLI-00308,20,8976511.69,6773392.51,78,1,20,2
CLI-00309,37,7595045.61,4142418.93,92,1,9,2
CLI-00310,41,11981668.22,8904949.47,95,4,80,2
CLI-00311,50,4599198.46,1399905.97,68,4,26,1
CLI-00312,41,5668555.43,4583075.7,69,4,102,1
CLI-00313,69,8951159.82,4867807.02,92,2,25,2
CLI-00314,28,2104216.81,1271702.58,71,0,68,0
CLI-00315,66,8397275.84,3696356.85,25,1,41,2
CLI-00316,25,6466466.07,4580792.56,97,6,59,2
CLI-00317,53,3545936.34,1213241.03,77,0,45,1
CLI-00318,55,2501312.75,1950898.11,24,3,41,0
CLI-00319,57,4020523.16,3037361.54,98,4,38,1
CLI-00320,37,1400000.0,586366.29,64,1,117,1
CLI-00321,52,4423013.22,3295712.85,44,2,19,1
CLI-00322,65,6869623.93,5031977.22,64,2,14,1
CLI-00323,42,4452138.59,2883735.33,23,1,21,2
CLI-00324,52,8554287.94,4323645.91,58,3,15,2
CLI-00325,42,9151884.73,4112164.34,92,3,3,2
CLI-00326,46,8306417.86,3550835.6,16,2,37,2
CLI-00327,35,6007410.0,2854931.07,39,3,117,1
CLI-00328,63,1400000.0,1115740.0,92,2,114,2
CLI-00329,35,3951865.52,1354313.9,58,0,46,1
CLI-00330,19,5187515.24,3921134.88,98,1,16,1
CLI-00331,52,3533491.17,1738087.35,25,3,14,1
CLI-00332,33,5193087.95,3047717.73,60,4,9,1
CLI-00333,58,9042148.43,6663765.89,81,3,111,2
CLI-00334,53,1879291.64,1477888.29,91,2,7,2
CLI-00335,50,9485722.52,4644492.24,89,3,14,2
CLI-00336,21,7446398.13,4125408.18,92,1,6,1
CLI-00337,50,6090076.98,3215462.2,51,3,85,1
CLI-00338,31,3930043.58,1207655.5,26,4,15,1
CLI-00339,38,3577309.24,1655466.35,72,1,52,1
CLI-00340,65,1922321.03,1062186.33,54,4,72,2
CLI-00341,37,9276884.06,4880582.48,86,0,34,2
CLI-00342,25,8882745.43,6191816.08,16,1,104,2
CLI-00343,24,2406173.82,1231099.56,36,1,1,0
CLI-00344,20,4284218.41,2438393.1,19,2,96,1
CLI-00345,34,6452918.49,3460601.62,43,4,113,2
CLI-00346,50,4841079.9,3424310.67,45,5,115,1
CLI-00347,65,1400000.0,1084488.75,34,3,69,1
CLI-00348,29,4052899.93,2401501.25,15,2,94,1
CLI-00349,68,9792275.46,7189368.26,33,5,86,2
CLI-00350,39,4202047.1,1946525.52,27,5,20,1
CLI-00351,39,5140371.86,3072674.17,96,2,80,2
CLI-00352,63,2980609.67,1460130.56,15,2,7,0
CLI-00353,47,6793078.57,3585458.26,38,1,7,1
CLI-00354,55,5753333.96,4043602.05,34,2,50,1
CLI-00355,55,3867556.57,3035700.71,64,4,114,1
CLI-00356,62,2629758.13,964654.36,90,2,2,2
CLI-00357,68,8589995.42,5575350.19,55,2,47,2
CLI-00358,25,1967804.51,1220391.22,33,0,14,0
CLI-00359,44,6608394.53,2412911.67,84,2,31,1
CLI-00360,44,1400000.0,583158.63,35,2,50,1
CLI-00361,51,7055865.7,3323675.22,37,3,61,1
CLI-00362,38,7634657.55,2991351.12,12,1,41,2
CLI-00363,47,7908524.17,3432704.53,84,2,14,2
CLI-00364,50,5145341.37,2300896.01,47,0,5,1
CLI-00365,45,8984807.93,4354223.08,70,4,75,2
CLI-00366,64,10577141.73,7532667.49,87,4,104,2
CLI-00367,50,4792429.1,2945195.51,60,3,5,1
CLI-00368,22,4507788.93,3797522.19,99,6,64,1
CLI-00369,65,5828189.97,3077894.54,57,4,29,1
CLI-00370,36,4449103.68,3179444.23,30,1,75,2
CLI-00371,21,4127485.57,3216581.0,63,1,5,1
CLI-00372,52,4319175.21,2908697.45,65,1,113,1
CLI-00373,66,9274663.22,4883347.68,68,3,118,2
CLI-00374,34,7198140.39,5142906.09,81,1,96,2
CLI-00375,61,4441918.52,1830145.61,60,3,36,1
CLI-00376,45,1400000.0,672215.17,29,2,79,2
CLI-00377,47,2102178.11,1262729.81,95,2,19,2
CLI-00378,46,6607543.98,4073386.75,68,2,64,1
CLI-00379,63,1400000.0,437048.94,80,1,22,2
CLI-00380,23,6144585.76,5037410.08,18,4,34,1
CLI-00381,52,3155759.81,2155841.53,10,3,56,0
CLI-00382,58,5701972.7,3265160.9,38,1,17,1
CLI-00383,54,5640483.86,4586954.17,72,0,76,1
CLI-00384,41,5765297.85,3121923.55,81,4,89,1
CLI-00385,46,4632271.94,3887585.88,65,1,56,1
CLI-00386,66,4559971.62,2652793.66,77,1,17,1
CLI-00387,63,3914261.08,1420317.71,44,5,74,1
CLI-00388,48,6564563.1,4730690.26,12,2,92,1
CLI-00389,52,7271423.88,4896531.39,16,1,82,2
CLI-00390,50,2818260.45,2043640.98,36,4,115,2
CLI-00391,69,5386417.36,4434600.33,10,3,18,1
CLI-00392,38,5932480.56,4313323.4,89,7,45,1
CLI-00393,49,5904296.5,3756520.86,80,2,96,1
CLI-00394,40,5866893.16,4526424.8,53,3,78,1
CLI-00395,50,4615523.42,3093718.62,96,1,56,2
CLI-00396,20,6113866.94,3206512.17,50,1,80,1
CLI-00397,35,6859663.16,5399178.25,84,4,50,1
CLI-00398,42,5810280.64,2452201.37,51,2,58,1
CLI-00399,59,6613067.64,4583204.39,42,0,18,1
CLI-00400,48,7678777.5,6026764.54,59,0,80,2
CLI-00401,20,1427931.21,1002727.69,72,2,81,1
CLI-00402,57,7575620.45,5177947.79,46,4,7,2
CLI-00403,63,6253341.08,4464579.5,68,5,76,1
CLI-00404,41,3054424.28,1697589.11,90,2,98,2
CLI-00405,67,7265435.94,5672807.88,57,2,10,1
CLI-00406,49,4623694.01,1904453.61,14,3,69,2
CLI-00407,64,4923673.84,1822067.19,57,4,85,1
CLI-00408,39,4383104.48,2003209.49,12,1,3,1
CLI-00409,40,6165277.46,3652110.42,56,2,83,1
CLI-00410,19,3772223.09,2190941.07,71,2,109,1
CLI-00411,44,7483244.19,5622380.74,23,4,44,1
CLI-00412,59,5194502.31,2714193.74,72,2,99,1
CLI-00413,19,4698754.54,2661324.93,70,2,70,1
CLI-00414,43,7156326.49,2199512.88,40,2,14,1
CLI-00415,34,4796975.12,2520122.44,26,2,4,1
CLI-00416,57,7585989.02,4978501.23,33,3,109,2
CLI-00417,50,7655104.49,2361826.19,32,1,115,2
CLI-00418,26,2563431.56,1165041.4,91,3,18,2
CLI-00419,60,7940372.44,3290299.75,59,2,93,2
CLI-00420,65,2283520.86,737787.29,87,2,99,1
CLI-00421,56,8077477.16,4552409.98,88,4,52,2
CLI-00422,46,9962385.82,3984434.4,88,1,38,2
CLI-00423,59,7424635.76,5261801.1,79,4,80,1
CLI-00424,43,1400000.0,1072904.47,36,2,20,0
CLI-00425,52,7839844.58,4704470.04,24,2,88,2
CLI-00426,67,10441483.73,8770209.8,59,1,99,2
CLI-00427,42,4833330.39,2647520.59,45,2,44,2
CLI-00428,41,5423652.7,3158477.79,17,3,51,2
CLI-00429,30,2885329.21,2435419.15,88,2,19,2
CLI-00430,24,6186574.72,2643842.85,12,1,68,1
CLI-00431,53,8292189.8,6786330.34,71,1,97,2
CLI-00432,62,7035021.68,2276256.22,56,4,66,1
CLI-00433,37,12412327.35,6771083.32,86,2,13,2
CLI-00434,18,5572659.49,1886356.0,97,0,62,1
CLI-00435,25,1912518.59,1340826.83,70,4,61,2
CLI-00436,63,5876136.14,3729142.4,41,1,109,1
CLI-00437,33,1400000.0,964108.38,22,2,30,0
CLI-00438,31,4327171.37,2189393.89,10,3,98,1
CLI-00439,29,9073640.53,4565992.6,43,3,30,2
CLI-00440,68,6215294.03,2019508.16,71,2,51,1
CLI-00441,40,5894716.99,2902969.61,88,2,118,2
CLI-00442,32,9505716.83,7710168.87,87,3,88,2
CLI-00443,45,4904680.24,2494395.77,91,4,48,1
CLI-00444,51,8276004.91,6267023.24,80,5,108,2
CLI-00445,19,5784475.35,4415168.72,40,2,33,1
CLI-00446,49,6336104.42,3201523.54,73,2,105,1
CLI-00447,40,2821929.32,1827463.86,34,1,113,2
CLI-00448,39,4439497.05,1564720.19,47,3,74,1
CLI-00449,68,2425459.89,865945.5,23,2,82,0
CLI-00450,42,5290460.83,1728720.05,17,3,19,1
CLI-00451,39,6358885.16,3939700.09,63,3,71,1
CLI-00452,39,3057916.17,1633963.98,11,1,57,2
CLI-00453,66,10008193.63,6019105.76,90,2,19,2
CLI-00454,69,6111833.24,3585141.82,87,1,88,2
CLI-00455,59,5627150.29,2771999.76,98,4,79,1
CLI-00456,23,7193247.05,4838252.62,65,0,41,1
CLI-00457,32,3676358.22,2636596.01,93,3,42,1
CLI-00458,60,5859650.45,1805039.2,94,2,87,1
CLI-00459,54,3922894.32,1624012.6,70,1,52,1
CLI-00460,50,8929095.8,6181432.01,31,2,116,2
CLI-00461,25,3170993.43,1625581.54,44,3,4,1
CLI-00462,61,5638964.01,3746336.93,25,0,102,1
CLI-00463,61,6224494.73,3055165.4,59,6,4,1
CLI-00464,22,6368616.64,3279298.36,52,1,5,1
CLI-00465,56,4221282.62,1634790.39,26,2,41,1
CLI-00466,21,3529879.32,1560302.18,89,3,108,2
CLI-00467,23,4253050.62,2692080.95,67,3,87,1
CLI-00468,62,6662315.96,3585923.02,11,4,104,1
CLI-00469,49,5183539.3,3762557.4,13,2,117,2
CLI-00470,69,7251659.38,5575958.44,94,1,101,1
CLI-00471,47,6549408.18,3915927.37,48,3,61,1
CLI-00472,64,1400000.0,1003865.81,15,3,75,2
CLI-00473,52,6044495.15,2833644.11,90,5,55,2
CLI-00474,57,10451000.49,5520575.55,98,2,75,2
CLI-00475,69,8415591.91,5823822.9,78,1,13,2
CLI-00476,33,6428428.95,3294033.68,78,1,14,1
CLI-00477,30,3169337.31,1976645.05,29,1,60,2
CLI-00478,67,6550618.18,2633053.92,73,2,72,1
CLI-00479,59,7127449.87,4489396.95,25,2,25,1
