temperatura_c,presion_bar,flujo_l_min,rpm_motor,concentracion_reactivo,eficiencia_proceso
97.54,2.4,50.72,2980.2,0.152,72.33
144.43,2.08,63.82,2071.8,0.943,47.99
109.29,10.72,76.04,1738.8,0.483,56.98
121.14,11.72,58.08,3475.8,0.625,49.37
120.63,4.68,38.53,3056.4,0.839,45.13
176.86,8.78,23.85,3509.4,0.051,20.0
97.72,1.59,67.0,1814.9,0.928,80.91
77.0,3.48,25.51,3205.9,0.373,79.24
168.53,8.74,62.16,2658.5,0.356,24.38
72.73,2.19,23.59,3555.6,0.181,79.01
158.47,6.42,16.83,3471.2,0.822,20.0
69.53,8.46,28.83,3535.1,0.834,56.01
135.63,9.54,31.37,3484.2,0.068,20.9
69.57,6.27,58.54,1218.4,0.1,65.03
170.0,8.12,22.07,2978.6,0.877,20.0
123.45,7.17,79.77,1852.6,0.161,41.18
92.81,2.05,51.58,2892.1,0.609,83.75
68.24,9.3,46.82,3553.5,0.608,62.46
98.25,3.31,42.6,1294.5,0.833,66.12
141.65,1.83,52.5,2560.8,0.565,51.98
100.04,6.24,11.68,2963.9,0.441,47.91
81.99,10.59,84.26,1808.1,0.927,75.3
125.06,3.08,51.81,1740.3,0.256,49.9
104.32,1.64,12.64,1344.8,0.286,65.57
71.55,2.65,54.25,1425.4,0.126,80.99
70.02,5.32,42.78,2776.2,0.928,71.15
141.97,7.59,11.8,2412.5,0.686,22.1
176.71,3.53,79.33,1272.2,0.061,33.17
80.3,9.92,10.79,3527.2,0.684,53.7
150.51,9.41,53.34,2774.5,0.414,27.34
61.39,8.81,82.13,2437.1,0.921,72.02
99.6,6.62,27.82,1854.5,0.3,44.01
115.87,5.33,29.06,2779.4,0.689,44.24
84.94,5.44,10.03,2074.0,0.615,62.25
118.85,6.78,14.98,2886.0,0.061,27.78
164.74,2.31,13.37,2838.2,0.847,34.92
172.78,8.66,71.7,1422.6,0.176,22.94
63.07,5.19,72.76,3382.2,0.647,77.75
85.34,3.86,64.5,2368.7,0.748,79.55
177.29,4.42,36.46,2143.1,0.618,32.58
85.15,3.39,71.59,3493.1,0.137,75.56
140.05,10.97,50.48,2251.7,0.928,32.47
82.95,3.27,32.82,2930.9,0.263,81.54
96.33,10.77,42.8,2772.3,0.615,63.88
74.87,7.51,14.93,1596.3,0.767,55.58
161.32,10.61,80.87,3578.7,0.895,28.85
164.74,6.48,56.43,2312.7,0.594,28.42
88.6,11.24,64.84,2147.5,0.283,76.41
157.07,3.72,60.74,3407.1,0.803,32.17
96.57,7.32,60.08,2470.2,0.197,63.23
62.87,2.82,11.29,2892.2,0.07,74.87
148.55,6.2,49.4,3231.0,0.867,20.0
127.54,7.48,71.63,1765.2,0.568,38.76
85.67,7.86,13.34,1606.7,0.113,47.62
82.89,5.34,81.71,1364.4,0.572,66.57
176.83,2.3,41.81,3353.1,0.181,38.42
162.13,8.38,31.74,1680.9,0.078,20.0
155.27,6.63,49.89,1938.6,0.155,20.13
66.64,2.94,70.09,1885.9,0.748,93.52
148.17,11.33,45.61,1931.0,0.73,32.86
77.89,11.53,58.38,2803.3,0.594,81.11
177.06,10.49,47.49,3489.9,0.238,26.38
56.77,10.36,57.35,1990.7,0.715,81.04
95.78,2.54,20.35,2178.4,0.417,73.37
105.72,11.93,12.9,3050.8,0.51,58.24
157.15,5.7,20.27,2237.6,0.858,20.59
149.61,3.21,31.44,3422.5,0.462,32.76
98.75,10.03,29.0,2407.7,0.614,56.93
123.52,3.87,56.14,2034.6,0.916,49.16
158.63,7.02,44.19,3531.8,0.456,20.0
52.37,2.84,12.91,2221.9,0.555,83.7
154.28,6.48,12.61,1754.8,0.576,20.0
173.1,7.36,16.79,1626.5,0.267,20.0
54.17,6.18,36.48,3588.4,0.713,65.42
55.93,2.23,10.46,3007.2,0.704,83.85
94.79,6.59,47.05,2180.8,0.242,55.68
61.41,6.42,37.05,3183.3,0.062,63.36
112.31,4.25,51.66,2512.3,0.949,50.78
144.73,11.18,64.06,1961.7,0.573,35.61
123.7,5.89,28.82,2984.1,0.213,36.53
75.54,10.57,21.78,2990.1,0.305,66.21
135.13,2.65,30.85,2400.4,0.606,45.69
139.03,4.85,10.13,1308.4,0.174,20.0
171.22,3.35,19.0,1384.9,0.084,24.52
69.08,5.79,66.31,3093.0,0.769,77.97
140.0,2.67,26.71,3176.3,0.694,41.64
168.49,6.13,84.57,2827.9,0.329,32.63
115.2,5.22,22.59,3213.8,0.103,36.88
97.03,3.84,69.16,2926.8,0.488,74.92
72.2,8.24,62.88,3352.6,0.299,66.02
162.68,11.48,34.16,1561.0,0.408,30.26
101.25,3.67,34.81,2130.6,0.297,62.69
170.23,8.97,52.27,2313.9,0.208,22.31
160.21,9.29,73.93,1914.4,0.398,28.83
98.96,6.73,38.96,2940.9,0.918,48.78
124.61,10.93,14.59,3389.9,0.29,30.63
53.53,11.65,38.08,2190.0,0.352,82.23
84.22,5.3,25.55,3459.7,0.346,61.71
142.34,8.34,80.44,2440.2,0.482,34.45
138.13,8.45,62.3,2454.0,0.809,33.82
95.94,5.74,13.81,2640.5,0.412,53.22
155.12,4.83,31.97,1844.0,0.776,20.8
80.66,11.3,13.77,2120.1,0.154,65.82
109.97,9.79,72.25,2527.8,0.855,45.71
111.43,2.7,77.97,3460.8,0.217,67.83
94.31,2.76,18.42,2742.5,0.085,68.0
174.11,11.19,43.02,1999.5,0.193,30.78
140.57,2.35,79.89,1225.1,0.222,50.29
120.1,8.73,20.89,3556.0,0.508,31.36
116.37,3.88,31.89,2383.2,0.455,48.06
70.71,1.87,32.82,3452.4,0.694,80.8
98.38,2.13,12.25,2518.4,0.096,66.1
137.46,5.42,12.72,2653.1,0.498,27.83
170.19,2.31,81.46,2908.6,0.349,51.61
156.14,7.76,52.83,1970.3,0.618,22.83
89.05,8.3,33.0,2877.6,0.089,52.63
106.41,5.42,38.4,2464.3,0.081,45.08
60.78,9.3,63.61,2814.0,0.435,74.35
63.28,6.65,37.49,3206.0,0.78,64.61
111.13,6.02,27.08,1642.1,0.654,41.99
118.93,5.77,17.64,2672.5,0.065,32.29
84.32,6.03,64.67,1325.1,0.211,63.33
133.56,11.66,23.54,1445.1,0.254,31.66
141.44,8.65,15.22,2819.0,0.431,20.0
88.89,4.81,42.02,1370.3,0.578,65.65
148.6,9.21,12.97,2628.9,0.245,20.0
76.73,4.97,82.37,1728.0,0.394,79.71
120.75,2.82,57.05,1929.8,0.576,60.59
154.56,6.49,21.45,1511.1,0.395,20.0
119.81,9.39,22.93,1796.8,0.179,32.12
168.04,5.47,52.74,3171.1,0.492,25.25
57.61,10.63,36.74,2733.3,0.342,75.87
126.48,5.56,68.07,3479.4,0.828,37.3
123.03,5.17,50.94,1317.0,0.748,39.37
135.85,11.98,42.5,3101.8,0.221,37.27
158.34,6.57,82.22,2877.8,0.187,31.74
144.36,9.95,39.3,1826.1,0.363,25.98
152.74,9.95,40.05,2950.0,0.421,26.47
87.55,11.23,59.93,2919.7,0.889,67.56
100.37,2.39,70.71,2302.4,0.321,84.7
131.48,4.35,56.97,2852.7,0.831,43.99
121.95,9.56,62.4,2267.0,0.505,45.81
174.94,7.41,37.97,2005.3,0.847,20.0
74.29,7.38,45.96,2319.6,0.682,62.63
95.67,3.25,24.78,3348.3,0.688,70.03
124.46,4.45,61.02,2123.0,0.517,53.25
162.84,6.97,26.61,2168.9,0.806,20.0
170.82,4.41,10.09,2660.2,0.279,26.38
93.68,3.71,80.03,3007.2,0.867,71.87
58.72,2.42,32.95,2963.1,0.623,85.64
104.81,3.14,24.75,1247.5,0.445,59.09
101.26,9.57,30.11,2849.8,0.934,44.42
178.24,9.05,34.78,2281.3,0.826,20.0
106.04,1.98,45.59,2457.8,0.745,73.0
89.74,3.63,15.2,2548.0,0.297,66.62
97.5,7.38,13.95,2956.1,0.926,42.06
101.6,4.89,31.97,3195.2,0.719,51.83
156.8,10.14,32.18,2751.0,0.595,27.12
60.53,9.74,18.82,2553.4,0.88,65.34
91.15,10.86,40.36,2097.0,0.196,66.06
175.62,7.41,31.3,1530.9,0.175,20.0
69.9,5.2,11.95,3500.6,0.557,65.68
146.54,7.86,76.43,2308.4,0.101,30.09
96.33,2.44,76.45,2558.9,0.648,85.22
125.63,1.6,25.69,3002.6,0.267,56.7
62.94,1.68,22.22,1364.2,0.157,83.55
89.83,5.78,51.05,3252.0,0.419,63.29
115.11,3.89,57.31,3112.9,0.469,61.92
80.12,3.15,81.82,3058.6,0.203,93.07
120.44,7.96,38.3,1252.8,0.087,26.9
78.57,11.95,56.37,2463.6,0.423,81.56
134.51,3.37,75.86,1330.2,0.734,49.07
167.57,7.24,43.75,2522.1,0.837,20.0
61.11,2.76,19.18,2924.3,0.138,80.85
78.16,11.31,38.31,1492.4,0.522,71.65
159.77,4.56,20.24,2867.7,0.287,30.69
132.1,10.72,11.25,2278.9,0.387,36.92
60.23,4.47,66.37,3147.7,0.89,82.94
113.23,9.96,27.88,2480.6,0.367,47.26
77.27,3.7,10.15,2006.7,0.379,72.51
75.88,4.57,75.43,1996.8,0.238,82.14
172.28,3.52,43.28,3354.0,0.914,34.03
149.0,4.27,27.91,2286.9,0.461,34.56
140.51,10.27,29.71,2173.8,0.563,32.94
81.06,8.21,28.04,1295.7,0.458,51.46
65.41,5.76,24.59,2074.4,0.278,71.06
163.21,11.7,73.09,3239.1,0.779,33.17
50.76,6.38,22.77,3026.4,0.076,61.49
100.45,11.68,52.14,1730.2,0.671,69.47
86.09,3.56,15.8,2191.3,0.585,74.02
124.15,11.0,81.21,1671.8,0.18,50.57
82.57,1.65,55.25,3490.1,0.199,83.93
90.46,7.23,77.74,2635.5,0.643,61.03
160.51,5.94,39.84,3010.5,0.331,20.0
128.41,7.01,70.8,2913.1,0.289,38.97
68.94,7.31,74.02,3296.9,0.103,67.79
144.44,5.58,62.72,3478.4,0.74,31.59
76.97,11.98,16.97,1277.9,0.844,67.78
106.29,11.75,11.21,3540.7,0.788,45.96
134.06,11.6,22.64,3289.3,0.469,36.0
85.35,11.78,18.86,2119.1,0.531,74.5
99.93,9.83,64.39,3209.0,0.268,52.59
145.44,11.88,51.78,2967.7,0.206,38.88
171.93,10.87,49.45,3103.5,0.791,24.38
118.8,5.87,28.97,1729.7,0.769,37.53
51.3,9.74,21.6,2756.6,0.75,70.06
94.0,11.08,25.49,1262.2,0.467,59.31
101.82,8.98,40.02,3235.7,0.828,49.39
94.09,5.94,65.51,3482.5,0.884,56.09
106.71,2.19,29.09,2789.1,0.346,70.04
132.25,10.0,62.4,2430.4,0.252,39.84
65.75,11.5,46.86,2941.8,0.468,80.12
85.44,5.31,76.41,1983.3,0.211,72.35
115.99,3.1,27.47,2703.3,0.846,48.41
91.02,4.93,43.81,2925.5,0.354,67.21
178.84,7.62,17.25,1542.4,0.569,20.0
106.09,4.83,35.14,1536.2,0.585,55.17
163.07,7.91,48.02,2918.7,0.513,24.92
166.55,11.65,64.96,2236.3,0.191,37.99
158.68,8.54,24.86,3334.1,0.942,20.0
56.1,5.31,26.36,1948.7,0.205,74.28
173.21,11.33,57.37,1301.8,0.726,28.3
66.74,7.44,38.68,2759.7,0.762,63.15
54.47,2.85,46.16,2842.2,0.181,88.75
103.87,6.74,72.71,2528.6,0.89,51.29
75.3,8.36,47.43,2840.0,0.489,67.42
73.95,10.3,58.94,2457.0,0.616,77.56
87.42,11.33,59.26,2862.3,0.628,73.93
82.29,4.83,70.27,1305.4,0.504,71.23
139.02,3.13,57.86,2084.2,0.178,41.3
74.28,2.28,14.86,1706.0,0.727,81.6
120.61,9.25,35.66,1438.4,0.574,33.55
178.24,9.85,84.2,1761.8,0.157,29.17
106.21,5.8,24.74,1659.1,0.68,48.02
133.44,5.66,54.0,3535.5,0.682,35.65
176.02,11.52,73.22,1887.7,0.544,39.56
67.89,11.13,53.99,1754.3,0.131,77.53
104.42,3.95,37.92,3203.7,0.367,60.77
160.53,9.7,16.02,2205.9,0.096,20.0
171.2,8.04,37.12,2211.5,0.48,20.0
128.16,3.12,23.66,2264.6,0.866,43.11
68.64,5.25,82.06,2199.7,0.052,76.2
167.19,3.36,63.63,1983.8,0.29,35.77
72.68,4.6,66.2,1887.2,0.77,80.01
95.87,7.96,42.7,3316.7,0.059,43.17
98.82,5.44,18.25,1588.1,0.059,46.94
108.15,5.64,30.0,1634.5,0.6,41.1
152.72,7.17,29.48,2572.1,0.76,20.0
154.28,2.42,46.51,2024.8,0.749,43.27
143.56,9.26,44.57,2211.7,0.752,24.8
52.88,5.72,42.51,3135.7,0.375,75.43
123.43,6.54,47.2,3368.7,0.844,29.3
147.17,11.73,84.03,3097.3,0.062,39.71
107.8,5.12,32.38,1763.8,0.331,49.19
172.84,8.31,56.15,3551.9,0.353,21.48
157.1,5.62,27.96,2071.6,0.199,20.71
132.96,10.89,45.0,1605.8,0.353,38.88
58.12,10.39,25.0,2398.8,0.577,75.83
134.81,4.04,51.86,2940.7,0.518,47.31
168.51,8.76,29.88,1399.9,0.337,20.0
99.33,2.18,12.76,2722.3,0.724,66.83
158.96,11.61,71.15,3259.4,0.693,37.38
90.71,5.16,19.62,1828.3,0.303,60.25
124.11,10.23,37.6,2863.5,0.341,32.06
134.3,4.84,45.79,2159.8,0.309,34.7
138.14,8.14,42.44,2193.9,0.166,26.27
164.73,11.83,64.42,1874.0,0.728,41.28
80.5,10.71,54.76,2698.5,0.092,70.19
84.11,3.18,32.15,2066.4,0.186,78.65
141.53,7.25,13.88,3194.2,0.145,20.0
73.04,5.16,67.57,3511.0,0.793,72.01
110.36,6.06,36.44,3444.2,0.09,37.34
52.6,5.02,76.73,1591.5,0.648,82.72
68.33,5.03,39.63,1234.1,0.09,66.37
138.25,7.2,63.82,2252.3,0.758,29.59
147.17,3.52,80.47,2949.3,0.871,46.67
64.99,7.14,58.84,3545.9,0.488,64.78
79.6,4.43,41.01,3080.2,0.774,76.46
62.86,4.53,52.55,2593.3,0.686,82.01
106.34,9.26,50.76,1263.2,0.766,43.81
66.4,1.81,53.86,3181.3,0.74,91.84
106.85,5.5,21.01,1625.1,0.235,46.0
145.17,5.78,62.39,1333.5,0.5,27.1
138.84,6.59,20.88,3240.9,0.914,20.0
86.46,8.52,11.1,2559.0,0.359,56.62
137.59,5.38,56.86,1508.5,0.923,31.43
170.6,3.74,18.77,2127.7,0.575,29.57
95.18,10.79,67.78,1405.3,0.465,67.6
92.79,11.8,74.95,2731.2,0.642,81.35
124.29,1.71,80.86,1877.8,0.784,62.14
81.92,7.24,59.84,3278.6,0.405,61.63
134.71,5.09,46.15,2058.7,0.08,35.95
158.19,4.41,36.42,2387.1,0.688,32.25
109.71,5.02,46.82,1352.5,0.911,49.39
138.34,8.21,24.28,1861.4,0.612,22.11
134.75,3.5,36.13,2824.2,0.22,41.42
55.03,11.09,63.84,2967.0,0.273,86.4
73.84,6.39,26.31,1782.8,0.869,58.63
166.16,4.92,29.81,2409.2,0.062,21.32
172.06,9.54,66.2,3162.1,0.544,27.97
151.46,1.67,23.34,2111.8,0.193,44.17
169.76,6.03,28.44,1521.1,0.304,20.0
89.8,5.23,11.32,2236.5,0.326,60.52
82.2,5.05,64.0,2641.5,0.247,73.66
99.96,5.04,56.34,1217.8,0.763,51.08
57.19,1.83,62.08,2036.6,0.349,98.5
155.28,3.1,26.07,2657.8,0.361,33.55
177.94,2.99,61.55,3484.6,0.458,39.43
157.12,11.88,54.73,2180.5,0.862,32.48
122.15,1.73,37.46,1591.1,0.669,60.8
88.39,3.25,42.84,2482.1,0.106,75.55
75.7,11.73,52.59,1885.8,0.085,80.82
97.33,8.1,47.0,1715.5,0.56,51.04
136.71,6.23,58.14,2617.0,0.848,31.31
108.12,2.33,23.57,3398.1,0.341,58.99
171.43,8.53,50.55,3204.5,0.273,20.0
161.05,2.95,43.77,1637.5,0.723,36.74
63.31,8.55,44.58,3038.1,0.592,73.93
67.1,11.78,45.2,1751.7,0.559,83.76
137.91,7.09,76.11,1897.7,0.184,30.94
80.0,3.75,71.4,3408.1,0.208,81.8
152.83,8.07,57.22,3386.5,0.304,21.14
126.88,6.89,63.74,1604.7,0.236,34.35
79.88,7.1,13.21,1354.1,0.924,50.58
112.23,6.52,65.8,1903.5,0.067,43.49
102.79,8.57,46.46,2596.3,0.613,59.38
163.51,7.51,33.83,3304.5,0.516,20.0
54.18,11.86,20.48,1485.2,0.341,76.13
166.46,10.17,15.64,2195.9,0.849,20.0
134.77,4.28,13.37,1852.2,0.653,35.96
145.88,9.12,22.13,1235.8,0.949,20.0
50.34,3.75,12.26,3092.3,0.202,77.02
131.67,9.71,64.95,3151.9,0.129,30.94
126.5,3.05,28.65,1730.9,0.175,45.52
119.84,6.47,37.66,1563.0,0.292,39.65
152.16,9.8,71.7,1546.9,0.425,29.52
122.26,4.44,18.6,2313.5,0.826,39.56
161.42,10.29,72.67,1791.6,0.305,30.39
80.24,8.26,57.97,2427.3,0.874,62.53
154.78,5.67,35.65,2123.6,0.467,27.86
73.31,5.95,18.84,1706.1,0.632,62.74
155.71,11.22,16.86,3002.9,0.288,25.36
172.26,3.79,35.16,1560.9,0.19,27.87
93.64,8.78,20.53,3117.4,0.833,53.49
118.89,8.93,30.08,2547.5,0.149,36.32
135.58,11.19,13.97,3196.9,0.747,31.52
60.33,8.99,54.63,1211.4,0.573,69.17
114.23,7.64,20.9,2998.1,0.825,32.75
96.88,10.98,66.75,1323.6,0.696,67.09
163.42,10.21,26.36,3480.2,0.303,20.0
163.97,9.03,69.85,2886.6,0.567,31.21
141.1,1.84,24.24,1968.4,0.062,41.53
135.24,5.42,64.1,1967.6,0.478,41.18
145.38,8.13,34.98,3267.6,0.127,20.0
97.58,6.98,53.73,3366.8,0.436,53.68
102.59,4.85,12.9,3339.8,0.149,42.58
121.98,3.02,47.14,3141.0,0.91,48.61
171.94,7.31,21.15,3165.7,0.521,20.0
144.12,4.5,46.47,2574.6,0.872,30.14
121.63,3.95,20.6,1267.8,0.07,38.6
150.15,5.69,42.78,1408.3,0.624,29.66
98.22,9.75,18.3,2758.9,0.326,53.32
144.96,6.62,26.5,2162.8,0.439,28.47
103.39,3.77,54.63,2561.5,0.836,67.23
86.36,2.73,83.25,1754.6,0.932,84.66
129.26,6.74,43.69,2758.6,0.272,33.33
139.29,9.84,61.54,1782.8,0.903,28.48
109.71,8.35,50.46,2306.0,0.67,46.64
123.52,3.94,47.38,2348.9,0.906,46.19
140.23,6.09,14.85,1626.4,0.556,23.01
149.8,10.48,20.82,3302.9,0.915,22.77
166.42,3.37,76.23,2462.0,0.853,45.91
96.09,7.09,40.76,3280.3,0.166,49.29
173.69,5.24,56.07,1830.1,0.33,31.01
132.85,2.8,49.62,1613.6,0.269,48.82
152.4,2.02,38.42,1243.2,0.565,43.85
140.97,7.34,39.09,1425.3,0.773,20.0
76.72,1.72,51.66,1553.9,0.733,94.37
59.29,2.59,20.59,1389.3,0.704,81.37
144.42,5.15,39.04,3352.5,0.388,26.56
116.44,1.96,43.52,3387.5,0.176,56.15
141.29,5.7,83.88,3449.7,0.24,32.82
111.99,2.87,36.36,3503.7,0.718,55.27
90.59,5.17,58.34,2380.4,0.183,70.02
87.05,9.81,20.31,2472.1,0.251,60.92
144.97,8.08,14.91,1514.0,0.432,20.0
85.98,6.18,75.37,1528.9,0.115,61.21
142.91,2.46,64.81,3054.6,0.241,47.78
99.91,8.0,33.81,3253.7,0.185,42.37
150.22,3.22,47.84,3083.3,0.906,35.45
68.57,2.3,20.18,3203.0,0.222,81.11
76.65,8.47,63.04,1863.8,0.826,69.23
139.17,11.08,15.27,2318.6,0.153,27.97
122.83,6.34,66.78,2302.1,0.833,42.62
76.5,1.93,51.01,3588.7,0.589,88.02
167.37,10.74,30.91,3478.0,0.815,20.0
85.87,2.2,74.69,2636.4,0.831,91.08
104.74,10.61,83.96,1531.1,0.587,57.96
76.3,5.61,29.08,1820.6,0.876,61.44
100.44,5.34,70.47,2073.0,0.577,66.24
113.91,7.2,66.26,3295.7,0.691,43.65
88.38,11.55,66.04,1609.5,0.424,74.63
149.98,10.94,81.79,1727.4,0.873,30.25
101.21,6.44,46.5,2038.5,0.792,54.53
144.84,8.81,60.56,3424.6,0.2,22.83
76.92,7.59,71.79,2409.1,0.569,69.9
99.01,8.78,45.97,2752.4,0.857,48.55
51.05,10.21,46.11,2129.3,0.764,77.85
148.62,1.86,33.9,1652.5,0.916,40.73
131.37,4.92,68.56,1734.7,0.258,38.68
156.32,11.57,61.46,3126.4,0.381,34.41
109.23,11.47,43.84,3344.4,0.506,60.35
153.97,1.62,41.45,2383.4,0.259,49.74
134.19,3.62,15.44,2056.8,0.405,40.64
50.47,11.93,10.49,3138.8,0.534,77.6
82.98,6.67,49.67,2815.4,0.222,57.87
114.21,7.52,41.31,1298.1,0.281,38.63
130.43,3.25,69.7,2041.8,0.162,51.47
58.53,10.89,50.7,2837.2,0.692,78.2
141.66,3.93,80.25,2576.8,0.375,50.12
120.66,3.49,24.71,3547.4,0.248,42.46
118.35,3.9,84.26,3278.7,0.507,55.18
87.97,11.16,32.34,1343.4,0.111,60.86
127.33,8.88,58.18,2941.8,0.881,28.86
53.57,9.57,47.64,2007.2,0.315,73.46
58.41,5.46,36.97,2837.0,0.848,72.36
145.4,11.05,20.45,2681.3,0.498,29.95
91.85,9.79,20.11,2407.3,0.815,54.5
95.11,9.38,63.36,3247.1,0.272,61.91
77.09,11.69,38.32,2900.9,0.208,79.92
107.93,5.35,82.1,3334.9,0.814,52.67
56.76,7.92,34.42,1875.8,0.242,64.49
89.05,11.05,83.76,2035.5,0.722,75.53
118.53,9.8,25.41,2692.7,0.36,39.76
110.53,7.42,17.71,3519.5,0.723,32.89
179.96,2.3,33.44,2091.8,0.867,45.32
100.54,8.35,76.42,1277.5,0.933,47.33
100.31,7.03,49.14,2270.1,0.374,51.8
115.47,3.43,20.17,2505.4,0.381,53.6
74.74,10.76,25.19,3122.4,0.933,65.41
163.92,5.1,33.34,2948.6,0.825,22.05
124.39,5.57,54.26,3515.2,0.091,33.71
74.97,8.56,34.93,3078.4,0.566,63.07
153.15,6.63,66.03,1916.7,0.213,27.04
54.46,2.44,56.22,2739.3,0.945,90.43
177.73,5.57,75.54,2813.4,0.175,28.04
162.47,2.49,47.57,3595.2,0.553,37.13
125.35,3.5,34.84,1533.0,0.649,52.46
64.47,1.58,84.72,1659.2,0.893,98.5
77.99,3.4,36.67,1573.2,0.813,73.49
86.33,4.97,42.15,2613.7,0.271,73.12
81.33,7.15,70.68,1524.7,0.565,66.85
114.68,11.15,16.65,2774.4,0.908,41.81
172.79,7.17,38.99,3129.1,0.712,20.0
107.74,8.91,16.43,2238.7,0.67,42.83
136.0,5.26,20.45,2545.6,0.729,33.08
139.52,9.39,10.35,3390.5,0.34,20.0
163.31,8.01,10.72,2567.0,0.706,20.0
54.4,6.33,38.52,1700.7,0.26,71.76
102.56,3.53,70.69,2023.7,0.435,72.39
152.02,4.69,54.03,2471.6,0.851,32.53
155.93,8.02,57.62,1571.8,0.067,20.0
170.55,5.97,48.94,2670.0,0.423,26.45
141.36,10.84,71.48,3598.2,0.29,34.48
81.87,3.97,76.03,2766.1,0.229,80.84
115.74,2.27,73.73,2093.8,0.805,71.57
54.2,7.69,70.91,1996.2,0.677,73.57
134.1,10.8,23.7,3435.8,0.151,27.74
122.06,5.33,54.54,3291.6,0.495,43.5
136.69,8.3,53.66,2333.7,0.47,29.41
170.92,3.93,49.6,2048.2,0.178,38.1
139.35,7.36,46.06,2905.1,0.77,29.22
91.66,9.76,16.69,1954.8,0.38,53.75
75.84,10.6,17.66,1486.6,0.736,66.08
161.1,2.6,77.67,1944.4,0.223,47.11
75.26,5.24,57.26,2242.3,0.334,74.7
71.01,8.22,29.67,1813.0,0.136,61.23
76.86,1.86,30.95,1720.4,0.179,86.66
116.15,8.75,55.76,1214.7,0.845,35.02
