id_venta,fecha,id_cliente,categoria,producto,cantidad,precio_unitario,descuento,ciudad_venta,total_venta
VNT-0000041,2023-11-18 23:00:00,CLI-00953,Muebles,Archivador Metálico,12,418746.45,0.05,Tunja,4773709.53
VNT-0000042,2023-08-19 09:00:00,CLI-00602,Hardware,Firewall Hardware,2,3344987.84,0.0,Sogamoso,6689975.68
VNT-0000043,2025-10-13 10:00:00,CLI-01301,Servicios Cloud,Instancia VM vCPU4,8,462061.9,0.0,Duitama,3696495.2
VNT-0000044,2025-11-01 18:00:00,CLI-00540,Tecnología,Mouse Inalámbrico,19,123754.77,0.1,Duitama,2116206.57
VNT-0000045,2024-02-29 19:00:00,CLI-00576,Hardware,Switch Gigabit 24p,9,1201536.68,0.1,Duitama,9732447.11
VNT-0000046,2025-11-30 13:00:00,CLI-00810,Muebles,Silla Ergonómica,7,898892.77,0.0,Bogotá,6292249.39
VNT-0000047,2025-11-15 14:00:00,CLI-00169,Tecnología,Teclado Mecánico,11,300894.66,0.05,Duitama,3144349.2
VNT-0000048,2023-07-13 17:00:00,CLI-01295,Papelería,Cuaderno Cuadriculado,11,16616.69,0.05,Cali,173644.41
VNT-0000049,2023-09-28 22:00:00,CLI-00587,Muebles,Silla Ergonómica,18,785338.83,0.0,Bogotá,14136098.94
VNT-0000050,2023-09-15 12:00:00,CLI-01258,Hardware,Servidor Rack 2U,14,14902400.09,0.05,Medellín,198201921.2
VNT-0000051,2024-07-13 05:00:00,CLI-00170,Tecnología,Monitor 4K,10,1727892.69,0.1,Bucaramanga,15551034.21
VNT-0000052,2024-06-16 07:00:00,CLI-00784,Servicios Cloud,Instancia VM vCPU4,16,500041.96,0.0,Bucaramanga,8000671.36
VNT-0000053,2023-07-29 03:00:00,CLI-00212,Papelería,Resma Papel Bond,2,20543.63,0.2,Tunja,32869.81
VNT-0000054,2023-08-20 00:00:00,CLI-00049,Tecnología,Teclado Mecánico,14,275297.51,0.15,Tunja,3276040.37
VNT-0000055,2024-11-05 13:00:00,CLI-01327,Hardware,Firewall Hardware,3,3230222.19,0.0,Tunja,9690666.57
VNT-0000056,2023-02-15 12:00:00,CLI-00324,Papelería,Resma Papel Bond,11,20263.07,0.0,Medellín,222893.77
VNT-0000057,2024-10-06 19:00:00,CLI-01370,Tecnología,Teclado Mecánico,15,258531.96,0.0,Cali,3877979.4
VNT-0000058,2025-12-15 15:00:00,CLI-00244,Muebles,Archivador Metálico,16,416205.81,0.05,Cali,6326328.31
VNT-0000059,2023-07-31 17:00:00,CLI-00485,Hardware,Firewall Hardware,2,3334145.0,0.05,Tunja,6334875.5
VNT-0000060,2024-04-25 06:00:00,CLI-00194,Muebles,Archivador Metálico,17,392834.08,0.2,Tunja,5342543.49
VNT-0000061,2024-08-14 17:00:00,CLI-00940,Tecnología,Monitor 4K,9,1691226.27,0.1,Medellín,13698932.79
VNT-0000062,2024-02-22 09:00:00,CLI-01459,Tecnología,Monitor 4K,15,1826706.04,0.15,Sogamoso,23290502.01
VNT-0000063,2023-10-29 10:00:00,CLI-00582,Tecnología,Laptop Pro,17,4476295.52,0.05,Sogamoso,72292172.65
VNT-0000064,2025-07-09 23:00:00,CLI-00551,Servicios Cloud,Almacenamiento S3 1TB,6,160227.83,0.15,Duitama,817161.93
VNT-0000065,2024-05-03 06:00:00,CLI-00290,Muebles,Silla Ergonómica,11,850671.5,0.1,Bucaramanga,8421647.85
VNT-0000066,2025-10-28 05:00:00,CLI-01023,Tecnología,Mouse Inalámbrico,16,128457.57,0.0,Duitama,2055321.12
VNT-0000067,2024-03-09 03:00:00,CLI-00076,Tecnología,Mouse Inalámbrico,12,123975.06,0.05,Sogamoso,1413315.68
VNT-0000068,2024-04-16 04:00:00,CLI-00214,Muebles,Escritorio Elevable,4,1676053.33,0.05,Cali,6369002.65
VNT-0000069,2025-12-27 23:00:00,CLI-01231,Hardware,Switch Gigabit 24p,19,1176694.49,0.05,Bogotá,21239335.54
VNT-0000070,2024-07-05 19:00:00,CLI-01229,Muebles,Silla Ergonómica,8,880823.12,0.0,Medellín,7046584.96
VNT-0000071,2025-11-13 05:00:00,CLI-00786,Hardware,Servidor Rack 2U,19,15101933.53,0.0,Duitama,286936737.07
VNT-0000072,2024-05-06 06:00:00,CLI-01454,Muebles,Silla Ergonómica,7,845975.73,0.0,Bucaramanga,5921830.11
VNT-0000073,2025-01-13 14:00:00,CLI-01477,Tecnología,Teclado Mecánico,2,284945.97,0.05,Bucaramanga,541397.34
VNT-0000074,2025-08-29 00:00:00,CLI-00171,Hardware,Firewall Hardware,11,3226931.08,0.05,Cali,33721429.79
VNT-0000075,2025-05-31 09:00:00,CLI-01495,Muebles,Archivador Metálico,9,431483.85,0.15,Tunja,3300851.45
VNT-0000076,2023-02-25 16:00:00,CLI-01236,Servicios Cloud,Instancia VM vCPU4,9,465183.93,0.0,Bogotá,4186655.37
VNT-0000077,2023-11-05 04:00:00,CLI-00210,Hardware,Firewall Hardware,11,3128773.34,0.05,Tunja,32695681.4
VNT-0000078,2025-02-01 19:00:00,CLI-01217,Tecnología,Monitor 4K,14,1752106.07,0.0,Bogotá,24529484.98
VNT-0000079,2023-02-23 04:00:00,CLI-01211,Tecnología,Monitor 4K,10,1889809.5,0.0,Duitama,18898095.0
VNT-0000080,2023-10-15 11:00:00,CLI-01483,Servicios Cloud,Almacenamiento S3 1TB,7,158540.75,0.0,Bogotá,1109785.25
VNT-0000081,2025-07-29 05:00:00,CLI-00573,Tecnología,Mouse Inalámbrico,5,124195.43,0.05,Sogamoso,589928.29
VNT-0000082,2025-10-19 01:00:00,CLI-00765,Tecnología,Monitor 4K,10,1782545.95,0.0,Medellín,17825459.5
VNT-0000083,2023-12-16 11:00:00,CLI-00385,Tecnología,Teclado Mecánico,14,292073.87,0.2,Medellín,3271227.34
VNT-0000084,2025-02-01 18:00:00,CLI-00178,Tecnología,Teclado Mecánico,7,296826.18,0.05,Bogotá,1973894.1
VNT-0000085,2025-05-13 13:00:00,CLI-01142,Servicios Cloud,Almacenamiento S3 1TB,8,147535.04,0.2,Tunja,944224.26
VNT-0000086,2024-02-29 18:00:00,CLI-00721,Tecnología,Laptop Pro,1,4730580.24,0.0,Cali,4730580.24
VNT-0000087,2023-09-23 05:00:00,CLI-00598,Muebles,Escritorio Elevable,7,1688069.67,0.05,Duitama,11225663.31
VNT-0000088,2023-05-08 13:00:00,CLI-00027,Papelería,Marcadores Pro,6,32629.38,0.0,Bogotá,195776.28
VNT-0000089,2024-02-10 20:00:00,CLI-00116,Muebles,Silla Ergonómica,1,881390.19,0.1,Bogotá,793251.17
VNT-0000090,2024-07-23 08:00:00,CLI-00089,Tecnología,Laptop Pro,1,4659311.24,0.1,Medellín,4193380.12
VNT-0000091,2023-07-25 11:00:00,CLI-00656,Servicios Cloud,Base de Datos RDS,13,929199.18,0.0,Cali,12079589.34
VNT-0000092,2023-02-12 05:00:00,CLI-00355,Tecnología,Mouse Inalámbrico,15,115740.46,0.2,Bogotá,1388885.52
VNT-0000093,2025-12-04 02:00:00,CLI-00063,Servicios Cloud,Instancia VM vCPU4,6,517944.32,0.1,Tunja,2796899.33
VNT-0000094,2024-02-21 18:00:00,CLI-01004,Hardware,Servidor Rack 2U,6,13835897.21,0.0,Bogotá,83015383.26
VNT-0000095,2025-10-09 06:00:00,CLI-00987,Muebles,Archivador Metálico,17,430217.43,0.1,Cali,6582326.68
VNT-0000096,2025-03-26 01:00:00,CLI-00488,Papelería,Cuaderno Cuadriculado,4,18181.24,0.2,Duitama,58179.97
VNT-0000097,2023-07-13 20:00:00,CLI-01075,Muebles,Escritorio Elevable,13,1700030.81,0.15,Bogotá,18785340.45
VNT-0000098,2023-10-26 06:00:00,CLI-00663,Muebles,Escritorio Elevable,6,1601890.88,0.05,Bucaramanga,9130778.02
VNT-0000099,2024-05-31 23:00:00,CLI-00518,Hardware,Servidor Rack 2U,12,14355729.87,0.15,Medellín,146428444.67
VNT-0000100,2025-09-17 18:00:00,CLI-00034,Hardware,Firewall Hardware,18,3004658.1,0.1,Duitama,48675461.22
VNT-0000101,2025-10-19 00:00:00,CLI-00020,Muebles,Silla Ergonómica,5,874145.93,0.15,Tunja,3715120.2
VNT-0000102,2024-11-06 08:00:00,CLI-00748,Papelería,Resma Papel Bond,19,20391.49,0.2,Bucaramanga,309950.65
VNT-0000103,2025-05-09 16:00:00,CLI-00669,Hardware,Switch Gigabit 24p,13,1292544.15,0.15,Bogotá,14282612.86
VNT-0000104,2024-01-13 16:00:00,CLI-00366,Hardware,Servidor Rack 2U,17,14616534.8,0.05,Sogamoso,236057037.02
VNT-0000105,2023-09-06 07:00:00,CLI-00301,Papelería,Resma Papel Bond,18,21935.24,0.05,Sogamoso,375092.6
VNT-0000106,2024-12-31 03:00:00,CLI-01038,Muebles,Escritorio Elevable,9,1679106.47,0.05,Tunja,14356360.32
VNT-0000107,2024-02-14 21:00:00,CLI-00090,Tecnología,Mouse Inalámbrico,14,112709.73,0.15,Tunja,1341245.79
VNT-0000108,2025-10-15 08:00:00,CLI-00263,Hardware,Switch Gigabit 24p,14,1269764.76,0.2,Tunja,14221365.31
VNT-0000109,2025-10-20 04:00:00,CLI-01353,Tecnología,Teclado Mecánico,10,258486.93,0.0,Tunja,2584869.3
VNT-0000110,2025-02-20 05:00:00,CLI-01457,Papelería,Marcadores Pro,5,37377.5,0.2,Sogamoso,149510.0
VNT-0000111,2023-06-18 18:00:00,CLI-00154,Tecnología,Teclado Mecánico,19,266785.33,0.05,Bucaramanga,4815475.21
VNT-0000112,2023-02-26 08:00:00,CLI-00232,Tecnología,Teclado Mecánico,17,302268.06,0.15,Sogamoso,4367773.47
VNT-0000113,2024-07-24 13:00:00,CLI-01444,Muebles,Escritorio Elevable,6,1638448.31,0.05,Sogamoso,9339155.37
VNT-0000114,2025-03-17 01:00:00,CLI-00331,Hardware,Switch Gigabit 24p,11,1194482.38,0.15,Bogotá,11168410.25
VNT-0000115,2023-06-22 21:00:00,CLI-00522,Tecnología,Monitor 4K,14,1940822.72,0.15,Duitama,23095790.37
VNT-0000116,2023-12-31 11:00:00,CLI-00692,Papelería,Resma Papel Bond,19,23102.46,0.0,Duitama,438946.74
VNT-0000117,2025-12-29 05:00:00,CLI-00753,Tecnología,Monitor 4K,2,1850559.47,0.0,Duitama,3701118.94
VNT-0000118,2023-12-27 02:00:00,CLI-00329,Tecnología,Teclado Mecánico,1,296661.85,0.1,Duitama,266995.66
VNT-0000119,2025-05-19 03:00:00,CLI-01201,Muebles,Archivador Metálico,18,448556.31,0.1,Cali,7266612.22
VNT-0000120,2023-02-27 02:00:00,CLI-00403,Papelería,Cuaderno Cuadriculado,16,19085.45,0.15,Medellín,259562.12
VNT-0000121,2023-04-08 09:00:00,CLI-01058,Tecnología,Monitor 4K,11,1669471.78,0.05,Bucaramanga,17445980.1
VNT-0000122,2025-08-29 07:00:00,CLI-01055,Muebles,Archivador Metálico,15,426280.73,0.05,Cali,6074500.4
VNT-0000123,2023-09-05 14:00:00,CLI-01014,Tecnología,Teclado Mecánico,11,295082.03,0.2,Cali,2596721.86
VNT-0000124,2023-06-30 23:00:00,CLI-01263,Muebles,Silla Ergonómica,15,849356.02,0.0,Tunja,12740340.3
VNT-0000125,2023-01-08 07:00:00,CLI-01286,Hardware,Switch Gigabit 24p,17,1107026.38,0.0,Cali,18819448.46
VNT-0000126,2023-05-03 14:00:00,CLI-01329,Hardware,Switch Gigabit 24p,14,1284913.94,0.0,Medellín,17988795.16
VNT-0000127,2025-12-14 13:00:00,CLI-01437,Muebles,Archivador Metálico,18,447553.04,0.0,Cali,8055954.72
VNT-0000128,2025-03-23 03:00:00,CLI-01061,Papelería,Resma Papel Bond,3,21693.76,0.0,Bogotá,65081.28
VNT-0000129,2023-10-09 11:00:00,CLI-00428,Hardware,Firewall Hardware,7,3271486.2,0.05,Duitama,21755383.23
VNT-0000130,2025-03-01 06:00:00,CLI-01086,Tecnología,Laptop Pro,18,4386284.34,0.15,Tunja,67110150.4
VNT-0000131,2023-02-27 04:00:00,CLI-01145,Servicios Cloud,Base de Datos RDS,12,945304.0,0.1,Bucaramanga,10209283.2
VNT-0000132,2023-11-16 04:00:00,CLI-00030,Hardware,Firewall Hardware,11,3114469.29,0.2,Duitama,27407329.75
VNT-0000133,2023-12-17 14:00:00,CLI-01411,Tecnología,Monitor 4K,17,1732946.98,0.1,Bogotá,26514088.79
VNT-0000134,2024-06-13 15:00:00,CLI-00740,Tecnología,Laptop Pro,16,4791812.15,0.05,Bucaramanga,72835544.68
VNT-0000135,2024-10-28 15:00:00,CLI-00510,Hardware,Servidor Rack 2U,2,14059975.87,0.15,Sogamoso,23901958.98
VNT-0000136,2024-06-24 16:00:00,CLI-00406,Papelería,Resma Papel Bond,8,22430.74,0.2,Bogotá,143556.74
VNT-0000137,2025-01-20 14:00:00,CLI-00195,Tecnología,Monitor 4K,18,1816801.49,0.05,Medellín,31067305.48
VNT-0000138,2023-07-31 08:00:00,CLI-01256,Tecnología,Mouse Inalámbrico,9,122024.28,0.0,Cali,1098218.52
VNT-0000139,2023-05-14 12:00:00,CLI-00113,Muebles,Escritorio Elevable,7,1541904.81,0.0,Cali,10793333.67
VNT-0000140,2023-07-24 01:00:00,CLI-00873,Servicios Cloud,Base de Datos RDS,15,894219.24,0.0,Tunja,13413288.6
VNT-0000141,2024-06-02 08:00:00,CLI-00131,Servicios Cloud,Instancia VM vCPU4,7,467955.5,0.2,Sogamoso,2620550.8
VNT-0000142,2025-09-13 10:00:00,CLI-01220,Hardware,Servidor Rack 2U,15,14338530.5,0.1,Medellín,193570161.75
VNT-0000143,2023-09-06 23:00:00,CLI-01328,Tecnología,Teclado Mecánico,18,286941.49,0.05,Duitama,4906699.48
VNT-0000144,2025-06-28 18:00:00,CLI-00116,Papelería,Cuaderno Cuadriculado,4,17679.73,0.0,Tunja,70718.92
VNT-0000145,2024-06-02 23:00:00,CLI-01189,Papelería,Cuaderno Cuadriculado,10,17827.08,0.0,Sogamoso,178270.8
VNT-0000146,2024-02-05 17:00:00,CLI-00238,Muebles,Archivador Metálico,2,410501.41,0.1,Bucaramanga,738902.54
VNT-0000147,2023-11-10 06:00:00,CLI-00530,Tecnología,Mouse Inalámbrico,5,117239.13,0.0,Duitama,586195.65
VNT-0000148,2023-07-06 17:00:00,CLI-00954,Hardware,Servidor Rack 2U,6,14669632.79,0.0,Bucaramanga,88017796.74
VNT-0000149,2024-05-17 05:00:00,CLI-00406,Hardware,Firewall Hardware,3,3101921.17,0.15,Tunja,7909898.98
VNT-0000150,2025-07-20 05:00:00,CLI-00490,Muebles,Silla Ergonómica,9,916143.78,0.0,Sogamoso,8245294.02
VNT-0000151,2023-02-17 04:00:00,CLI-00319,Papelería,Resma Papel Bond,2,21082.37,0.1,Duitama,37948.27
VNT-0000152,2024-11-19 10:00:00,CLI-00606,Tecnología,Laptop Pro,3,4404023.11,0.0,Tunja,13212069.33
VNT-0000153,2025-07-02 11:00:00,CLI-00743,Papelería,Cuaderno Cuadriculado,12,16658.84,0.0,Sogamoso,199906.08
VNT-0000154,2023-03-08 19:00:00,CLI-00864,Servicios Cloud,Base de Datos RDS,2,886882.5,0.1,Duitama,1596388.5
VNT-0000155,2025-08-19 07:00:00,CLI-00060,Papelería,Cuaderno Cuadriculado,3,19257.82,0.2,Medellín,46218.77
VNT-0000156,2024-04-30 03:00:00,CLI-00362,Hardware,Firewall Hardware,9,3166653.03,0.2,Sogamoso,22799901.82
VNT-0000157,2023-12-31 23:00:00,CLI-00242,Papelería,Marcadores Pro,5,37222.25,0.0,Medellín,186111.25
VNT-0000158,2023-09-18 15:00:00,CLI-00587,Muebles,Archivador Metálico,11,422831.03,0.0,Medellín,4651141.33
VNT-0000159,2025-10-30 13:00:00,CLI-01248,Servicios Cloud,Almacenamiento S3 1TB,19,139863.51,0.05,Bogotá,2524536.36
VNT-0000160,2023-05-08 20:00:00,CLI-01067,Tecnología,Teclado Mecánico,5,300480.79,0.05,Cali,1427283.75
VNT-0000161,2025-07-19 03:00:00,CLI-00103,Muebles,Escritorio Elevable,6,1726833.68,0.0,Medellín,10361002.08
VNT-0000162,2025-09-19 13:00:00,CLI-00303,Muebles,Archivador Metálico,9,449997.24,0.05,Cali,3847476.4
VNT-0000163,2023-04-27 15:00:00,CLI-00031,Muebles,Archivador Metálico,5,423548.47,0.05,Duitama,2011855.23
VNT-0000164,2024-05-31 15:00:00,CLI-00039,Servicios Cloud,Instancia VM vCPU4,17,446533.1,0.2,Bucaramanga,6072850.16
VNT-0000165,2025-09-06 21:00:00,CLI-01086,Muebles,Escritorio Elevable,19,1623882.63,0.0,Tunja,30853769.97
VNT-0000166,2023-04-19 22:00:00,CLI-00948,Servicios Cloud,Base de Datos RDS,9,904612.57,0.15,Cali,6920286.16
VNT-0000167,2023-10-05 21:00:00,CLI-00427,Papelería,Marcadores Pro,13,33219.77,0.0,Cali,431857.01
VNT-0000168,2025-06-08 06:00:00,CLI-00366,Muebles,Silla Ergonómica,6,867191.88,0.05,Cali,4942993.72
VNT-0000169,2023-03-25 22:00:00,CLI-00673,Servicios Cloud,Almacenamiento S3 1TB,16,140245.98,0.15,Sogamoso,1907345.33
VNT-0000170,2023-11-16 17:00:00,CLI-00077,Tecnología,Teclado Mecánico,1,292953.86,0.05,Cali,278306.17
VNT-0000171,2023-01-19 14:00:00,CLI-01097,Tecnología,Laptop Pro,17,4543235.08,0.15,Bogotá,65649746.91
VNT-0000172,2025-04-12 14:00:00,CLI-00871,Papelería,Cuaderno Cuadriculado,14,18042.04,0.05,Tunja,239959.13
VNT-0000173,2023-04-23 00:00:00,CLI-01287,Tecnología,Laptop Pro,7,4852820.22,0.0,Duitama,33969741.54
VNT-0000174,2024-12-13 07:00:00,CLI-00300,Tecnología,Laptop Pro,16,4742324.05,0.2,Bucaramanga,60701747.84
VNT-0000175,2025-12-04 22:00:00,CLI-00840,Papelería,Marcadores Pro,7,33370.82,0.05,Sogamoso,221915.95
VNT-0000176,2023-02-06 20:00:00,CLI-01075,Papelería,Cuaderno Cuadriculado,19,19417.36,0.05,Medellín,350483.35
VNT-0000177,2024-03-23 07:00:00,CLI-00780,Muebles,Archivador Metálico,18,393910.75,0.1,Tunja,6381354.15
VNT-0000178,2025-08-20 05:00:00,CLI-00142,Hardware,Servidor Rack 2U,7,12905176.68,0.15,Tunja,76785801.25
VNT-0000179,2025-07-15 09:00:00,CLI-00057,Papelería,Cuaderno Cuadriculado,14,18796.93,0.0,Bogotá,263157.02
VNT-0000180,2025-07-04 15:00:00,CLI-01188,Hardware,Servidor Rack 2U,9,13117787.09,0.05,Duitama,112157079.62
VNT-0000181,2023-06-08 18:00:00,CLI-00621,Tecnología,Mouse Inalámbrico,1,118483.94,0.0,Tunja,118483.94
VNT-0000182,2025-07-15 02:00:00,CLI-00045,Papelería,Marcadores Pro,18,34055.02,0.05,Sogamoso,582340.84
VNT-0000183,2025-11-27 19:00:00,CLI-00238,Hardware,Servidor Rack 2U,8,13445957.05,0.2,Duitama,86054125.12
VNT-0000184,2024-01-07 04:00:00,CLI-00156,Papelería,Cuaderno Cuadriculado,19,18614.07,0.0,Cali,353667.33
VNT-0000185,2023-09-17 07:00:00,CLI-00318,Servicios Cloud,Instancia VM vCPU4,12,455985.26,0.0,Tunja,5471823.12
VNT-0000186,2025-02-14 17:00:00,CLI-00652,Muebles,Archivador Metálico,6,391079.97,0.0,Medellín,2346479.82
VNT-0000187,2023-02-11 04:00:00,CLI-00942,Tecnología,Mouse Inalámbrico,18,121022.55,0.0,Duitama,2178405.9
VNT-0000188,2024-10-28 09:00:00,CLI-01324,Muebles,Escritorio Elevable,9,1588005.06,0.0,Medellín,14292045.54
VNT-0000189,2023-11-13 16:00:00,CLI-00575,Muebles,Escritorio Elevable,9,1569090.82,0.0,Duitama,14121817.38
VNT-0000190,2025-08-25 09:00:00,CLI-01199,Hardware,Servidor Rack 2U,5,15065009.8,0.0,Bogotá,75325049.0
VNT-0000191,2025-02-26 09:00:00,CLI-00987,Tecnología,Monitor 4K,5,1810483.63,0.0,Tunja,9052418.15
VNT-0000192,2025-01-26 15:00:00,CLI-00295,Hardware,Switch Gigabit 24p,16,1110660.67,0.2,Bucaramanga,14216456.58
VNT-0000193,2023-03-01 02:00:00,CLI-00100,Hardware,Servidor Rack 2U,2,14887227.39,0.0,Sogamoso,29774454.78
VNT-0000194,2024-11-08 14:00:00,CLI-01341,Tecnología,Mouse Inalámbrico,3,122530.89,0.0,Medellín,367592.67
VNT-0000195,2023-10-08 11:00:00,CLI-01137,Muebles,Archivador Metálico,18,397862.55,0.05,Bogotá,6803449.6
VNT-0000196,2024-04-25 15:00:00,CLI-00612,Hardware,Servidor Rack 2U,5,13396050.19,0.0,Duitama,66980250.95
VNT-0000197,2025-05-17 02:00:00,CLI-00855,Hardware,Servidor Rack 2U,3,14927634.98,0.05,Duitama,42543759.69
VNT-0000198,2024-09-14 13:00:00,CLI-00179,Muebles,Archivador Metálico,1,443963.87,0.0,Cali,443963.87
VNT-0000199,2023-02-06 00:00:00,CLI-01144,Muebles,Escritorio Elevable,10,1637738.68,0.05,Sogamoso,15558517.46
VNT-0000200,2025-06-21 00:00:00,CLI-00618,Papelería,Resma Papel Bond,9,20649.31,0.0,Sogamoso,185843.79
VNT-0000201,2025-01-03 03:00:00,CLI-01200,Servicios Cloud,Instancia VM vCPU4,19,497955.62,0.0,Bucaramanga,9461156.78
VNT-0000202,2023-08-14 09:00:00,CLI-00422,Tecnología,Teclado Mecánico,19,288748.11,0.0,Sogamoso,5486214.09
VNT-0000203,2024-06-28 15:00:00,CLI-00117,Servicios Cloud,Instancia VM vCPU4,5,465797.62,0.0,Tunja,2328988.1
VNT-0000204,2023-11-03 02:00:00,CLI-00383,Tecnología,Mouse Inalámbrico,12,128166.82,0.15,Cali,1307301.56
VNT-0000205,2023-06-14 12:00:00,CLI-01116,Tecnología,Teclado Mecánico,15,287367.34,0.1,Cali,3879459.09
VNT-0000206,2025-07-11 00:00:00,CLI-01489,Muebles,Silla Ergonómica,2,911223.06,0.05,Cali,1731323.81
VNT-0000207,2023-05-07 15:00:00,CLI-00718,Muebles,Silla Ergonómica,5,860233.46,0.15,Duitama,3655992.2
