id_cliente,nombre,segmento,edad,ciudad_residencia,ingreso_anual
CLI-00063,Cliente_63,Consumidor Final,49,Medellín,38125307.16
CLI-00064,Cliente_64,Pequeña Empresa,30,Tunja,28533897.73
CLI-00065,Cliente_65,Pequeña Empresa,26,Medellín,22897343.79
CLI-00066,Cliente_66,Pequeña Empresa,50,Bogotá,12000000.0
CLI-00067,Cliente_67,Corporativo,63,Tunja,39195800.57
CLI-00068,Cliente_68,Consumidor Final,29,Medellín,16222366.74
CLI-00069,Cliente_69,Corporativo,58,Bucaramanga,36144130.39
CLI-00070,Cliente_70,Gobierno,32,Duitama,31838621.41
CLI-00071,Cliente_71,Consumidor Final,50,Medellín,43149713.31
CLI-00072,Cliente_72,Corporativo,26,Bogotá,31375454.01
CLI-00073,Cliente_73,Corporativo,68,Cali,31046626.56
CLI-00074,Cliente_74,Consumidor Final,61,Medellín,43782448.45
CLI-00075,Cliente_75,Consumidor Final,61,Sogamoso,39020696.35
CLI-00076,Cliente_76,Consumidor Final,55,Sogamoso,38793871.49
CLI-00077,Cliente_77,Consumidor Final,39,Sogamoso,40631211.08
CLI-00078,Cliente_78,Corporativo,23,Cali,16573134.52
CLI-00079,Cliente_79,Pequeña Empresa,26,Sogamoso,44081464.16
CLI-00080,Cliente_80,Corporativo,20,Bucaramanga,42349625.53
CLI-00081,Cliente_81,Consumidor Final,63,Medellín,22799802.46
CLI-00082,Cliente_82,Consumidor Final,64,Sogamoso,32071034.32
CLI-00083,Cliente_83,Pequeña Empresa,61,Tunja,34528312.55
CLI-00084,Cliente_84,Corporativo,66,Cali,33386038.59
CLI-00085,Cliente_85,Pequeña Empresa,32,Bucaramanga,39006319.6
CLI-00086,Cliente_86,Pequeña Empresa,41,Tunja,52176401.38
CLI-00087,Cliente_87,Consumidor Final,40,Tunja,47981200.73
CLI-00088,Cliente_88,Consumidor Final,41,Tunja,19253369.68
CLI-00089,Cliente_89,Consumidor Final,47,Tunja,42464839.88
CLI-00090,Cliente_90,Pequeña Empresa,28,Medellín,50947199.83
CLI-00091,Cliente_91,Corporativo,45,Sogamoso,39641702.25
CLI-00092,Cliente_92,Consumidor Final,28,Duitama,48091765.1
CLI-00093,Cliente_93,Consumidor Final,34,Medellín,59147245.35
CLI-00094,Cliente_94,Pequeña Empresa,29,Medellín,47284514.55
CLI-00095,Cliente_95,Consumidor Final,43,Bucaramanga,37991703.15
CLI-00096,Cliente_96,Pequeña Empresa,61,Bucaramanga,47541061.69
CLI-00097,Cliente_97,Pequeña Empresa,27,Sogamoso,36738654.0
CLI-00098,Cliente_98,Pequeña Empresa,43,Duitama,35286836.52
CLI-00099,Cliente_99,Corporativo,35,Bucaramanga,30783029.17
CLI-00100,Cliente_100,Corporativo,68,Sogamoso,53760960.31
CLI-00101,Cliente_101,Corporativo,45,Sogamoso,25178856.01
CLI-00102,Cliente_102,Consumidor Final,46,Bogotá,53388412.7
CLI-00103,Cliente_103,Pequeña Empresa,56,Duitama,40998369.48
CLI-00104,Cliente_104,Pequeña Empresa,23,Bucaramanga,18208325.9
CLI-00105,Cliente_105,Gobierno,69,Duitama,39411791.52
CLI-00106,Cliente_106,Corporativo,43,Medellín,12000000.0
CLI-00107,Cliente_107,Pequeña Empresa,38,Medellín,42506096.2
CLI-00108,Cliente_108,Consumidor Final,55,Duitama,45622777.8
CLI-00109,Cliente_109,Corporativo,58,Bogotá,27891728.53
CLI-00110,Cliente_110,Corporativo,29,Bogotá,36482572.35
CLI-00111,Cliente_111,Pequeña Empresa,44,Duitama,58449889.21
CLI-00112,Cliente_112,Corporativo,37,Bucaramanga,28931039.55
CLI-00113,Cliente_113,Gobierno,38,Cali,22293108.96
CLI-00114,Cliente_114,Consumidor Final,55,Bogotá,52779960.83
CLI-00115,Cliente_115,Consumidor Final,29,Tunja,58551046.29
CLI-00116,Cliente_116,Consumidor Final,52,Medellín,35044348.06
CLI-00117,Cliente_117,Consumidor Final,69,Duitama,47137556.42
CLI-00118,Cliente_118,Corporativo,24,Tunja,51097710.99
CLI-00119,Cliente_119,Consumidor Final,66,Duitama,26090189.21
CLI-00120,Cliente_120,Pequeña Empresa,68,Sogamoso,29176329.98
CLI-00121,Cliente_121,Consumidor Final,54,Medellín,49770494.16
CLI-00122,Cliente_122,Consumidor Final,63,Medellín,55220171.34
CLI-00123,Cliente_123,Pequeña Empresa,53,Bogotá,41754570.32
CLI-00124,Cliente_124,Corporativo,52,Bogotá,24442227.76
CLI-00125,Cliente_125,Corporativo,40,Tunja,58844733.34
CLI-00126,Cliente_126,Pequeña Empresa,36,Sogamoso,28628349.23
CLI-00127,Cliente_127,Consumidor Final,41,Duitama,30978346.63
CLI-00128,Cliente_128,Consumidor Final,67,Sogamoso,39108054.01
CLI-00129,Cliente_129,Corporativo,56,Medellín,53649925.05
CLI-00130,Cliente_130,Pequeña Empresa,34,Tunja,45247711.72
CLI-00131,Cliente_131,Pequeña Empresa,54,Cali,39978386.0
CLI-00132,Cliente_132,Corporativo,47,Tunja,40559462.36
CLI-00133,Cliente_133,Corporativo,26,Bucaramanga,35522176.02
CLI-00134,Cliente_134,Pequeña Empresa,51,Tunja,41697674.17
CLI-00135,Cliente_135,Gobierno,30,Sogamoso,12000000.0
CLI-00136,Cliente_136,Pequeña Empresa,29,Bucaramanga,31440710.49
CLI-00137,Cliente_137,Pequeña Empresa,28,Bucaramanga,37895863.22
CLI-00138,Cliente_138,Consumidor Final,33,Bucaramanga,21187831.0
CLI-00139,Cliente_139,Pequeña Empresa,32,Cali,39635879.81
CLI-00140,Cliente_140,Gobierno,44,Tunja,32546345.35
CLI-00141,Cliente_141,Gobierno,21,Sogamoso,56065708.38
CLI-00142,Cliente_142,Pequeña Empresa,54,Tunja,53876236.7
CLI-00143,Cliente_143,Pequeña Empresa,26,Cali,29410333.17
CLI-00144,Cliente_144,Pequeña Empresa,40,Medellín,33189947.46
CLI-00145,Cliente_145,Pequeña Empresa,37,Bogotá,34112629.21
CLI-00146,Cliente_146,Corporativo,22,Sogamoso,29580086.29
CLI-00147,Cliente_147,Consumidor Final,61,Sogamoso,37340299.81
CLI-00148,Cliente_148,Pequeña Empresa,58,Tunja,25900615.17
CLI-00149,Cliente_149,Corporativo,60,Bogotá,21432615.98
CLI-00150,Cliente_150,Pequeña Empresa,68,Duitama,42472534.69
CLI-00151,Cliente_151,Gobierno,30,Duitama,42554355.01
CLI-00152,Cliente_152,Corporativo,58,Cali,25348210.88
CLI-00153,Cliente_153,Corporativo,43,Duitama,45744265.17
CLI-00154,Cliente_154,Pequeña Empresa,65,Sogamoso,27421067.25
CLI-00155,Cliente_155,Gobierno,38,Duitama,38037982.86
CLI-00156,Cliente_156,Corporativo,23,Medellín,44844128.15
CLI-00157,Cliente_157,Consumidor Final,45,Medellín,34596649.22
CLI-00158,Cliente_158,Consumidor Final,57,Medellín,40456890.95
CLI-00159,Cliente_159,Corporativo,61,Duitama,28802844.27
CLI-00160,Cliente_160,Consumidor Final,51,Cali,32642401.0
CLI-00161,Cliente_161,Pequeña Empresa,58,Bucaramanga,32529686.83
CLI-00162,Cliente_162,Consumidor Final,64,Bucaramanga,26041059.84
CLI-00163,Cliente_163,Consumidor Final,65,Bogotá,32878710.04
CLI-00164,Cliente_164,Pequeña Empresa,55,Bucaramanga,16416580.41
CLI-00165,Cliente_165,Corporativo,59,Bucaramanga,29106155.03
CLI-00166,Cliente_166,Consumidor Final,56,Medellín,31581494.08
CLI-00167,Cliente_167,Pequeña Empresa,52,Medellín,31925842.97
CLI-00168,Cliente_168,Corporativo,55,Duitama,32102030.65
CLI-00169,Cliente_169,Corporativo,22,Bogotá,34258829.6
CLI-00170,Cliente_170,Pequeña Empresa,28,Tunja,40753298.22
CLI-00171,Cliente_171,Consumidor Final,27,Sogamoso,45494204.89
CLI-00172,Cliente_172,Corporativo,52,Bogotá,27202817.28
CLI-00173,Cliente_173,Pequeña Empresa,25,Bogotá,20561589.74
CLI-00174,Cliente_174,Corporativo,60,Cali,22495467.05
CLI-00175,Cliente_175,Consumidor Final,58,Duitama,29153564.95
CLI-00176,Cliente_176,Corporativo,23,Cali,30776944.19
CLI-00177,Cliente_177,Consumidor Final,32,Bogotá,25760047.21
CLI-00178,Cliente_178,Pequeña Empresa,68,Bogotá,19446600.03
CLI-00179,Cliente_179,Gobierno,21,Bogotá,29526550.07
CLI-00180,Cliente_180,Corporativo,24,Bucaramanga,37177119.44
CLI-00181,Cliente_181,Pequeña Empresa,63,Sogamoso,42140353.59
CLI-00182,Cliente_182,Corporativo,46,Sogamoso,28310923.36
CLI-00183,Cliente_183,Gobierno,51,Cali,30044026.13
CLI-00184,Cliente_184,Consumidor Final,40,Bogotá,23879620.29
CLI-00185,Cliente_185,Pequeña Empresa,27,Sogamoso,34622729.96
CLI-00186,Cliente_186,Consumidor Final,57,Medellín,24818856.39
CLI-00187,Cliente_187,Consumidor Final,27,Sogamoso,41877533.76
CLI-00188,Cliente_188,Pequeña Empresa,69,Duitama,13569602.1
CLI-00189,Cliente_189,Pequeña Empresa,22,Duitama,30684443.93
CLI-00190,Cliente_190,Corporativo,63,Sogamoso,38613288.07
CLI-00191,Cliente_191,Corporativo,22,Medellín,37206014.2
CLI-00192,Cliente_192,Consumidor Final,41,Duitama,67316403.97
CLI-00193,Cliente_193,Gobierno,25,Bucaramanga,39197600.29
CLI-00194,Cliente_194,Consumidor Final,21,Sogamoso,22951344.84
CLI-00195,Cliente_195,Pequeña Empresa,42,Bucaramanga,33854429.03
CLI-00196,Cliente_196,Pequeña Empresa,63,Sogamoso,13685044.0
CLI-00197,Cliente_197,Consumidor Final,21,Tunja,34032803.01
CLI-00198,Cliente_198,Consumidor Final,57,Tunja,25003327.32
CLI-00199,Cliente_199,Consumidor Final,36,Tunja,45984683.31
CLI-00200,Cliente_200,Consumidor Final,54,Duitama,28405516.7
CLI-00201,Cliente_201,Consumidor Final,53,Bucaramanga,33598809.01
CLI-00202,Cliente_202,Corporativo,42,Bucaramanga,27373305.9
CLI-00203,Cliente_203,Corporativo,49,Bucaramanga,55866216.22
CLI-00204,Cliente_204,Consumidor Final,27,Medellín,31145086.81
CLI-00205,Cliente_205,Consumidor Final,41,Bucaramanga,56990684.52
CLI-00206,Cliente_206,Corporativo,63,Medellín,44769821.15
CLI-00207,Cliente_207,Corporativo,55,Tunja,40784800.73
CLI-00208,Cliente_208,Consumidor Final,24,Tunja,39424797.77
CLI-00209,Cliente_209,Corporativo,32,Duitama,39725567.58
CLI-00210,Cliente_210,Corporativo,48,Sogamoso,12000000.0
CLI-00211,Cliente_211,Pequeña Empresa,50,Tunja,31653399.27
CLI-00212,Cliente_212,Consumidor Final,66,Sogamoso,45141895.65
CLI-00213,Cliente_213,Consumidor Final,35,Sogamoso,34413233.8
CLI-00214,Cliente_214,Corporativo,61,Duitama,18137721.84
CLI-00215,Cliente_215,Consumidor Final,49,Bogotá,34371146.59
CLI-00216,Cliente_216,Corporativo,35,Bogotá,55449266.2
CLI-00217,Cliente_217,Pequeña Empresa,31,Cali,49962700.59
CLI-00218,Cliente_218,Consumidor Final,36,Duitama,34255951.89
CLI-00219,Cliente_219,Consumidor Final,35,Cali,46417391.32
CLI-00220,Cliente_220,Consumidor Final,31,Cali,30601915.76
CLI-00221,Cliente_221,Consumidor Final,27,Bogotá,14553540.96
CLI-00222,Cliente_222,Pequeña Empresa,39,Duitama,23906408.14
CLI-00223,Cliente_223,Corporativo,22,Bogotá,53754665.22
CLI-00224,Cliente_224,Pequeña Empresa,35,Cali,31712083.02
CLI-00225,Cliente_225,Pequeña Empresa,49,Duitama,32079392.25
CLI-00226,Cliente_226,Corporativo,64,Cali,31401941.64
CLI-00227,Cliente_227,Gobierno,42,Bucaramanga,57849639.07
CLI-00228,Cliente_228,Pequeña Empresa,47,Sogamoso,54511506.98
CLI-00229,Cliente_229,Consumidor Final,59,Duitama,61625362.8
CLI-00230,Cliente_230,Consumidor Final,24,Duitama,33091457.48
CLI-00231,Cliente_231,Consumidor Final,39,Sogamoso,38547493.86
CLI-00232,Cliente_232,Pequeña Empresa,59,Cali,16800289.41
CLI-00233,Cliente_233,Pequeña Empresa,63,Bucaramanga,52723213.11
CLI-00234,Cliente_234,Pequeña Empresa,20,Medellín,20986645.38
CLI-00235,Cliente_235,Corporativo,49,Sogamoso,37601306.77
CLI-00236,Cliente_236,Consumidor Final,40,Bogotá,21832369.67
CLI-00237,Cliente_237,Pequeña Empresa,39,Cali,27933598.08
CLI-00238,Cliente_238,Corporativo,25,Sogamoso,24952850.83
CLI-00239,Cliente_239,Consumidor Final,41,Sogamoso,27705496.87
CLI-00240,Cliente_240,Corporativo,37,Duitama,28530527.56
CLI-00241,Cliente_241,Gobierno,27,Bogotá,28420774.46
CLI-00242,Cliente_242,Gobierno,58,Bogotá,45000006.94
CLI-00243,Cliente_243,Gobierno,51,Bogotá,21741646.48
CLI-00244,Cliente_244,Pequeña Empresa,52,Sogamoso,37646497.12
CLI-00245,Cliente_245,Corporativo,35,Medellín,49615509.83
CLI-00246,Cliente_246,Gobierno,31,Tunja,28841643.63
CLI-00247,Cliente_247,Pequeña Empresa,57,Cali,26384973.31
CLI-00248,Cliente_248,Gobierno,53,Tunja,32233704.5
CLI-00249,Cliente_249,Gobierno,33,Sogamoso,49156702.5
CLI-00250,Cliente_250,Consumidor Final,55,Tunja,37329291.57
CLI-00251,Cliente_251,Pequeña Empresa,52,Sogamoso,28625428.46
CLI-00252,Cliente_252,Pequeña Empresa,42,Tunja,40806519.81
CLI-00253,Cliente_253,Consumidor Final,69,Bogotá,21772494.2
CLI-00254,Cliente_254,Pequeña Empresa,64,Bucaramanga,43176314.13
CLI-00255,Cliente_255,Corporativo,21,Bogotá,39903287.69
CLI-00256,Cliente_256,Pequeña Empresa,60,Bogotá,31306298.35
CLI-00257,Cliente_257,Gobierno,40,Duitama,24936970.42
CLI-00258,Cliente_258,Consumidor Final,21,Duitama,24359828.93
CLI-00259,Cliente_259,Pequeña Empresa,46,Tunja,41417808.04
CLI-00260,Cliente_260,Corporativo,28,Sogamoso,49747766.03
CLI-00261,Cliente_261,Consumidor Final,20,Bogotá,27352307.04
CLI-00262,Cliente_262,Gobierno,30,Tunja,40500640.44
CLI-00263,Cliente_263,Corporativo,22,Duitama,12000000.0
CLI-00264,Cliente_264,Pequeña Empresa,42,Bucaramanga,27984587.23
CLI-00265,Cliente_265,Consumidor Final,45,Cali,34627292.81
CLI-00266,Cliente_266,Consumidor Final,23,Tunja,24083799.0
CLI-00267,Cliente_267,Consumidor Final,37,Bucaramanga,23761923.5
CLI-00268,Cliente_268,Consumidor Final,25,Cali,26986645.32
CLI-00269,Cliente_269,Pequeña Empresa,54,Medellín,38506312.74
CLI-00270,Cliente_270,Pequeña Empresa,41,Tunja,32752051.78
CLI-00271,Cliente_271,Consumidor Final,62,Tunja,12000000.0
CLI-00272,Cliente_272,Consumidor Final,34,Medellín,12000000.0
CLI-00273,Cliente_273,Consumidor Final,41,Medellín,27717617.87
CLI-00274,Cliente_274,Gobierno,56,Tunja,40492239.03
CLI-00275,Cliente_275,Pequeña Empresa,61,Medellín,12000000.0
CLI-00276,Cliente_276,Pequeña Empresa,31,Bogotá,29003237.89
CLI-00277,Cliente_277,Consumidor Final,66,Cali,28685025.72
CLI-00278,Cliente_278,Consumidor Final,68,Cali,51660053.34
CLI-00279,Cliente_279,Consumidor Final,61,Cali,30379738.26
CLI-00280,Cliente_280,Consumidor Final,57,Bogotá,39595867.82
CLI-00281,Cliente_281,Consumidor Final,37,Sogamoso,36695085.68
CLI-00282,Cliente_282,Pequeña Empresa,64,Medellín,12000000.0
CLI-00283,Cliente_283,Pequeña Empresa,54,Bucaramanga,44218486.6
CLI-00284,Cliente_284,Corporativo,49,Medellín,37584758.07
CLI-00285,Cliente_285,Pequeña Empresa,43,Tunja,41099223.68
CLI-00286,Cliente_286,Corporativo,61,Duitama,82114852.48
CLI-00287,Cliente_287,Pequeña Empresa,49,Cali,12000000.0
CLI-00288,Cliente_288,Pequeña Empresa,33,Medellín,55696359.8
CLI-00289,Cliente_289,Pequeña Empresa,25,Bucaramanga,31550629.77
CLI-00290,Cliente_290,Pequeña Empresa,22,Tunja,38447946.85
CLI-00291,Cliente_291,Corporativo,35,Bogotá,34453853.06
CLI-00292,Cliente_292,Corporativo,26,Sogamoso,29909164.0
CLI-00293,Cliente_293,Consumidor Final,33,Bogotá,28162004.86
CLI-00294,Cliente_294,Pequeña Empresa,28,Bucaramanga,38954104.83
CLI-00295,Cliente_295,Corporativo,34,Tunja,16793915.64
CLI-00296,Cliente_296,Pequeña Empresa,40,Cali,44006950.01
CLI-00297,Cliente_297,Consumidor Final,54,Medellín,30005667.14
CLI-00298,Cliente_298,Corporativo,21,Tunja,21439167.93
CLI-00299,Cliente_299,Consumidor Final,46,Sogamoso,29599845.7
CLI-00300,Cliente_300,Corporativo,21,Bogotá,50085790.6
CLI-00301,Cliente_301,Corporativo,54,Sogamoso,28575978.96
CLI-00302,Cliente_302,Pequeña Empresa,37,Sogamoso,39301443.42
CLI-00303,Cliente_303,Pequeña Empresa,33,Bucaramanga,26228524.69
CLI-00304,Cliente_304,Consumidor Final,39,Bucaramanga,44095062.2
CLI-00305,Cliente_305,Consumidor Final,37,Medellín,43226092.87
CLI-00306,Cliente_306,Gobierno,29,Bucaramanga,57183306.0
CLI-00307,Cliente_307,Pequeña Empresa,44,Bucaramanga,32893232.65
CLI-00308,Cliente_308,Pequeña Empresa,21,Tunja,43023857.66
CLI-00309,Cliente_309,Consumidor Final,44,Cali,36176810.47
CLI-00310,Cliente_310,Pequeña Empresa,52,Medellín,50550461.38
CLI-00311,Cliente_311,Pequeña Empresa,55,Tunja,26374011.35
CLI-00312,Cliente_312,Corporativo,50,Cali,43940063.75
CLI-00313,Cliente_313,Corporativo,33,Sogamoso,32663632.45
CLI-00314,Cliente_314,Gobierno,20,Tunja,34229741.87
CLI-00315,Cliente_315,Consumidor Final,65,Duitama,36101029.81
CLI-00316,Cliente_316,Consumidor Final,35,Tunja,38026884.76
CLI-00317,Cliente_317,Pequeña Empresa,65,Bucaramanga,33605251.48
CLI-00318,Cliente_318,Corporativo,22,Cali,37576558.2
CLI-00319,Cliente_319,Corporativo,54,Medellín,53937416.69
CLI-00320,Cliente_320,Pequeña Empresa,60,Medellín,46825396.23
CLI-00321,Cliente_321,Pequeña Empresa,25,Cali,45429855.11
CLI-00322,Cliente_322,Consumidor Final,44,Bucaramanga,29533525.69
CLI-00323,Cliente_323,Consumidor Final,32,Bogotá,24329110.06
CLI-00324,Cliente_324,Pequeña Empresa,53,Tunja,46463606.7
CLI-00325,Cliente_325,Gobierno,27,Bucaramanga,45512561.51
CLI-00326,Cliente_326,Consumidor Final,40,Duitama,52672048.11
CLI-00327,Cliente_327,Pequeña Empresa,53,Sogamoso,27752232.49
CLI-00328,Cliente_328,Consumidor Final,23,Cali,32245416.14
CLI-00329,Cliente_329,Pequeña Empresa,44,Tunja,15326190.05
CLI-00330,Cliente_330,Corporativo,34,Medellín,30290346.73
CLI-00331,Cliente_331,Pequeña Empresa,23,Sogamoso,46958846.13
CLI-00332,Cliente_332,Consumidor Final,64,Bogotá,29402055.45
CLI-00333,Cliente_333,Corporativo,31,Duitama,42685757.54
CLI-00334,Cliente_334,Corporativo,51,Medellín,32713962.73
CLI-00335,Cliente_335,Corporativo,51,Cali,38888684.34
CLI-00336,Cliente_336,Corporativo,47,Tunja,21227703.32
CLI-00337,Cliente_337,Consumidor Final,32,Cali,36022513.4
CLI-00338,Cliente_338,Consumidor Final,50,Sogamoso,12000000.0
CLI-00339,Cliente_339,Pequeña Empresa,33,Tunja,32757246.1
CLI-00340,Cliente_340,Corporativo,39,Bucaramanga,15434321.08
CLI-00341,Cliente_341,Pequeña Empresa,37,Bogotá,49471934.2
CLI-00342,Cliente_342,Pequeña Empresa,48,Bucaramanga,44328888.23
CLI-00343,Cliente_343,Corporativo,25,Bucaramanga,40600051.78
CLI-00344,Cliente_344,Pequeña Empresa,51,Cali,53252074.73
CLI-00345,Cliente_345,Pequeña Empresa,48,Sogamoso,23613001.75
CLI-00346,Cliente_346,Consumidor Final,62,Bogotá,55968358.37
CLI-00347,Cliente_347,Consumidor Final,21,Tunja,46186298.77
CLI-00348,Cliente_348,Corporativo,42,Tunja,32161336.55
CLI-00349,Cliente_349,Pequeña Empresa,38,Duitama,48627441.77
CLI-00350,Cliente_350,Consumidor Final,50,Medellín,21724477.85
CLI-00351,Cliente_351,Pequeña Empresa,24,Duitama,25105830.06
CLI-00352,Cliente_352,Consumidor Final,38,Duitama,27696923.32
CLI-00353,Cliente_353,Consumidor Final,53,Tunja,28652267.5
CLI-00354,Cliente_354,Corporativo,29,Cali,22321308.29
CLI-00355,Cliente_355,Corporativo,44,Bucaramanga,49676996.81
CLI-00356,Cliente_356,Consumidor Final,21,Sogamoso,31893747.2
CLI-00357,Cliente_357,Corporativo,30,Bucaramanga,39230059.62
CLI-00358,Cliente_358,Pequeña Empresa,69,Bucaramanga,28155783.6
CLI-00359,Cliente_359,Gobierno,50,Bogotá,13152760.39
CLI-00360,Cliente_360,Pequeña Empresa,34,Tunja,38240688.3
CLI-00361,Cliente_361,Pequeña Empresa,28,Sogamoso,12052940.29
CLI-00362,Cliente_362,Consumidor Final,42,Cali,34176391.45
CLI-00363,Cliente_363,Pequeña Empresa,38,Bogotá,18580219.53
CLI-00364,Cliente_364,Pequeña Empresa,28,Medellín,58847311.99
CLI-00365,Cliente_365,Gobierno,54,Cali,45936352.67
CLI-00366,Cliente_366,Pequeña Empresa,40,Duitama,36269045.5
CLI-00367,Cliente_367,Gobierno,28,Cali,50164480.13
CLI-00368,Cliente_368,Gobierno,47,Cali,24844208.27
CLI-00369,Cliente_369,Corporativo,65,Bucaramanga,41521752.54
CLI-00370,Cliente_370,Corporativo,26,Cali,37397725.2
CLI-00371,Cliente_371,Corporativo,35,Duitama,38168240.98
CLI-00372,Cliente_372,Corporativo,35,Duitama,50268242.0
CLI-00373,Cliente_373,Corporativo,52,Tunja,43789905.23
CLI-00374,Cliente_374,Consumidor Final,23,Cali,38464683.95
CLI-00375,Cliente_375,Corporativo,23,Bucaramanga,15141350.77
CLI-00376,Cliente_376,Pequeña Empresa,58,Cali,23479444.46
CLI-00377,Cliente_377,Consumidor Final,59,Medellín,33527492.8
CLI-00378,Cliente_378,Corporativo,36,Medellín,36120468.49
CLI-00379,Cliente_379,Consumidor Final,56,Bucaramanga,21437555.3
CLI-00380,Cliente_380,Pequeña Empresa,58,Tunja,63940120.11
CLI-00381,Cliente_381,Corporativo,48,Tunja,53196728.66
CLI-00382,Cliente_382,Consumidor Final,55,Duitama,42225419.84
CLI-00383,Cliente_383,Consumidor Final,57,Duitama,35864442.34
CLI-00384,Cliente_384,Consumidor Final,58,Bogotá,32453492.36
CLI-00385,Cliente_385,Consumidor Final,69,Bucaramanga,23576978.48
CLI-00386,Cliente_386,Consumidor Final,56,Cali,35929766.22
CLI-00387,Cliente_387,Pequeña Empresa,54,Sogamoso,38093030.48
CLI-00388,Cliente_388,Corporativo,26,Bucaramanga,20098873.09
CLI-00389,Cliente_389,Consumidor Final,46,Bogotá,39010117.01
CLI-00390,Cliente_390,Consumidor Final,47,Duitama,33136891.41
